"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","9","1.6","1.4"
"2","New York Jets","1","15","4.1","3.0"
"3","Kansas City Chiefs","1","27","4.7","3.8"
"4","Cincinnati Bengals","1","14","4.9","2.9"
"5","Carolina Panthers","1","26","6.2","4.4"
"6","New England Patriots","2","18","7.0","2.5"
"7","Green Bay Packers","2","18","7.1","3.8"
"8","Seattle Seahawks","1","21","7.6","4.0"
"9","Denver Broncos","1","29","11.1","4.9"
"10","Philadelphia Eagles","2","25","11.7","5.2"
"11","St. Louis Rams","4","32","12.4","6.0"
"12","Baltimore Ravens","5","26","13.1","3.7"
"13","Houston Texans","7","28","14.7","4.2"
"14","Tampa Bay Buccaneers","7","26","15.2","3.7"
"15","Minnesota Vikings","8","27","15.8","3.8"
"16","New York Giants","1","28","15.5","4.4"
"17","Cleveland Browns","2","29","15.6","5.8"
"18","Atlanta Falcons","6","29","18.2","4.2"
"19","Oakland Raiders","5","31","18.2","4.5"
"20","Miami Dolphins","9","28","19.0","3.8"
"21","Buffalo Bills","5","28","17.6","4.6"
"22","Detroit Lions","4","29","15.9","7.3"
"23","Tennessee Titans","11","28","19.5","4.2"
"24","Pittsburgh Steelers","6","30","18.5","6.5"
"25","Jacksonville Jaguars","7","30","19.3","6.5"
"26","Dallas Cowboys","14","30","21.8","3.9"
"27","San Diego Chargers","7","30","24.4","5.1"
"28","Indianapolis Colts","17","31","24.6","3.5"
"29","Washington Redskins","18","32","27.7","3.5"
"30","Chicago Bears","13","32","28.7","4.3"
"31","San Francisco 49ers","16","32","29.2","3.9"
"32","New Orleans Saints","11","32","29.3","4.4"
