"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","2","1.1","0.3","STEPHENGOSTKOWSKI"
"2","Cairo Santos","2","9","3.2","1.8","CAIROSANTOS"
"3","Steven Hauschka","2","16","5.2","3.9","STEVENHAUSCHKA"
"4","Brandon McManus","3","12","5.6","2.9","BRANDONMCMANUS"
"5","Chandler Catanzaro","3","14","6.6","2.8","CHANDLERCATANZARO"
"6","Josh Brown","4","12","6.9","2.7","JOSHBROWN"
"7","Graham Gano","1","19","7.5","4.9","GRAHAMGANO"
"8","Mason Crosby","3","13","7.8","2.4","MASONCROSBY"
"9","Justin Tucker","2","16","8.0","4.3","JUSTINTUCKER"
"10","Mike Nugent","5","15","10.0","2.1","MIKENUGENT"
"11","Blair Walsh","9","19","13.0","2.4","BLAIRWALSH"
"12","Sebastian Janikowski","9","19","12.3","2.6","SEBASTIANJANIKOWSKI"
"13","Robbie Gould","4","20","13.1","4.0","ROBBIEGOULD"
"14","Dan Carpenter","7","24","13.3","4.8","DANCARPENTER"
"15","Adam Vinatieri","8","17","14.3","2.5","ADAMVINATIERI"
"16","Matt Prater","8","25","15.7","3.9","MATTPRATER"
"17","Ryan Succop","9","23","17.3","3.5","RYANSUCCOP"
"18","Jason Myers","4","27","16.3","7.0","JASONMYERS"
"19","Josh Lambo","11","25","18.0","3.1","JOSHLAMBO"
"20","Dan Bailey","6","25","18.2","4.7","DANBAILEY"
"21","Chris Boswell","8","20","12.6","4.0","CHRISBOSWELL"
"22","Connor Barth","12","26","19.3","2.9","CONNORBARTH"
"23","Dustin Hopkins","18","26","20.5","2.7","DUSTINHOPKINS"
"24","Andrew Franks","13","30","22.1","6.4","ANDREWFRANKS"
"25","Randy Bullock","15","31","21.7","4.9","RANDYBULLOCK"
"26","Matt Bryant","13","19","16.0","3.0","MATTBRYANT"
"27","Nick Novak","16","30","22.7","5.0","NICKNOVAK"
"28","Shayne Graham","17","31","23.8","5.1","SHAYNEGRAHAM"
"29","Greg Zuerlein","18","29","25.0","5.0","GREGZUERLEIN"
"30","Phil Dawson","21","28","25.2","2.7","PHILDAWSON"
"31","Caleb Sturgis","22","31","25.8","3.3","CALEBSTURGIS"
"32","Zach Hocker","23","32","27.5","4.5","ZACHHOCKER"
"33","Kai Forbath","23","29","25.9","2.2","KAIFORBATH"
"34","Travis Coons","27","31","28.6","1.6","TRAVISCOONS"
