"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","13","1.5","1.4","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","21","3.5","3.1","STEVENHAUSCHKA"
"3","Chandler Catanzaro","1","13","4.0","2.0","CHANDLERCATANZARO"
"4","Matt Bryant","1","15","4.7","2.3","MATTBRYANT"
"5","Adam Vinatieri","1","14","4.6","2.0","ADAMVINATIERI"
"6","Josh Brown","1","15","6.5","2.3","JOSHBROWN"
"7","Justin Tucker","1","21","7.1","3.7","JUSTINTUCKER"
"8","Josh Lambo","2","20","7.8","2.7","JOSHLAMBO"
"9","Dan Carpenter","4","24","10.7","3.3","DANCARPENTER"
"10","Blair Walsh","1","25","11.6","3.2","BLAIRWALSH"
"11","Dan Bailey","4","28","12.5","4.5","DANBAILEY"
"12","Graham Gano","1","22","12.5","3.4","GRAHAMGANO"
"13","Cairo Santos","6","28","13.9","4.1","CAIROSANTOS"
"14","Matt Prater","7","22","14.3","2.8","MATTPRATER"
"15","Nick Folk","6","26","15.3","3.3","NICKFOLK"
"16","Dustin Hopkins","4","27","16.3","4.1","DUSTINHOPKINS"
"17","Chris Boswell","4","26","16.6","3.8","CHRISBOSWELL"
"18","Travis Coons","10","28","18.6","4.2","TRAVISCOONS"
"19","Greg Zuerlein","2","28","17.4","4.6","GREGZUERLEIN"
"20","Kai Forbath","8","26","17.7","3.8","KAIFORBATH"
"21","Caleb Sturgis","9","26","17.0","4.9","CALEBSTURGIS"
"22","Sebastian Janikowski","3","28","18.1","5.3","SEBASTIANJANIKOWSKI"
"23","Phil Dawson","3","28","18.8","4.4","PHILDAWSON"
"24","Andrew Franks","6","25","17.8","5.1","ANDREWFRANKS"
"25","Nick Novak","7","27","20.3","5.2","NICKNOVAK"
"26","Zach Hocker","4","24","14.8","5.8","ZACHHOCKER"
"27","Ryan Succop","8","28","22.2","5.1","RYANSUCCOP"
"28","Jason Myers","14","28","22.4","4.1","JASONMYERS"
"29","Connor Barth","13","29","24.9","3.6","CONNORBARTH"
"30","Josh Scobee","13","23","18.0","5.0","JOSHSCOBEE"
