"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","5","1.4","0.9"
"2","Kansas City Chiefs","1","3","1.8","0.6"
"3","Carolina Panthers","2","5","3.4","0.8"
"4","Denver Broncos","2","8","4.3","1.4"
"5","Houston Texans","3","13","6.4","2.1"
"6","New England Patriots","4","16","7.1","2.7"
"7","Cincinnati Bengals","4","11","7.5","1.6"
"8","Buffalo Bills","4","15","8.8","2.6"
"9","Detroit Lions","3","24","10.2","3.8"
"10","Arizona Cardinals","6","15","10.4","2.2"
"11","Pittsburgh Steelers","1","20","9.3","4.5"
"12","Tampa Bay Buccaneers","9","22","12.9","3.4"
"13","Minnesota Vikings","7","21","13.8","3.4"
"14","Washington Redskins","6","20","15.1","2.6"
"15","Miami Dolphins","11","20","16.2","2.4"
"16","Chicago Bears","9","24","16.0","3.6"
"17","Green Bay Packers","9","22","16.1","2.9"
"18","Tennessee Titans","8","32","17.8","5.2"
"19","St. Louis Rams","14","26","18.5","3.2"
"20","Oakland Raiders","10","31","19.2","4.2"
"21","New York Jets","6","31","20.0","6.2"
"22","Philadelphia Eagles","12","27","20.4","4.1"
"23","Indianapolis Colts","7","27","19.4","5.4"
"24","New York Giants","16","28","21.9","3.8"
"25","Dallas Cowboys","14","29","22.3","5.0"
"26","San Francisco 49ers","17","27","23.5","2.7"
"27","Jacksonville Jaguars","18","31","26.2","3.9"
"28","San Diego Chargers","16","32","27.0","3.9"
"29","Cleveland Browns","25","30","27.7","1.8"
"30","Baltimore Ravens","22","32","29.0","3.9"
"31","New Orleans Saints","26","32","29.2","1.9"
"32","Atlanta Falcons","26","32","30.0","2.1"
