"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","26","2.5","3.7","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","4.1","3.8","STEVENHAUSCHKA"
"3","Chandler Catanzaro","1","15","4.9","3.2","CHANDLERCATANZARO"
"4","Mason Crosby","1","30","4.9","3.9","MASONCROSBY"
"5","Josh Brown","1","18","6.8","3.1","JOSHBROWN"
"6","Cairo Santos","2","26","7.0","4.5","CAIROSANTOS"
"7","Graham Gano","1","19","6.8","3.2","GRAHAMGANO"
"8","Dan Bailey","1","28","9.4","4.6","DANBAILEY"
"9","Brandon McManus","1","31","10.4","5.0","BRANDONMCMANUS"
"10","Justin Tucker","2","26","11.0","5.2","JUSTINTUCKER"
"11","Blair Walsh","3","30","11.1","4.6","BLAIRWALSH"
"12","Adam Vinatieri","1","24","13.2","3.6","ADAMVINATIERI"
"13","Sebastian Janikowski","2","27","13.5","3.9","SEBASTIANJANIKOWSKI"
"14","Mike Nugent","2","29","13.8","4.3","MIKENUGENT"
"15","Nick Novak","2","28","13.9","4.9","NICKNOVAK"
"16","Josh Lambo","5","27","15.8","4.2","JOSHLAMBO"
"17","Jason Myers","3","31","16.7","5.8","JASONMYERS"
"18","Matt Prater","1","29","17.8","4.0","MATTPRATER"
"19","Robbie Gould","6","30","18.5","4.1","ROBBIEGOULD"
"20","Connor Barth","5","27","16.5","5.6","CONNORBARTH"
"21","Shayne Graham","1","31","16.7","6.5","SHAYNEGRAHAM"
"22","Caleb Sturgis","3","29","17.5","5.5","CALEBSTURGIS"
"23","Kai Forbath","5","32","19.2","6.6","KAIFORBATH"
"24","Chris Boswell","3","32","17.6","7.5","CHRISBOSWELL"
"25","Dan Carpenter","5","32","20.7","6.3","DANCARPENTER"
"26","Dustin Hopkins","3","31","20.2","7.0","DUSTINHOPKINS"
"27","Matt Bryant","4","20","13.2","4.9","MATTBRYANT"
"28","Phil Dawson","6","32","24.2","6.4","PHILDAWSON"
"29","Ryan Succop","7","32","23.7","6.5","RYANSUCCOP"
"30","Travis Coons","8","31","23.2","6.3","TRAVISCOONS"
"31","Randy Bullock","6","30","21.9","5.3","RANDYBULLOCK"
"32","Greg Zuerlein","16","32","24.8","5.2","GREGZUERLEIN"
"33","Andrew Franks","7","32","26.2","4.9","ANDREWFRANKS"
"34","Zach Hocker","16","32","28.2","5.0","ZACHHOCKER"
