"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","6","1.4","0.9","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","14","2.6","2.0","STEVENHAUSCHKA"
"3","Chandler Catanzaro","1","8","3.5","1.1","CHANDLERCATANZARO"
"4","Graham Gano","1","9","3.9","1.4","GRAHAMGANO"
"5","Cairo Santos","2","21","5.7","3.2","CAIROSANTOS"
"6","Mason Crosby","4","16","6.9","2.0","MASONCROSBY"
"7","Brandon McManus","3","27","9.2","4.7","BRANDONMCMANUS"
"8","Matt Prater","1","20","9.0","3.2","MATTPRATER"
"9","Josh Brown","4","25","10.4","3.9","JOSHBROWN"
"10","Blair Walsh","5","22","11.0","3.0","BLAIRWALSH"
"11","Chris Boswell","1","20","10.7","3.5","CHRISBOSWELL"
"12","Mike Nugent","3","25","12.6","3.4","MIKENUGENT"
"13","Adam Vinatieri","7","26","13.3","3.6","ADAMVINATIERI"
"14","Jason Myers","5","24","14.5","4.0","JASONMYERS"
"15","Dan Carpenter","8","23","14.9","2.6","DANCARPENTER"
"16","Justin Tucker","3","32","17.4","5.3","JUSTINTUCKER"
"17","Connor Barth","2","29","16.9","4.3","CONNORBARTH"
"18","Sebastian Janikowski","5","30","17.2","3.8","SEBASTIANJANIKOWSKI"
"19","Dustin Hopkins","9","28","18.9","3.8","DUSTINHOPKINS"
"20","Randy Bullock","4","26","17.8","4.3","RANDYBULLOCK"
"21","Kai Forbath","3","28","16.1","7.1","KAIFORBATH"
"22","Nick Novak","4","31","20.2","6.3","NICKNOVAK"
"23","Dan Bailey","6","32","20.7","5.7","DANBAILEY"
"24","Robbie Gould","9","30","20.5","5.2","ROBBIEGOULD"
"25","Josh Lambo","9","29","20.1","4.3","JOSHLAMBO"
"26","Shayne Graham","3","29","20.4","6.1","SHAYNEGRAHAM"
"27","Greg Zuerlein","1","30","21.0","7.1","GREGZUERLEIN"
"28","Caleb Sturgis","12","30","21.8","4.9","CALEBSTURGIS"
"29","Andrew Franks","15","28","21.9","3.8","ANDREWFRANKS"
"30","Ryan Succop","14","32","28.8","4.2","RYANSUCCOP"
"31","Phil Dawson","21","31","27.9","3.0","PHILDAWSON"
"32","Travis Coons","27","32","31.1","1.5","TRAVISCOONS"
