"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","11","1.5","1.6","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","3.0","2.9","STEVENHAUSCHKA"
"3","Justin Tucker","1","11","3.6","1.7","JUSTINTUCKER"
"4","Chandler Catanzaro","2","16","5.3","2.5","CHANDLERCATANZARO"
"5","Matt Bryant","1","19","5.8","3.0","MATTBRYANT"
"6","Brandon McManus","1","20","6.7","3.5","BRANDONMCMANUS"
"7","Josh Brown","2","19","7.2","3.2","JOSHBROWN"
"8","Mason Crosby","2","18","9.3","3.1","MASONCROSBY"
"9","Josh Lambo","1","21","10.1","3.4","JOSHLAMBO"
"10","Cairo Santos","2","25","10.2","3.8","CAIROSANTOS"
"11","Graham Gano","3","22","11.6","3.7","GRAHAMGANO"
"12","Blair Walsh","2","25","12.4","3.1","BLAIRWALSH"
"13","Nick Folk","3","22","12.8","3.0","NICKFOLK"
"14","Adam Vinatieri","5","26","13.1","4.1","ADAMVINATIERI"
"15","Dan Bailey","5","27","16.0","4.3","DANBAILEY"
"16","Robbie Gould","5","28","15.9","3.6","ROBBIEGOULD"
"17","Greg Zuerlein","3","23","16.7","3.8","GREGZUERLEIN"
"18","Kai Forbath","5","26","16.2","4.3","KAIFORBATH"
"19","Matt Prater","8","26","18.1","3.4","MATTPRATER"
"20","Chris Boswell","4","28","15.9","5.1","CHRISBOSWELL"
"21","Sebastian Janikowski","12","28","19.6","3.4","SEBASTIANJANIKOWSKI"
"22","Mike Nugent","9","27","17.9","4.0","MIKENUGENT"
"23","Nick Novak","6","28","20.2","5.0","NICKNOVAK"
"24","Travis Coons","10","28","21.3","4.6","TRAVISCOONS"
"25","Andrew Franks","6","26","20.5","4.3","ANDREWFRANKS"
"26","Connor Barth","8","28","21.3","4.7","CONNORBARTH"
"27","Phil Dawson","1","28","22.0","5.1","PHILDAWSON"
"28","Ryan Succop","6","28","23.9","4.2","RYANSUCCOP"
"29","Zach Hocker","7","21","14.0","7.0","ZACHHOCKER"
