"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Adrian Peterson","RB1","at  ATL","1","32","2.7","4.3","ADRIANPETERSON"
"2","Carson Palmer","QB1","at  SF","1","14","3.9","2.3","CARSONPALMER"
"3","DeAndre Hopkins","WR1","vs.  NO","1","17","6.7","3.0","DEANDREHOPKINS"
"4","Aaron Rodgers","QB2","vs.  CHI","1","25","3.0","2.9","AARONRODGERS"
"5","Cam Newton","QB3","at  DAL","1","21","5.3","2.8","CAMNEWTON"
"6","Todd Gurley","RB2","at  CIN","1","63","9.9","9.0","TODDGURLEY"
"7","Julio Jones","WR2","vs.  MIN","3","25","12.5","4.3","JULIOJONES"
"8","Eli Manning","QB4","at  WAS","5","26","8.8","3.1","ELIMANNING"
"9","Tom Brady","QB5","at  DEN","2","40","10.0","5.4","TOMBRADY"
"10","Drew Brees","QB6","at  HOU","1","29","11.7","5.0","DREWBREES"
"11","Doug Martin","RB3","at  IND","2","45","14.8","11.5","DOUGMARTIN"
"12","Odell Beckham","WR3","at  WAS","5","40","17.6","5.3","ODELLBECKHAM"
"13","Blake Bortles","QB7","vs.  SD","7","39","14.0","5.5","BLAKEBORTLES"
"14","Russell Wilson","QB8","vs.  PIT","3","43","16.0","6.8","RUSSELLWILSON"
"15","Antonio Brown","WR4","at  SEA","4","48","20.3","6.6","ANTONIOBROWN"
"16","DeMarco Murray","RB4","at  DET","2","73","18.6","14.9","DEMARCOMURRAY"
"17","Matthew Stafford","QB9","vs.  PHI","2","48","17.3","7.8","MATTHEWSTAFFORD"
"18","Brian Hoyer","QB10","vs.  NO","1","59","16.7","7.8","BRIANHOYER"
"19","Philip Rivers","QB11","at  JAC","8","54","19.7","7.4","PHILIPRIVERS"
"20","Ben Roethlisberger","QB12","at  SEA","3","41","20.7","8.2","BENROETHLISBERGER"
"21","Larry Fitzgerald","WR5","at  SF","6","46","25.3","6.4","LARRYFITZGERALD"
"22","Andy Dalton","QB13","vs.  STL","10","63","22.7","8.3","ANDYDALTON"
"23","Derek Carr","QB14","at  TEN","11","46","24.1","7.0","DEREKCARR"
"24","Rob Gronkowski","TE1","at  DEN","9","82","28.0","15.0","ROBGRONKOWSKI"
"25","Calvin Johnson","WR6","vs.  PHI","4","54","30.7","7.1","CALVINJOHNSON"
"26","Matt Ryan","QB15","vs.  MIN","9","69","27.1","9.3","MATTRYAN"
"27","Mark Ingram","RB5","at  HOU","3","68","29.0","14.4","MARKINGRAM"
"28","Darren McFadden","RB6","vs.  CAR","3","73","29.5","16.5","DARRENMCFADDEN"
"29","Demaryius Thomas","WR7","vs.  NE","13","71","33.1","9.9","DEMARYIUSTHOMAS"
"30","Thomas Rawls","RB7","vs.  PIT","8","71","31.7","11.7","THOMASRAWLS"
"31","Allen Robinson","WR8","vs.  SD","10","51","34.1","5.5","ALLENROBINSON"
"32","LeSean McCoy","RB8","at  KC","2","70","33.6","11.2","LESEANMCCOY"
"33","Mike Evans","WR9","at  IND","11","93","37.4","9.0","MIKEEVANS"
"34","Brandon Marshall","WR10","vs.  MIA","8","80","37.5","9.5","BRANDONMARSHALL"
"35","Marcus Mariota","QB16","vs.  OAK","18","56","32.9","7.9","MARCUSMARIOTA"
"36","T.J. Yeldon","RB9","vs.  SD","1","94","37.2","15.0","TJYELDON"
"37","Jameis Winston","QB17","at  IND","13","89","35.3","9.4","JAMEISWINSTON"
"38","Jonathan Stewart","RB10","at  DAL","9","76","39.0","15.2","JONATHANSTEWART"
"39","Dez Bryant","WR11","vs.  CAR","12","96","43.7","11.1","DEZBRYANT"
"40","Josh McCown","QB18","vs.  BAL","11","104","34.5","14.4","JOSHMCCOWN"
"41","A.J. Green","WR12","vs.  STL","13","84","46.2","10.4","AJGREEN"
"42","Christopher Ivory","RB11","vs.  MIA","9","93","45.2","17.5","CHRISIVORY"
"43","Amari Cooper","WR13","at  TEN","18","79","50.6","9.8","AMARICOOPER"
"44","Eric Decker","WR14","vs.  MIA","16","87","52.4","8.1","ERICDECKER"
"45","Greg Olsen","TE2","at  DAL","17","88","53.4","11.9","GREGOLSEN"
"46","Brandin Cooks","WR15","at  HOU","21","78","53.5","9.4","BRANDINCOOKS"
"47","Jay Cutler","QB19","at  GB","23","84","42.0","9.3","JAYCUTLER"
"48","Ryan Fitzpatrick","QB20","vs.  MIA","23","101","44.4","8.9","RYANFITZPATRICK"
"49","Randall Cobb","WR16","vs.  CHI","14","101","55.5","12.9","RANDALLCOBB"
"50","Jarvis Landry","WR17","at  NYJ","19","92","55.7","9.1","JARVISLANDRY"
"51","Lamar Miller","RB12","at  NYJ","31","99","55.3","11.1","LAMARMILLER"
"52","Kirk Cousins","QB21","vs.  NYG","8","87","44.2","12.6","KIRKCOUSINS"
"53","Javorius Allen","RB13","at  CLE","19","96","56.4","14.1","JAVORIUSALLEN"
"54","Alshon Jeffery","WR18","at  GB","15","121","56.4","18.0","ALSHONJEFFERY"
"55","DeAngelo Williams","RB14","at  SEA","23","99","57.7","15.3","DEANGELOWILLIAMS"
"56","Martavis Bryant","WR19","at  SEA","23","93","60.7","14.2","MARTAVISBRYANT"
"57","Michael Crabtree","WR20","at  TEN","22","96","62.2","10.6","MICHAELCRABTREE"
"58","Tyler Eifert","TE3","vs.  STL","7","95","64.5","11.1","TYLEREIFERT"
"59","Chris Johnson","RB15","at  SF","21","97","65.8","13.8","CHRISJOHNSON"
"60","Latavius Murray","RB16","at  TEN","20","110","66.8","14.0","LATAVIUSMURRAY"
"61","Eddie Lacy","RB17","vs.  CHI","24","135","67.1","17.0","EDDIELACY"
"62","Steve Johnson","WR21","at  JAC","26","124","71.0","11.3","STEVIEJOHNSON"
"63","Delanie Walker","TE4","vs.  OAK","10","99","71.5","12.6","DELANIEWALKER"
"64","Ryan Tannehill","QB22","at  NYJ","11","93","54.3","12.7","RYANTANNEHILL"
"65","Giovani Bernard","RB18","vs.  STL","22","109","71.0","15.6","GIOVANIBERNARD"
"66","Mark Sanchez","QB23","at  DET","9","109","51.9","12.2","MARKSANCHEZ"
"67","Tyrod Taylor","QB24","at  KC","39","96","59.6","13.4","TYRODTAYLOR"
"68","T.Y. Hilton","WR22","vs.  TB","30","99","74.0","12.4","TYHILTON"
"69","Allen Hurns","WR23","vs.  SD","31","101","74.5","12.1","ALLENHURNS"
"70","Matt Forte","RB19","at  GB","12","143","71.9","20.9","MATTFORTE"
"71","Brock Osweiler","QB25","vs.  NE","29","98","57.0","12.6","BROCKOSWEILER"
"72","Alex Smith","QB26","vs.  BUF","37","122","64.9","16.8","ALEXSMITH"
"73","Jordan Reed","TE5","vs.  NYG","32","128","76.4","14.8","JORDANREED"
"74","Frank Gore","RB20","vs.  TB","37","159","76.9","18.4","FRANKGORE"
"75","Danny Woodhead","RB21","at  JAC","19","132","77.7","21.7","DANNYWOODHEAD"
"76","Stefon Diggs","WR24","at  ATL","36","112","79.5","12.9","STEFONDIGGS"
"77","Sammy Watkins","WR25","at  KC","27","115","79.6","13.6","SAMMYWATKINS"
"78","Jeremy Maclin","WR26","vs.  BUF","32","120","82.4","12.5","JEREMYMACLIN"
"79","Antonio Gates","TE6","at  JAC","25","113","84.3","12.0","ANTONIOGATES"
"80","Golden Tate","WR27","vs.  PHI","13","147","84.5","16.7","GOLDENTATE"
"81","Matt Hasselbeck","QB27","vs.  TB","27","83","56.5","13.1","MATTHASSELBECK"
"82","Brandon LaFell","WR28","at  DEN","38","118","84.5","13.3","BRANDONLAFELL"
"83","Alfred Blue","RB22","vs.  NO","2","150","83.3","19.5","ALFREDBLUE"
"84","LeGarrette Blount","RB23","at  DEN","52","127","83.8","11.1","LEGARRETTEBLOUNT"
"85","Davante Adams","WR29","vs.  CHI","29","123","87.9","13.7","DAVANTEADAMS"
"86","Travis Kelce","TE7","vs.  BUF","23","140","88.4","15.5","TRAVISKELCE"
"87","Jordan Matthews","WR30","at  DET","42","140","89.1","15.6","JORDANMATTHEWS"
"88","DeSean Jackson","WR31","vs.  NYG","45","114","89.2","12.9","DESEANJACKSON"
"89","John Brown","WR32","at  SF","44","121","91.1","11.9","JOHNBROWN"
"90","Vincent Jackson","WR33","at  IND","40","118","93.1","10.8","VINCENTJACKSON"
"91","Gary Barnidge","TE8","vs.  BAL","22","128","88.5","16.0","GARYBARNIDGE"
"92","Ronnie Hillman","RB24","vs.  NE","62","164","94.8","14.6","RONNIEHILLMAN"
"93","Jimmy Graham","TE9","vs.  PIT","43","136","96.9","15.8","JIMMYGRAHAM"
"94","Kamar Aiken","WR34","at  CLE","35","158","96.4","15.1","KAMARAIKEN"
"95","James Jones","WR35","vs.  CHI","43","126","99.1","11.2","JAMESJONES"
"96","Antonio Andrews","RB25","vs.  OAK","53","139","98.9","15.6","ANTONIOANDREWS"
"97","Emmanuel Sanders","WR36","vs.  NE","52","131","96.7","15.3","EMMANUELSANDERS"
"98","Danny Amendola","WR37","at  DEN","28","135","85.9","18.8","DANNYAMENDOLA"
