"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","3","1.1","0.4","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","12","3.0","2.1","STEVENHAUSCHKA"
"3","Justin Tucker","1","7","3.5","1.3","JUSTINTUCKER"
"4","Chandler Catanzaro","2","16","5.6","2.5","CHANDLERCATANZARO"
"5","Matt Bryant","2","18","5.9","3.2","MATTBRYANT"
"6","Brandon McManus","1","23","6.8","4.4","BRANDONMCMANUS"
"7","Josh Brown","2","18","6.7","2.4","JOSHBROWN"
"8","Mason Crosby","5","17","9.1","2.3","MASONCROSBY"
"9","Cairo Santos","3","17","9.8","2.8","CAIROSANTOS"
"10","Josh Lambo","2","21","11.2","3.6","JOSHLAMBO"
"11","Adam Vinatieri","5","26","12.8","4.9","ADAMVINATIERI"
"12","Graham Gano","4","22","12.6","3.7","GRAHAMGANO"
"13","Blair Walsh","3","22","12.6","3.1","BLAIRWALSH"
"14","Nick Folk","2","22","12.6","3.2","NICKFOLK"
"15","Dan Bailey","5","27","16.0","5.2","DANBAILEY"
"16","Robbie Gould","8","26","16.0","3.5","ROBBIEGOULD"
"17","Kai Forbath","5","26","15.9","4.7","KAIFORBATH"
"18","Greg Zuerlein","7","25","17.4","3.9","GREGZUERLEIN"
"19","Chris Boswell","5","24","14.9","4.4","CHRISBOSWELL"
"20","Mike Nugent","8","24","16.2","3.8","MIKENUGENT"
"21","Matt Prater","12","25","17.9","2.9","MATTPRATER"
"22","Andrew Franks","6","25","19.3","4.5","ANDREWFRANKS"
"23","Sebastian Janikowski","12","28","18.6","3.5","SEBASTIANJANIKOWSKI"
"24","Connor Barth","9","28","20.7","5.4","CONNORBARTH"
"25","Travis Coons","10","28","20.6","4.1","TRAVISCOONS"
"26","Nick Novak","10","26","20.4","4.0","NICKNOVAK"
"27","Phil Dawson","14","28","22.4","4.6","PHILDAWSON"
"28","Ryan Succop","16","26","21.8","3.0","RYANSUCCOP"
