"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","13","2.0","2.0"
"2","Arizona Cardinals","1","22","3.0","2.8"
"3","Carolina Panthers","1","15","3.9","2.1"
"4","Buffalo Bills","1","20","5.0","2.6"
"5","St. Louis Rams","1","25","5.0","3.4"
"6","Minnesota Vikings","1","18","7.4","3.3"
"7","Miami Dolphins","1","21","8.3","3.5"
"8","New England Patriots","1","19","8.6","2.8"
"9","Washington Redskins","2","22","9.3","3.7"
"10","New York Giants","1","24","10.4","3.4"
"11","Pittsburgh Steelers","2","24","12.1","3.9"
"12","Atlanta Falcons","2","22","12.1","4.3"
"13","Houston Texans","4","24","12.6","3.4"
"14","Philadelphia Eagles","5","23","13.5","3.1"
"15","New York Jets","2","28","13.6","4.2"
"16","Kansas City Chiefs","4","25","15.6","3.3"
"17","San Diego Chargers","4","25","17.3","2.9"
"18","Jacksonville Jaguars","5","28","17.3","3.2"
"19","Cleveland Browns","2","27","18.7","3.9"
"20","San Francisco 49ers","7","28","19.8","3.4"
"21","Detroit Lions","8","27","19.2","3.8"
"22","Tampa Bay Buccaneers","8","27","18.4","4.3"
"23","Dallas Cowboys","5","28","21.0","4.6"
"24","Indianapolis Colts","14","27","22.5","3.3"
"25","Tennessee Titans","13","28","23.0","3.8"
"26","Baltimore Ravens","5","28","23.7","5.1"
"27","Oakland Raiders","9","28","24.6","3.8"
"28","New Orleans Saints","13","28","25.9","2.9"
