"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.4","1.8","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","2","6","2.5","1.0","STEVENHAUSCHKA"
"3","Justin Tucker","2","11","4.5","2.6","JUSTINTUCKER"
"4","Matt Bryant","2","9","5.0","1.7","MATTBRYANT"
"5","Dan Bailey","2","19","6.0","3.5","DANBAILEY"
"6","Graham Gano","3","13","6.9","2.6","GRAHAMGANO"
"7","Sebastian Janikowski","1","14","7.0","2.8","SEBASTIANJANIKOWSKI"
"8","Chandler Catanzaro","3","12","8.8","2.1","CHANDLERCATANZARO"
"9","Cairo Santos","4","20","9.3","3.7","CAIROSANTOS"
"10","Brandon McManus","2","20","9.8","4.2","BRANDONMCMANUS"
"11","Mason Crosby","4","17","10.5","2.6","MASONCROSBY"
"12","Blair Walsh","5","16","11.5","3.0","BLAIRWALSH"
"13","Caleb Sturgis","7","18","13.7","2.7","CALEBSTURGIS"
"14","Dan Carpenter","7","23","14.3","3.3","DANCARPENTER"
"15","Mike Nugent","11","21","15.4","3.0","MIKENUGENT"
"16","Josh Lambo","5","24","15.3","3.3","JOSHLAMBO"
"17","Adam Vinatieri","9","20","16.5","2.8","ADAMVINATIERI"
"18","Robbie Gould","5","25","17.5","3.9","ROBBIEGOULD"
"19","Greg Zuerlein","12","22","17.4","2.7","GREGZUERLEIN"
"20","Matt Prater","4","24","18.7","3.9","MATTPRATER"
"21","Connor Barth","5","27","17.9","6.3","CONNORBARTH"
"22","Randy Bullock","13","27","18.0","3.8","RANDYBULLOCK"
"23","Andrew Franks","14","27","21.2","3.8","ANDREWFRANKS"
"24","Dustin Hopkins","11","28","22.0","4.4","DUSTINHOPKINS"
"25","Nick Novak","17","28","21.8","3.5","NICKNOVAK"
"26","Jason Myers","14","26","21.2","2.8","JASONMYERS"
"27","Ryan Succop","21","28","23.9","2.1","RYANSUCCOP"
"28","Phil Dawson","25","28","26.6","1.4","PHILDAWSON"
