"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","10","1.8","2.0","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","12","4.0","3.0","STEVENHAUSCHKA"
"3","Mason Crosby","2","13","5.9","3.1","MASONCROSBY"
"4","Matt Bryant","1","16","6.8","4.3","MATTBRYANT"
"5","Dan Bailey","1","15","7.2","3.6","DANBAILEY"
"6","Cairo Santos","2","24","8.1","6.4","CAIROSANTOS"
"7","Chandler Catanzaro","1","31","8.3","5.9","CHANDLERCATANZARO"
"8","Graham Gano","1","18","8.7","3.8","GRAHAMGANO"
"9","Blair Walsh","2","20","9.2","4.6","BLAIRWALSH"
"10","Brandon McManus","3","19","9.8","4.1","BRANDONMCMANUS"
"11","Josh Brown","2","15","9.7","3.7","JOSHBROWN"
"12","Justin Tucker","2","25","11.5","5.3","JUSTINTUCKER"
"13","Sebastian Janikowski","3","24","12.5","4.3","SEBASTIANJANIKOWSKI"
"14","Adam Vinatieri","7","20","14.3","3.0","ADAMVINATIERI"
"15","Josh Lambo","6","24","14.8","4.5","JOSHLAMBO"
"16","Mike Nugent","6","24","14.9","4.3","MIKENUGENT"
"17","Nick Novak","5","28","16.0","4.9","NICKNOVAK"
"18","Robbie Gould","7","29","18.6","4.4","ROBBIEGOULD"
"19","Matt Prater","7","28","18.3","4.3","MATTPRATER"
"20","Connor Barth","5","30","16.9","7.4","CONNORBARTH"
"21","Phil Dawson","3","31","20.5","6.6","PHILDAWSON"
"22","Jason Myers","6","26","19.0","6.1","JASONMYERS"
"23","Dan Carpenter","8","27","20.0","5.4","DANCARPENTER"
"24","Ryan Succop","12","28","22.0","5.4","RYANSUCCOP"
"25","Caleb Sturgis","15","29","20.3","3.7","CALEBSTURGIS"
"26","Kai Forbath","16","23","18.2","2.4","KAIFORBATH"
"27","Dustin Hopkins","13","29","22.6","4.7","DUSTINHOPKINS"
"28","Randy Bullock","17","30","22.0","4.2","RANDYBULLOCK"
"29","Greg Zuerlein","16","32","24.6","5.4","GREGZUERLEIN"
"30","Chris Boswell","17","30","23.0","4.9","CHRISBOSWELL"
"31","Travis Coons","19","29","24.7","4.1","TRAVISCOONS"
"32","Andrew Franks","19","32","26.3","4.4","ANDREWFRANKS"
