"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","14","1.5","2.2","STEPHENGOSTKOWSKI"
"2","Brandon McManus","1","11","3.4","2.3","BRANDONMCMANUS"
"3","Justin Tucker","1","13","3.2","1.8","JUSTINTUCKER"
"4","Mason Crosby","2","13","4.9","2.4","MASONCROSBY"
"5","Josh Brown","2","16","6.8","3.5","JOSHBROWN"
"6","Steven Hauschka","1","17","6.9","3.0","STEVENHAUSCHKA"
"7","Sebastian Janikowski","2","23","9.4","4.4","SEBASTIANJANIKOWSKI"
"8","Mike Nugent","3","20","9.7","3.4","MIKENUGENT"
"9","Blair Walsh","3","22","9.6","4.0","BLAIRWALSH"
"10","Graham Gano","4","22","11.1","3.9","GRAHAMGANO"
"11","Caleb Sturgis","2","24","11.4","4.2","CALEBSTURGIS"
"12","Dan Bailey","4","24","12.2","4.7","DANBAILEY"
"13","Greg Zuerlein","3","21","12.4","3.6","GREGZUERLEIN"
"14","Chandler Catanzaro","4","20","14.7","3.4","CHANDLERCATANZARO"
"15","Robbie Gould","5","28","15.6","4.7","ROBBIEGOULD"
"16","Chris Boswell","4","21","14.7","4.3","CHRISBOSWELL"
"17","Kai Forbath","2","24","15.5","5.9","KAIFORBATH"
"18","Dustin Hopkins","5","24","16.0","3.7","DUSTINHOPKINS"
"19","Connor Barth","3","24","15.6","5.3","CONNORBARTH"
"20","Dan Carpenter","8","25","17.4","3.3","DANCARPENTER"
"21","Jason Myers","9","26","18.4","4.0","JASONMYERS"
"22","Cairo Santos","7","28","20.4","6.1","CAIROSANTOS"
"23","Travis Coons","10","28","20.7","5.1","TRAVISCOONS"
"24","Randy Bullock","10","24","16.0","4.3","RANDYBULLOCK"
"25","Matt Prater","9","27","20.9","4.8","MATTPRATER"
"26","Nick Folk","6","28","16.7","6.0","NICKFOLK"
"27","Andrew Franks","15","25","20.8","2.6","ANDREWFRANKS"
"28","Ryan Succop","18","28","23.0","2.6","RYANSUCCOP"
"29","Nick Novak","22","28","25.6","2.1","NICKNOVAK"
