"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","6","2.0","1.4"
"2","St. Louis Rams","1","8","2.9","2.0"
"3","Carolina Panthers","1","19","4.2","3.8"
"4","Green Bay Packers","1","11","5.4","2.6"
"5","New York Jets","2","17","6.0","3.4"
"6","Cincinnati Bengals","2","18","6.0","3.4"
"7","Philadelphia Eagles","3","12","7.4","2.0"
"8","New England Patriots","1","17","8.4","3.5"
"9","Pittsburgh Steelers","4","21","9.8","3.4"
"10","Seattle Seahawks","3","15","9.3","3.3"
"11","Arizona Cardinals","3","24","10.8","4.2"
"12","Minnesota Vikings","5","19","12.9","3.4"
"13","Buffalo Bills","8","17","12.6","2.2"
"14","Dallas Cowboys","7","22","13.6","3.5"
"15","Oakland Raiders","9","27","16.0","3.4"
"16","Tampa Bay Buccaneers","10","24","16.9","2.8"
"17","Kansas City Chiefs","8","23","16.7","3.6"
"18","Miami Dolphins","14","23","17.6","2.1"
"19","Baltimore Ravens","8","25","16.6","4.0"
"20","New Orleans Saints","12","22","18.4","3.2"
"21","Jacksonville Jaguars","13","28","20.4","4.1"
"22","Cleveland Browns","18","26","21.6","2.5"
"23","Tennessee Titans","10","27","20.5","5.1"
"24","Chicago Bears","17","26","21.8","2.7"
"25","New York Giants","4","28","21.1","7.3"
"26","Houston Texans","14","27","23.5","4.0"
"27","Washington Redskins","21","28","24.9","2.6"
"28","Detroit Lions","17","28","24.9","3.5"
