"Rank","Player","Best","Worst","Avg","Std"
"1","New York Jets","1","9","2.7","2.0"
"2","Denver Broncos","1","9","2.8","1.7"
"3","New England Patriots","1","7","2.8","1.6"
"4","St. Louis Rams","1","13","3.8","1.9"
"5","Atlanta Falcons","2","12","5.0","1.9"
"6","Cincinnati Bengals","1","15","5.4","2.2"
"7","Minnesota Vikings","3","13","7.4","1.9"
"8","Green Bay Packers","5","13","9.3","1.7"
"9","Carolina Panthers","2","24","9.8","3.5"
"10","Philadelphia Eagles","3","19","9.8","3.0"
"11","Dallas Cowboys","4","18","11.4","2.3"
"12","Buffalo Bills","4","17","11.3","2.2"
"13","New York Giants","7","22","13.6","3.1"
"14","Pittsburgh Steelers","9","20","14.6","1.9"
"15","Miami Dolphins","8","23","14.9","2.7"
"16","New Orleans Saints","6","22","15.0","3.1"
"17","San Diego Chargers","12","24","16.7","2.1"
"18","San Francisco 49ers","8","26","18.8","3.3"
"19","Indianapolis Colts","9","25","18.7","2.7"
"20","Tennessee Titans","8","26","19.3","3.2"
"21","Jacksonville Jaguars","11","25","17.9","3.6"
"22","Tampa Bay Buccaneers","12","25","20.1","2.8"
"23","Oakland Raiders","14","26","20.3","3.2"
"24","Chicago Bears","17","26","22.2","2.1"
"25","Cleveland Browns","15","26","23.2","2.7"
"26","Washington Redskins","21","26","25.5","1.1"
