"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","26","2.1","3.1","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","3.9","3.7","STEVENHAUSCHKA"
"3","Mason Crosby","1","14","4.8","3.0","MASONCROSBY"
"4","Chandler Catanzaro","1","19","5.4","3.5","CHANDLERCATANZARO"
"5","Josh Brown","2","18","7.3","3.2","JOSHBROWN"
"6","Cairo Santos","2","24","7.1","4.2","CAIROSANTOS"
"7","Graham Gano","1","19","7.1","3.3","GRAHAMGANO"
"8","Dan Bailey","1","27","9.2","4.2","DANBAILEY"
"9","Matt Bryant","1","24","8.8","4.7","MATTBRYANT"
"10","Brandon McManus","1","31","11.2","4.6","BRANDONMCMANUS"
"11","Blair Walsh","2","30","11.4","4.4","BLAIRWALSH"
"12","Justin Tucker","2","28","11.7","5.0","JUSTINTUCKER"
"13","Sebastian Janikowski","2","28","14.0","3.6","SEBASTIANJANIKOWSKI"
"14","Adam Vinatieri","1","24","14.4","3.4","ADAMVINATIERI"
"15","Mike Nugent","3","29","14.8","4.1","MIKENUGENT"
"16","Nick Novak","2","29","14.8","4.7","NICKNOVAK"
"17","Josh Lambo","3","27","16.6","3.8","JOSHLAMBO"
"18","Matt Prater","1","29","17.8","4.1","MATTPRATER"
"19","Robbie Gould","6","30","18.6","4.1","ROBBIEGOULD"
"20","Jason Myers","3","31","17.9","5.7","JASONMYERS"
"21","Connor Barth","5","31","17.7","5.9","CONNORBARTH"
"22","Caleb Sturgis","3","29","17.3","5.5","CALEBSTURGIS"
"23","Chris Boswell","3","32","18.7","8.0","CHRISBOSWELL"
"24","Kai Forbath","5","32","20.0","7.0","KAIFORBATH"
"25","Dustin Hopkins","3","31","20.9","6.9","DUSTINHOPKINS"
"26","Dan Carpenter","5","32","22.1","6.5","DANCARPENTER"
"27","Ryan Succop","7","32","24.2","6.2","RYANSUCCOP"
"28","Phil Dawson","6","32","25.1","6.3","PHILDAWSON"
"29","Travis Coons","8","31","24.5","6.5","TRAVISCOONS"
"30","Randy Bullock","6","30","22.7","5.3","RANDYBULLOCK"
"31","Shayne Graham","1","17","10.0","5.9","SHAYNEGRAHAM"
"32","Andrew Franks","7","32","26.8","4.9","ANDREWFRANKS"
"33","Greg Zuerlein","17","32","27.6","3.9","GREGZUERLEIN"
