"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","9","1.3","0.9"
"2","Carolina Panthers","1","12","2.5","1.4"
"3","Denver Broncos","1","15","3.8","1.9"
"4","New York Jets","1","8","4.1","1.4"
"5","Philadelphia Eagles","2","12","5.8","1.9"
"6","New England Patriots","1","19","6.3","2.3"
"7","St. Louis Rams","1","17","6.9","2.2"
"8","Arizona Cardinals","3","27","9.0","3.9"
"9","Cincinnati Bengals","5","28","11.9","4.4"
"10","Kansas City Chiefs","3","23","11.5","3.2"
"11","Green Bay Packers","4","23","12.8","3.0"
"12","Tennessee Titans","5","22","11.6","3.8"
"13","Baltimore Ravens","3","24","13.4","3.4"
"14","Dallas Cowboys","8","23","14.7","3.0"
"15","Chicago Bears","4","26","15.1","3.7"
"16","Houston Texans","3","24","14.9","3.3"
"17","Tampa Bay Buccaneers","7","28","17.1","3.7"
"18","Oakland Raiders","4","27","17.3","3.6"
"19","Minnesota Vikings","4","27","17.4","4.0"
"20","Miami Dolphins","8","24","19.3","2.9"
"21","Jacksonville Jaguars","3","26","15.5","5.5"
"22","Atlanta Falcons","5","27","16.5","5.5"
"23","Buffalo Bills","11","28","20.5","4.3"
"24","San Francisco 49ers","16","28","23.8","3.6"
"25","San Diego Chargers","12","28","23.5","3.3"
"26","Detroit Lions","18","28","24.5","2.2"
"27","Indianapolis Colts","20","28","24.7","2.4"
"28","Washington Redskins","15","28","25.5","2.8"
"29","Pittsburgh Steelers","25","29","27.0","1.6"
