"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","22","3.0","2.8"
"2","Seattle Seahawks","1","13","2.0","2.0"
"3","Carolina Panthers","1","15","4.0","2.2"
"4","Buffalo Bills","1","20","4.9","2.5"
"5","St. Louis Rams","1","11","4.5","2.3"
"6","Minnesota Vikings","1","18","7.3","3.3"
"7","Miami Dolphins","1","21","8.3","3.5"
"8","New England Patriots","1","19","8.5","2.8"
"9","Washington Redskins","2","22","9.2","3.5"
"10","New York Giants","1","24","10.3","3.3"
"11","Atlanta Falcons","2","22","11.7","4.3"
"12","Pittsburgh Steelers","3","24","12.3","3.9"
"13","Houston Texans","4","24","12.6","3.4"
"14","Philadelphia Eagles","5","23","13.6","3.3"
"15","New York Jets","2","28","13.9","4.0"
"16","Kansas City Chiefs","5","24","15.5","3.2"
"17","San Diego Chargers","4","25","17.2","3.1"
"18","Jacksonville Jaguars","5","26","17.2","3.1"
"19","Cleveland Browns","2","27","18.8","3.7"
"20","San Francisco 49ers","7","28","19.7","3.3"
"21","Detroit Lions","8","25","19.3","3.6"
"22","Tampa Bay Buccaneers","8","26","18.2","4.1"
"23","Dallas Cowboys","10","28","21.0","4.2"
"24","Indianapolis Colts","14","27","22.4","3.4"
"25","Tennessee Titans","13","28","23.0","3.6"
"26","Baltimore Ravens","10","28","23.7","4.5"
"27","Oakland Raiders","9","28","24.3","3.8"
"28","New Orleans Saints","13","28","25.8","2.9"
