"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","12","1.3","1.4","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","19","3.2","2.7","STEVENHAUSCHKA"
"3","Justin Tucker","1","25","4.7","3.7","JUSTINTUCKER"
"4","Dan Bailey","2","16","5.7","2.9","DANBAILEY"
"5","Matt Bryant","2","17","6.1","3.0","MATTBRYANT"
"6","Graham Gano","2","20","7.1","3.3","GRAHAMGANO"
"7","Chandler Catanzaro","2","24","7.9","2.9","CHANDLERCATANZARO"
"8","Sebastian Janikowski","1","26","8.7","4.3","SEBASTIANJANIKOWSKI"
"9","Cairo Santos","2","20","8.7","3.1","CAIROSANTOS"
"10","Brandon McManus","1","26","10.1","4.1","BRANDONMCMANUS"
"11","Mason Crosby","2","21","10.6","3.3","MASONCROSBY"
"12","Blair Walsh","2","22","11.2","3.4","BLAIRWALSH"
"13","Caleb Sturgis","4","21","12.9","3.0","CALEBSTURGIS"
"14","Mike Nugent","4","21","14.3","3.1","MIKENUGENT"
"15","Josh Lambo","5","24","14.5","3.3","JOSHLAMBO"
"16","Dan Carpenter","8","25","16.5","3.2","DANCARPENTER"
"17","Robbie Gould","4","24","16.7","3.5","ROBBIEGOULD"
"18","Adam Vinatieri","2","26","16.8","3.5","ADAMVINATIERI"
"19","Matt Prater","4","27","17.5","4.1","MATTPRATER"
"20","Greg Zuerlein","8","26","19.4","2.8","GREGZUERLEIN"
"21","Connor Barth","5","27","19.5","5.1","CONNORBARTH"
"22","Jason Myers","9","28","19.2","5.0","JASONMYERS"
"23","Andrew Franks","6","28","19.8","5.0","ANDREWFRANKS"
"24","Randy Bullock","13","27","19.7","3.5","RANDYBULLOCK"
"25","Nick Novak","10","28","21.8","4.5","NICKNOVAK"
"26","Dustin Hopkins","11","28","23.1","4.6","DUSTINHOPKINS"
"27","Ryan Succop","7","28","23.4","4.0","RYANSUCCOP"
"28","Phil Dawson","19","28","26.2","2.7","PHILDAWSON"
