"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"74","Brandin Cooks","WR26","vs.  CAR","57","100","76.0","9.4","BRANDINCOOKS"
"75","Charcandrick West","RB21","at  OAK","11","160","76.0","21.7","CHARCANDRICKWEST"
"76","Shaun Draughn","RB22","at  CHI","33","118","76.4","20.2","SHAUNDRAUGHN"
"77","T.J. Yeldon","RB23","at  TEN","57","127","78.0","13.1","TJYELDON"
"78","Jordan Reed","TE4","vs.  DAL","58","142","78.8","10.7","JORDANREED"
"79","Steve Johnson","WR27","vs.  DEN","62","111","81.9","11.7","STEVIEJOHNSON"
"80","Kamar Aiken","WR28","at  MIA","24","109","83.1","12.4","KAMARAIKEN"
"81","Latavius Murray","RB24","vs.  KC","41","113","85.1","12.3","LATAVIUSMURRAY"
"82","Sam Bradford","QB26","at  NE","38","89","64.5","12.9","SAMBRADFORD"
"83","Gary Barnidge","TE5","vs.  CIN","51","157","86.4","15.0","GARYBARNIDGE"
"84","Donte Moncrief","WR29","at  PIT","58","120","86.7","10.3","DONTEMONCRIEF"
"85","Jeremy Hill","RB25","at  CLE","23","130","86.7","18.0","JEREMYHILL"
"86","Golden Tate","WR30","vs.  GB","23","119","87.2","14.1","GOLDENTATE"
"87","Julius Thomas","TE6","at  TEN","61","127","88.0","12.2","JULIUSTHOMAS"
"88","John Brown","WR31","at  STL","61","109","88.5","8.1","JOHNBROWN"
"89","Antonio Gates","TE7","vs.  DEN","62","126","89.3","10.8","ANTONIOGATES"
"90","Matt Schaub","QB27","at  MIA","22","105","66.3","14.3","MATTSCHAUB"
"91","DeSean Jackson","WR32","vs.  DAL","71","115","92.2","7.1","DESEANJACKSON"
"92","Jordan Matthews","WR33","at  NE","51","131","92.8","12.6","JORDANMATTHEWS"
"93","Vincent Jackson","WR34","vs.  ATL","59","120","96.7","8.7","VINCENTJACKSON"
"94","Travis Benjamin","WR35","vs.  CIN","69","122","96.7","9.3","TRAVISBENJAMIN"
"95","Danny Woodhead","RB26","vs.  DEN","21","145","96.8","20.6","DANNYWOODHEAD"
"96","Blaine Gabbert","QB28","at  CHI","37","93","67.0","11.9","BLAINEGABBERT"
"97","Doug Baldwin","WR36","at  MIN","56","136","99.5","11.7","DOUGBALDWIN"
"98","Anquan Boldin","WR37","at  CHI","67","147","99.4","14.7","ANQUANBOLDIN"
"99","Scott Chandler","TE8","vs.  PHI","62","142","100.7","17.2","SCOTTCHANDLER"
"100","Stefon Diggs","WR38","vs.  SEA","73","139","101.8","10.7","STEFONDIGGS"
"101","Ronnie Hillman","RB27","at  SD","68","142","103.1","15.2","RONNIEHILLMAN"
"102","Jeremy Langford","RB28","vs.  SF","32","159","103.0","16.7","JEREMYLANGFORD"
"103","Marvin Jones","WR39","at  CLE","68","137","104.7","11.4","MARVINJONES"
"104","Frank Gore","RB29","at  PIT","66","149","106.3","14.5","FRANKGORE"
"105","Davante Adams","WR40","at  DET","68","130","107.0","11.5","DAVANTEADAMS"
"106","James Jones","WR41","at  DET","59","152","109.4","12.0","JAMESJONES"
