"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","2","1.1","0.3","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","8","2.8","1.4","STEVENHAUSCHKA"
"3","Justin Tucker","2","7","4.1","1.4","JUSTINTUCKER"
"4","Chandler Catanzaro","3","12","5.7","2.5","CHANDLERCATANZARO"
"5","Matt Bryant","2","18","6.4","3.6","MATTBRYANT"
"6","Josh Brown","4","14","6.8","2.2","JOSHBROWN"
"7","Brandon McManus","1","15","6.4","3.6","BRANDONMCMANUS"
"8","Cairo Santos","6","17","11.0","3.3","CAIROSANTOS"
"9","Mason Crosby","3","17","9.8","3.3","MASONCROSBY"
"10","Adam Vinatieri","4","26","11.3","5.6","ADAMVINATIERI"
"11","Josh Lambo","2","18","11.6","4.1","JOSHLAMBO"
"12","Nick Folk","2","20","11.3","4.2","NICKFOLK"
"13","Blair Walsh","8","22","12.2","3.1","BLAIRWALSH"
"14","Graham Gano","5","21","14.2","3.5","GRAHAMGANO"
"15","Dan Bailey","5","27","14.8","5.8","DANBAILEY"
"16","Robbie Gould","8","25","15.1","4.2","ROBBIEGOULD"
"17","Sebastian Janikowski","11","23","16.7","3.2","SEBASTIANJANIKOWSKI"
"18","Matt Prater","9","24","18.1","3.2","MATTPRATER"
"19","Greg Zuerlein","9","25","17.6","3.6","GREGZUERLEIN"
"20","Travis Coons","10","24","18.6","3.7","TRAVISCOONS"
"21","Andrew Franks","6","25","18.5","5.2","ANDREWFRANKS"
"22","Kai Forbath","9","23","17.0","4.4","KAIFORBATH"
"23","Mike Nugent","13","24","16.4","3.4","MIKENUGENT"
"24","Chris Boswell","13","24","16.8","4.7","CHRISBOSWELL"
"25","Connor Barth","9","28","19.0","5.9","CONNORBARTH"
"26","Phil Dawson","14","27","20.4","4.2","PHILDAWSON"
"27","Nick Novak","8","24","18.4","5.6","NICKNOVAK"
"28","Ryan Succop","16","22","20.4","2.0","RYANSUCCOP"
