"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","17","1.5","1.6","STEPHENGOSTKOWSKI"
"2","Brandon McManus","1","13","2.4","1.7","BRANDONMCMANUS"
"3","Matt Bryant","2","17","4.5","3.2","MATTBRYANT"
"4","Josh Lambo","1","15","4.9","2.1","JOSHLAMBO"
"5","Josh Brown","2","15","5.4","2.7","JOSHBROWN"
"6","Mason Crosby","2","15","7.5","2.4","MASONCROSBY"
"7","Blair Walsh","1","26","8.5","4.2","BLAIRWALSH"
"8","Robbie Gould","3","19","10.0","3.2","ROBBIEGOULD"
"9","Adam Vinatieri","2","22","10.9","4.3","ADAMVINATIERI"
"10","Dan Bailey","1","23","11.1","4.0","DANBAILEY"
"11","Mike Nugent","2","19","10.9","3.4","MIKENUGENT"
"12","Graham Gano","4","19","12.3","2.9","GRAHAMGANO"
"13","Kai Forbath","3","25","12.9","3.7","KAIFORBATH"
"14","Sebastian Janikowski","3","23","12.8","3.5","SEBASTIANJANIKOWSKI"
"15","Chris Boswell","3","22","13.6","4.3","CHRISBOSWELL"
"16","Nick Folk","3","23","14.0","4.1","NICKFOLK"
"17","Dan Carpenter","6","21","14.8","2.8","DANCARPENTER"
"18","Caleb Sturgis","1","20","15.3","4.5","CALEBSTURGIS"
"19","Connor Barth","2","22","17.0","4.6","CONNORBARTH"
"20","Travis Coons","9","26","19.4","3.1","TRAVISCOONS"
"21","Greg Zuerlein","13","25","19.8","2.7","GREGZUERLEIN"
"22","Andrew Franks","13","24","19.9","2.7","ANDREWFRANKS"
"23","Phil Dawson","8","26","21.0","4.4","PHILDAWSON"
"24","Ryan Succop","12","26","21.5","3.3","RYANSUCCOP"
"25","Jason Myers","10","26","22.7","3.9","JASONMYERS"
"26","Dustin Hopkins","16","26","22.8","2.2","DUSTINHOPKINS"
