"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","17","1.6","2.0","STEPHENGOSTKOWSKI"
"2","Brandon McManus","1","10","2.2","1.4","BRANDONMCMANUS"
"3","Matt Bryant","2","12","3.9","2.3","MATTBRYANT"
"4","Josh Brown","2","15","4.7","2.5","JOSHBROWN"
"5","Josh Lambo","1","15","5.1","2.0","JOSHLAMBO"
"6","Blair Walsh","3","17","7.4","2.6","BLAIRWALSH"
"7","Mason Crosby","3","12","7.4","1.8","MASONCROSBY"
"8","Adam Vinatieri","5","22","10.0","3.8","ADAMVINATIERI"
"9","Dan Bailey","1","19","10.2","3.7","DANBAILEY"
"10","Robbie Gould","3","19","10.9","2.9","ROBBIEGOULD"
"11","Sebastian Janikowski","3","19","11.5","3.2","SEBASTIANJANIKOWSKI"
"12","Graham Gano","7","19","12.6","2.5","GRAHAMGANO"
"13","Mike Nugent","2","19","11.8","3.4","MIKENUGENT"
"14","Kai Forbath","3","19","13.2","3.1","KAIFORBATH"
"15","Dan Carpenter","5","21","14.5","2.6","DANCARPENTER"
"16","Chris Boswell","4","20","14.2","3.9","CHRISBOSWELL"
"17","Nick Folk","3","23","15.0","4.1","NICKFOLK"
"18","Caleb Sturgis","3","20","16.2","3.7","CALEBSTURGIS"
"19","Connor Barth","2","22","17.2","4.6","CONNORBARTH"
"20","Travis Coons","9","26","19.0","3.2","TRAVISCOONS"
"21","Andrew Franks","13","24","19.5","2.2","ANDREWFRANKS"
"22","Greg Zuerlein","15","24","20.0","2.8","GREGZUERLEIN"
"23","Phil Dawson","13","26","21.5","3.8","PHILDAWSON"
"24","Ryan Succop","19","26","21.1","1.9","RYANSUCCOP"
"25","Dustin Hopkins","16","26","22.7","2.7","DUSTINHOPKINS"
"26","Jason Myers","18","26","23.6","2.5","JASONMYERS"
