"Rank","Player","Best","Worst","Avg","Std","Player.Name"
"1","Stephen Gostkowski","1","11","1.5","1.5","STEPHENGOSTKOWSKI"
"2","Steven Hauschka","1","27","3.2","3.1","STEVENHAUSCHKA"
"3","Justin Tucker","1","13","3.6","1.7","JUSTINTUCKER"
"4","Chandler Catanzaro","2","16","5.2","2.3","CHANDLERCATANZARO"
"5","Matt Bryant","1","19","5.8","3.1","MATTBRYANT"
"6","Josh Brown","2","19","7.2","3.0","JOSHBROWN"
"7","Brandon McManus","1","20","7.0","3.9","BRANDONMCMANUS"
"8","Mason Crosby","2","18","9.0","2.8","MASONCROSBY"
"9","Cairo Santos","2","26","10.3","3.9","CAIROSANTOS"
"10","Josh Lambo","1","21","10.4","3.5","JOSHLAMBO"
"11","Graham Gano","3","22","11.8","3.7","GRAHAMGANO"
"12","Blair Walsh","3","25","12.5","3.2","BLAIRWALSH"
"13","Adam Vinatieri","2","26","12.9","4.8","ADAMVINATIERI"
"14","Nick Folk","2","22","12.8","3.2","NICKFOLK"
"15","Dan Bailey","5","27","16.0","4.6","DANBAILEY"
"16","Robbie Gould","5","28","16.0","3.5","ROBBIEGOULD"
"17","Greg Zuerlein","3","24","16.8","3.9","GREGZUERLEIN"
"18","Kai Forbath","5","26","16.5","4.2","KAIFORBATH"
"19","Matt Prater","8","26","18.3","3.2","MATTPRATER"
"20","Chris Boswell","5","24","15.8","4.6","CHRISBOSWELL"
"21","Sebastian Janikowski","4","28","19.6","3.7","SEBASTIANJANIKOWSKI"
"22","Mike Nugent","8","27","17.2","4.3","MIKENUGENT"
"23","Travis Coons","10","28","21.0","4.6","TRAVISCOONS"
"24","Andrew Franks","6","26","20.3","4.2","ANDREWFRANKS"
"25","Connor Barth","8","28","21.0","4.8","CONNORBARTH"
"26","Nick Novak","9","28","21.2","4.8","NICKNOVAK"
"27","Phil Dawson","14","28","22.4","4.1","PHILDAWSON"
"28","Ryan Succop","6","28","22.8","4.6","RYANSUCCOP"
"29","Zach Hocker","7","18","12.5","5.5","ZACHHOCKER"
