"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","9","1.5","1.3"
"2","New York Jets","1","22","4.3","3.9"
"3","Kansas City Chiefs","1","27","4.4","3.4"
"4","Cincinnati Bengals","1","22","4.7","2.9"
"5","New England Patriots","1","20","6.7","2.5"
"6","Carolina Panthers","1","28","6.0","4.7"
"7","Seattle Seahawks","1","20","7.4","3.5"
"8","Green Bay Packers","2","30","7.4","4.4"
"9","Denver Broncos","1","29","10.3","4.6"
"10","Philadelphia Eagles","3","32","11.6","4.8"
"11","St. Louis Rams","4","32","12.0","5.1"
"12","Baltimore Ravens","5","24","13.0","3.3"
"13","Houston Texans","5","28","14.1","3.6"
"14","Tampa Bay Buccaneers","8","26","15.1","3.1"
"15","Minnesota Vikings","6","28","15.4","3.8"
"16","Cleveland Browns","1","27","15.3","5.4"
"17","New York Giants","1","31","16.2","4.3"
"18","Atlanta Falcons","6","29","18.6","4.1"
"19","Miami Dolphins","3","26","18.8","3.6"
"20","Oakland Raiders","5","31","18.7","4.3"
"21","Buffalo Bills","9","28","17.8","4.7"
"22","Detroit Lions","4","29","15.9","7.2"
"23","Pittsburgh Steelers","6","30","18.8","6.5"
"24","Tennessee Titans","13","31","20.3","4.5"
"25","Jacksonville Jaguars","7","29","19.7","5.9"
"26","Dallas Cowboys","10","31","21.9","5.2"
"27","San Diego Chargers","7","30","24.6","4.8"
"28","Indianapolis Colts","17","31","25.0","3.8"
"29","Washington Redskins","18","32","27.8","3.7"
"30","San Francisco 49ers","16","32","28.4","3.8"
"31","Chicago Bears","15","32","28.1","3.9"
"32","New Orleans Saints","11","32","28.8","3.9"
