"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","4","1.2","0.5"
"2","Carolina Panthers","1","8","2.5","1.3"
"3","Denver Broncos","1","13","3.9","1.9"
"4","New York Jets","1","8","4.1","1.4"
"5","Philadelphia Eagles","2","12","5.6","2.1"
"6","New England Patriots","1","19","6.2","2.3"
"7","St. Louis Rams","3","16","7.3","2.2"
"8","Arizona Cardinals","3","24","9.0","3.7"
"9","Kansas City Chiefs","3","21","11.1","3.0"
"10","Cincinnati Bengals","5","25","12.0","4.0"
"11","Tennessee Titans","5","22","11.5","3.8"
"12","Green Bay Packers","7","22","13.0","3.0"
"13","Baltimore Ravens","2","24","13.0","3.6"
"14","Dallas Cowboys","6","23","14.6","3.0"
"15","Houston Texans","3","24","14.6","3.5"
"16","Chicago Bears","4","26","15.3","3.7"
"17","Minnesota Vikings","6","27","17.4","4.0"
"18","Oakland Raiders","5","27","17.3","3.5"
"19","Tampa Bay Buccaneers","7","28","17.1","3.7"
"20","Miami Dolphins","8","24","19.1","2.9"
"21","Jacksonville Jaguars","3","26","15.4","5.8"
"22","Atlanta Falcons","6","27","16.7","5.4"
"23","Buffalo Bills","11","28","20.8","4.1"
"24","San Francisco 49ers","16","28","23.5","3.6"
"25","San Diego Chargers","12","28","23.4","3.3"
"26","Detroit Lions","18","28","24.5","2.2"
"27","Indianapolis Colts","20","28","24.8","2.3"
"28","Washington Redskins","15","28","25.5","2.8"
"29","Pittsburgh Steelers","25","27","26.0","1.0"
