"Rank","Player","Best","Worst","Avg","Std"
"1","Seattle Seahawks","1","9","1.3","0.9"
"2","Kansas City Chiefs","1","12","2.5","1.5"
"3","New England Patriots","1","15","4.2","2.0"
"4","Carolina Panthers","2","16","5.0","2.3"
"5","Cincinnati Bengals","2","13","6.1","2.0"
"6","Arizona Cardinals","1","17","6.5","2.6"
"7","New York Jets","1","16","5.4","2.4"
"8","Houston Texans","2","27","8.4","3.4"
"9","Denver Broncos","2","21","9.8","3.0"
"10","Green Bay Packers","5","31","11.5","3.6"
"11","St. Louis Rams","2","29","11.9","4.2"
"12","Pittsburgh Steelers","3","20","12.3","3.3"
"13","Tampa Bay Buccaneers","5","31","12.8","4.3"
"14","Buffalo Bills","6","26","13.9","3.1"
"15","Minnesota Vikings","6","29","14.6","3.0"
"16","Miami Dolphins","1","25","16.6","3.5"
"17","San Francisco 49ers","10","32","17.6","3.6"
"18","Jacksonville Jaguars","10","25","17.3","3.3"
"19","Chicago Bears","7","28","18.4","3.3"
"20","Washington Redskins","11","32","19.4","2.8"
"21","Indianapolis Colts","5","28","18.1","5.3"
"22","Detroit Lions","9","30","21.3","5.1"
"23","Philadelphia Eagles","10","31","21.6","5.8"
"24","Atlanta Falcons","9","32","22.0","5.3"
"25","Dallas Cowboys","8","31","22.6","4.6"
"26","Baltimore Ravens","15","31","23.7","4.0"
"27","San Diego Chargers","12","31","24.2","4.6"
"28","New York Giants","12","31","24.8","5.2"
"29","Oakland Raiders","18","32","26.3","3.9"
"30","New Orleans Saints","16","32","26.9","4.3"
"31","Cleveland Browns","9","32","27.5","4.7"
"32","Tennessee Titans","20","32","29.1","3.3"
