"Rank","Player","Best","Worst","Avg","Std"
"1","Denver Broncos","1","9","2.5","1.6"
"2","New York Jets","1","18","3.1","2.5"
"3","New England Patriots","1","11","3.2","1.8"
"4","St. Louis Rams","1","13","4.1","1.8"
"5","Atlanta Falcons","1","20","5.1","2.4"
"6","Cincinnati Bengals","1","15","5.2","2.7"
"7","Minnesota Vikings","2","19","7.7","2.7"
"8","Green Bay Packers","5","18","9.2","1.9"
"9","Philadelphia Eagles","3","19","9.2","2.8"
"10","Carolina Panthers","1","24","10.1","3.4"
"11","Buffalo Bills","5","18","11.3","2.3"
"12","Dallas Cowboys","4","20","11.8","2.5"
"13","New York Giants","7","22","13.4","2.7"
"14","Miami Dolphins","8","21","14.5","2.5"
"15","New Orleans Saints","3","26","14.6","3.3"
"16","Pittsburgh Steelers","8","21","15.0","2.1"
"17","San Diego Chargers","6","25","16.7","2.9"
"18","Indianapolis Colts","9","25","19.0","2.5"
"19","San Francisco 49ers","8","26","19.2","3.2"
"20","Tennessee Titans","8","26","19.8","3.1"
"21","Jacksonville Jaguars","10","25","18.0","3.3"
"22","Oakland Raiders","14","26","20.6","3.4"
"23","Tampa Bay Buccaneers","13","26","20.3","2.8"
"24","Cleveland Browns","7","26","21.4","4.0"
"25","Chicago Bears","16","26","22.1","2.4"
"26","Washington Redskins","10","26","25.1","2.7"
