"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"1","Devonta Freeman","RB1","10","1","4","1.6","1.2","DEVONTAFREEMAN"
"2","Todd Gurley","RB2","6","1","4","2.6","1.2","TODDGURLEY"
"3","Adrian Peterson","RB3","5","2","5","3.6","1.4","ADRIANPETERSON"
"4","Julio Jones","WR1","10","3","8","5.2","1.9","JULIOJONES"
"5","Antonio Brown","WR2","11","3","12","6.0","3.3","ANTONIOBROWN"
"6","Rob Gronkowski","TE1","4","7","7","7.0","0.0","ROBGRONKOWSKI"
"7","DeAndre Hopkins","WR3","9","3","14","10.0","4.0","DEANDREHOPKINS"
"8","Odell Beckham","WR4","11","8","14","11.4","2.8","ODELLBECKHAM"
"9","Lamar Miller","RB4","5","9","18","12.8","3.5","LAMARMILLER"
"10","Christopher Ivory","RB5","5","15","18","16.2","1.0","CHRISIVORY"
"11","Marshawn Lynch","RB6","9","10","24","16.4","6.1","MARSHAWNLYNCH"
"12","LeSean McCoy","RB7","8","11","24","18.2","4.9","LESEANMCCOY"
"13","DeAngelo Williams","RB8","11","2","39","18.4","15.8","DEANGELOWILLIAMS"
"14","Charcandrick West","RB9","9","5","26","18.4","7.1","CHARCANDRICKWEST"
"15","A.J. Green","WR5","7","8","48","18.6","14.8","AJGREEN"
"16","Latavius Murray","RB10","6","5","39","19.2","11.5","LATAVIUSMURRAY"
"17","Mark Ingram","RB11","11","9","47","19.2","14.1","MARKINGRAM"
"18","Danny Woodhead","RB12","10","4","40","20.2","12.3","DANNYWOODHEAD"
"19","Matt Forte","RB13","7","9","56","20.8","18.2","MATTFORTE"
"20","Larry Fitzgerald","WR6","9","6","32","23.0","10.0","LARRYFITZGERALD"
"21","Alshon Jeffery","WR7","7","17","34","24.8","6.9","ALSHONJEFFERY"
"22","Justin Forsett","RB14","9","11","42","25.8","9.8","JUSTINFORSETT"
"23","Allen Robinson","WR8","8","13","35","26.0","7.7","ALLENROBINSON"
"24","Calvin Johnson","WR9","9","17","32","26.0","5.0","CALVINJOHNSON"
"25","Amari Cooper","WR10","6","13","44","26.2","11.6","AMARICOOPER"
"26","Demaryius Thomas","WR11","7","17","44","26.2","10.9","DEMARYIUSTHOMAS"
"27","Brandon Marshall","WR12","5","19","41","27.0","8.9","BRANDONMARSHALL"
"28","Tom Brady","QB1","4","27","33","28.2","2.4","TOMBRADY"
"29","Emmanuel Sanders","WR13","7","14","50","29.6","12.0","EMMANUELSANDERS"
"30","Randall Cobb","WR14","7","19","63","30.8","16.4","RANDALLCOBB"
"31","Aaron Rodgers","QB2","7","27","33","31.8","2.4","AARONRODGERS"
"32","Frank Gore","RB15","10","21","40","32.0","7.9","FRANKGORE"
"33","Dez Bryant","WR15","6","12","45","33.6","13.1","DEZBRYANT"
"34","Doug Martin","RB16","6","20","43","34.2","10.0","DOUGMARTIN"
"35","DeMarco Murray","RB17","8","21","47","36.6","10.9","DEMARCOMURRAY"
"36","Greg Olsen","TE2","5","29","71","37.8","16.6","GREGOLSEN"
"37","Mike Evans","WR16","6","25","55","39.0","10.2","MIKEEVANS"
"38","Giovani Bernard","RB18","7","18","49","39.6","11.8","GIOVANIBERNARD"
"39","Jarvis Landry","WR17","5","34","45","40.8","4.4","JARVISLANDRY"
"40","Darren McFadden","RB19","6","18","72","42.2","17.3","DARRENMCFADDEN"
"41","T.Y. Hilton","WR18","10","32","59","45.0","9.4","TYHILTON"
"42","Carson Palmer","QB3","9","38","60","45.4","9.3","CARSONPALMER"
"43","Tyler Eifert","TE3","7","29","83","45.8","21.4","TYLEREIFERT"
"44","Chris Johnson","RB20","9","23","90","47.2","24.0","CHRISJOHNSON"
