"Rank","Player","Best","Worst","Avg","Std"
"1","St. Louis Rams","1","8","1.5","1.0"
"2","Seattle Seahawks","1","11","2.4","1.5"
"3","Arizona Cardinals","1","11","3.1","1.6"
"4","Carolina Panthers","1","12","4.8","1.8"
"5","New York Jets","2","25","5.8","2.7"
"6","Minnesota Vikings","4","16","7.0","2.3"
"7","Atlanta Falcons","2","21","7.8","2.8"
"8","New England Patriots","3","19","8.8","2.7"
"9","Green Bay Packers","2","19","8.7","2.6"
"10","Denver Broncos","1","22","10.1","3.3"
"11","Kansas City Chiefs","3","21","11.2","3.0"
"12","Houston Texans","5","24","12.0","3.4"
"13","Tennessee Titans","5","27","14.0","3.3"
"14","New York Giants","6","26","14.4","3.6"
"15","Cincinnati Bengals","2","25","15.0","3.7"
"16","Dallas Cowboys","6","25","16.1","3.0"
"17","Detroit Lions","9","26","17.0","2.6"
"18","San Francisco 49ers","2","28","18.5","3.7"
"19","New Orleans Saints","10","28","19.2","3.8"
"20","Pittsburgh Steelers","7","28","18.9","3.6"
"21","Miami Dolphins","6","28","19.7","5.3"
"22","San Diego Chargers","9","28","20.6","3.7"
"23","Baltimore Ravens","9","28","19.4","5.2"
"24","Oakland Raiders","8","28","20.3","4.8"
"25","Chicago Bears","13","27","21.4","3.6"
"26","Indianapolis Colts","16","28","22.5","3.4"
"27","Cleveland Browns","5","28","23.3","5.1"
"28","Tampa Bay Buccaneers","15","28","23.9","3.8"
