"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","8","1.6","1.3"
"2","Kansas City Chiefs","1","14","4.0","2.7"
"3","Cincinnati Bengals","1","22","4.5","3.0"
"4","New York Jets","1","22","4.8","3.6"
"5","Carolina Panthers","1","28","6.0","4.9"
"6","New England Patriots","1","19","6.9","2.6"
"7","Seattle Seahawks","1","20","7.7","3.7"
"8","Green Bay Packers","2","30","7.4","4.4"
"9","Denver Broncos","2","29","10.0","4.2"
"10","St. Louis Rams","4","32","12.0","5.1"
"11","Philadelphia Eagles","3","32","11.7","5.0"
"12","Houston Texans","3","28","13.7","3.8"
"13","Baltimore Ravens","7","24","13.3","3.2"
"14","Cleveland Browns","1","27","14.6","5.6"
"15","Minnesota Vikings","4","28","15.7","3.8"
"16","Tampa Bay Buccaneers","6","26","15.7","3.2"
"17","New York Giants","2","31","16.3","4.7"
"18","Atlanta Falcons","6","29","18.7","4.4"
"19","Miami Dolphins","9","26","19.2","3.1"
"20","Oakland Raiders","5","31","19.0","4.4"
"21","Buffalo Bills","5","28","17.8","4.9"
"22","Detroit Lions","1","29","16.1","7.5"
"23","Tennessee Titans","9","31","20.0","4.4"
"24","Pittsburgh Steelers","6","32","18.7","6.9"
"25","Jacksonville Jaguars","8","30","20.3","5.5"
"26","Dallas Cowboys","10","31","21.9","5.2"
"27","San Diego Chargers","13","31","25.1","4.1"
"28","Indianapolis Colts","17","31","25.1","3.8"
"29","Washington Redskins","21","32","28.0","3.3"
"30","Chicago Bears","8","32","27.5","5.1"
"31","San Francisco 49ers","15","32","28.1","4.2"
"32","New Orleans Saints","11","32","28.9","3.8"
