"Rank","Player","Best","Worst","Avg","Std"
"1","Arizona Cardinals","1","3","1.7","0.9"
"2","Denver Broncos","1","6","3.0","2.2"
"3","Seattle Seahawks","2","4","3.0","0.8"
"4","St. Louis Rams","2","5","3.7","1.2"
"5","New England Patriots","3","6","4.3","1.2"
"6","Buffalo Bills","5","14","8.7","3.9"
"7","Carolina Panthers","6","12","8.7","2.5"
"8","Philadelphia Eagles","8","10","9.0","0.8"
"9","Houston Texans","8","11","9.3","1.2"
"10","Green Bay Packers","9","12","10.3","1.2"
"11","Miami Dolphins","7","17","11.7","4.1"
"12","Cincinnati Bengals","7","15","11.7","3.4"
"13","Kansas City Chiefs","5","16","12.3","5.2"
"14","Baltimore Ravens","12","15","13.7","1.2"
"15","New York Jets","10","25","16.0","6.5"
"16","Cleveland Browns","15","20","17.3","2.1"
"17","Pittsburgh Steelers","13","26","18.7","5.4"
"18","Minnesota Vikings","16","22","19.0","2.4"
"19","Atlanta Falcons","14","28","21.0","5.7"
"20","Dallas Cowboys","11","30","21.3","7.8"
"21","San Francisco 49ers","19","25","21.3","2.6"
"22","Detroit Lions","18","27","21.7","3.9"
"23","Indianapolis Colts","18","24","21.7","2.6"
"24","New York Giants","18","27","22.0","3.7"
"25","Tennessee Titans","21","25","22.7","1.7"
"26","Jacksonville Jaguars","23","27","24.7","1.7"
"27","Tampa Bay Buccaneers","22","28","25.3","2.5"
"28","Chicago Bears","19","32","26.7","5.6"
"29","San Diego Chargers","24","31","28.3","3.1"
"30","Oakland Raiders","26","32","28.7","2.5"
"31","New Orleans Saints","29","31","30.0","0.8"
"32","Washington Redskins","29","32","30.7","1.2"
