"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"185","Ryan Griffin","TE25","at  TEN","121","177","166.8","13.1","RYANGRIFFIN"
"186","Vance McDonald","TE26","at  DET","125","171","157.3","10.3","VANCEMCDONALD"
"187","Jerick McKinnon","RB53","vs.  NYG","99","176","160.0","17.9","JERICKMCKINNON"
"188","Case Keenum","QB34","at  SEA","78","178","94.5","31.7","CASEKEENUM"
"189","Coby Fleener","TE27","at  MIA","117","175","157.6","14.1","COBYFLEENER"
"190","Jared Cook","TE28","at  SEA","120","177","151.1","13.9","JAREDCOOK"
"191","Rishard Matthews","WR76","vs.  IND","97","170","150.4","24.1","RISHARDMATTHEWS"
"192","Cole Beasley","WR77","at  BUF","143","174","162.2","9.4","COLEBEASLEY"
"193","Marqise Lee","WR78","at  NO","134","176","166.4","11.9","MARQISELEE"
"194","Ladarius Green","TE29","at  OAK","122","176","160.1","15.3","LADARIUSGREEN"
"195","Robert Woods","WR79","vs.  DAL","126","172","159.7","15.1","ROBERTWOODS"
"196","Kendall Gaskins","RB54","at  DET","95","177","150.2","25.1","KENDALLGASKINS"
"197","Andre Johnson","WR80","at  MIA","157","175","167.2","6.0","ANDREJOHNSON"
"198","Kendall Wright","WR81","vs.  HOU","140","162","150.7","6.9","KENDALLWRIGHT"
"199","Seth Roberts","WR82","vs.  SD","138","174","163.3","12.1","SETHROBERTS"
"200","Tyler Kroft","TE30","at  DEN","111","170","148.2","20.9","TYLERKROFT"
"201","C.J. Spiller","RB55","vs.  JAC","127","172","158.6","13.8","CJSPILLER"
"202","Chris Givens","WR83","vs.  PIT","138","177","165.3","10.9","CHRISGIVENS"
"203","Ryan Mallett","QB35","vs.  PIT","51","64","57.7","5.3","RYANMALLETT"
"204","Luke Willson","TE31","vs.  STL","117","175","159.2","15.4","LUKEWILLSON"
"205","Lance Moore","WR84","vs.  SF","146","174","163.0","10.5","LANCEMOORE"
"206","Jordan Cameron","TE32","vs.  IND","151","176","163.3","8.4","JORDANCAMERON"
"207","Mike Tolbert","RB56","at  ATL","151","176","161.5","9.4","MIKETOLBERT"
"208","Jaelen Strong","WR85","at  TEN","148","178","167.5","10.4","JAELENSTRONG"
"209","Owen Daniels","TE33","vs.  CIN","149","176","161.8","7.6","OWENDANIELS"
"210","Brandon Coleman","WR86","vs.  JAC","151","175","165.0","7.8","BRANDONCOLEMAN"
"211","Joey Iosefa","RB57","at  NYJ","127","175","155.5","16.7","JOEYIOSEFA"
"212","Jerricho Cotchery","WR87","at  ATL","163","175","168.4","4.4","JERRICHOCOTCHERY"
"213","Adam Humphries","WR88","vs.  CHI","125","166","146.0","14.5","ADAMHUMPHRIES"
"214","Fred Jackson","RB58","vs.  STL","122","169","146.3","19.7","FREDJACKSON"
"215","Harry Douglas","WR89","vs.  HOU","152","171","165.5","6.7","HARRYDOUGLAS"
"216","Blake Bell","TE34","at  DET","140","174","151.0","13.5","BLAKEBELL"
"217","T.J. Yeldon","RB59","at  NO","102","164","136.7","25.8","TJYELDON"
"218","Chris Polk","RB60","at  TEN","119","165","146.0","19.6","CHRISPOLK"
"219","Justin Hardy","WR90","vs.  CAR","148","173","161.8","9.2","JUSTINHARDY"
"220","Josh Huff","WR91","vs.  WAS","151","171","161.0","8.2","JOSHHUFF"
"221","Andre Ellington","RB61","vs.  GB","130","164","147.0","17.0","ANDREELLINGTON"
"222","Quincy Enunwa","WR92","vs.  NE","148","155","151.5","3.5","QUINCYENUNWA"
"223","Terrance West","RB62","vs.  PIT","142","170","156.0","14.0","TERRANCEWEST"
"224","Mohamed Sanu","WR93","at  DEN","154","159","156.5","2.5","MOHAMEDSANU"
"225","Kerwynn Williams","RB63","vs.  GB","157","159","158.0","1.0","KERWYNNWILLIAMS"
"226","Taylor Gabriel","WR94","at  KC","159","161","160.0","1.0","TAYLORGABRIEL"
"227","Darren Fells","TE35","vs.  GB","156","165","160.5","4.5","DARRENFELLS"
"228","Steven Jackson","RB64","at  NYJ","162","165","163.5","1.5","STEVENJACKSON"
"229","Marcel Reece","RB65","vs.  SD","165","173","169.0","4.0","MARCELREECE"
"230","Daniel Herron","RB66","at  MIA","173","177","175.0","2.0","DANIELHERRON"
