displayName,team,passCmp,passAtt,passYds,passTD,passInt,rushYds,rushTD,fumblesLost
Ben Roethlisberger,PIT,25.0,38.4,309.3,2.4,0.7,4.0,0.1,0.2
Tom Brady,NE,25.7,41.0,293.4,2.1,0.7,3.9,0.1,0.3
Blake Bortles,JAC,25.2,40.7,290.3,2.2,0.9,22.0,0.1,0.3
Philip Rivers,SD,25.8,39.4,288.6,1.8,1.0,2.7,0.0,0.3
Drew Brees,NO,25.3,38.3,288.1,2.3,0.8,2.2,0.1,0.2
Carson Palmer,ARI,22.4,36.2,287.7,2.0,0.7,2.8,0.1,0.2
Matthew Stafford,DET,24.7,38.5,283.9,2.0,0.9,7.1,0.1,0.2
Derek Carr,OAK,22.8,37.7,264.8,2.0,0.8,7.2,0.0,0.2
Eli Manning,NYG,23.8,37.9,264.0,1.8,1.0,2.4,0.0,0.3
Matt Ryan,ATL,24.6,38.1,260.8,1.3,1.3,3.1,0.0,0.3
Kirk Cousins,WAS,22.5,35.4,260.6,1.8,0.9,7.1,0.1,0.3
Jay Cutler,CHI,22.2,33.8,258.3,1.6,0.9,9.6,0.1,0.3
Cam Newton,CAR,20.3,33.3,257.7,2.0,0.8,40.5,0.5,0.2
Sam Bradford,PHI,21.8,36.0,254.0,1.7,1.0,3.5,0.0,0.3
Aaron Rodgers,GB,21.2,34.8,250.6,1.8,0.7,20.1,0.1,0.2
Brock Osweiler,DEN,22.2,37.3,249.4,1.4,1.3,7.0,0.1,0.2
Russell Wilson,SEA,20.4,31.6,249.0,2.1,0.6,35.2,0.2,0.3
Ryan Tannehill,MIA,22.3,36.2,246.7,1.5,1.0,9.1,0.1,0.2
Ryan Fitzpatrick,NYJ,21.6,36.8,245.7,1.7,1.1,18.7,0.1,0.2
Johnny Manziel,CLE,20.8,36.8,235.4,1.2,1.3,20.3,0.1,0.3
Jameis Winston,TB,19.4,32.7,234.7,1.5,0.9,14.6,0.2,0.2
Teddy Bridgewater,MIN,19.2,30.3,223.7,1.5,0.9,14.2,0.1,0.2
Blaine Gabbert,SF,20.1,34.3,222.7,1.1,1.0,16.0,0.1,0.2
Zach Mettenberger,TEN,18.9,32.5,222.6,1.3,1.3,3.7,0.0,0.2
Tyrod Taylor,BUF,18.8,31.3,218.4,1.6,0.7,32.9,0.2,0.2
AJ McCarron,CIN,19.1,31.5,216.3,1.2,1.1,6.0,0.0,0.2
Brian Hoyer,HOU,18.0,30.3,214.9,1.5,0.7,4.7,0.0,0.1
Alex Smith,KC,18.9,29.7,212.9,1.7,0.5,23.9,0.1,0.2
Matt Hasselbeck,IND,18.8,30.7,209.4,1.3,1.0,3.4,0.0,0.1
Kellen Moore,DAL,18.3,31.1,207.1,1.0,1.3,7.5,0.0,0.3
Case Keenum,STL,17.7,30.2,183.5,0.8,1.1,3.7,0.0,0.3
