displayName,team,rushAtt,rushYds,rushTD,receptions,recYds,recTD,fumblesLost
Todd Gurley,STL,20.6,100.3,0.7,2.3,16.5,0.0,0.1
Adrian Peterson,MIN,21.0,94.9,0.6,2.0,13.4,0.0,0.1
DeAngelo Williams,PIT,19.2,94.0,0.5,2.2,16.0,0.0,0.1
Mark Ingram,NO,17.7,80.1,0.6,3.2,23.6,0.0,0.2
Jonathan Stewart,CAR,18.1,78.8,0.4,1.1,7.9,0.0,0.1
LeGarrette Blount,NE,15.7,78.3,0.7,0.5,4.6,0.0,0.1
DeMarco Murray,PHI,17.5,77.9,0.6,3.1,21.9,0.0,0.2
Darren McFadden,DAL,18.5,77.7,0.4,2.5,19.9,0.1,0.1
Marshawn Lynch,SEA,18.0,74.6,0.5,1.5,11.5,0.0,0.1
Chris Ivory,NYJ,17.5,71.3,0.5,2.1,14.2,0.0,0.1
Doug Martin,TB,18.0,70.6,0.4,2.6,20.6,0.1,0.2
Justin Forsett,BAL,18.6,64.5,0.4,3.7,27.6,0.0,0.1
Lamar Miller,MIA,13.2,62.1,0.4,3.3,24.3,0.0,0.1
Jeremy Hill,CIN,13.9,60.3,0.6,1.1,8.8,0.0,0.2
T.J. Yeldon,JAC,14.9,58.7,0.3,3.1,20.9,0.0,0.1
James Starks,GB,12.3,58.2,0.4,2.7,21.3,0.0,0.1
Latavius Murray,OAK,16.0,57.8,0.4,1.5,10.3,0.0,0.2
Chris Johnson,ARI,15.1,56.3,0.3,1.0,7.3,0.0,0.2
Jeremy Langford,CHI,14.9,56.2,0.3,3.1,23.2,0.0,0.1
Charcandrick West,KC,14.4,55.6,0.3,2.7,19.6,0.0,0.2
C.J. Anderson,DEN,12.0,55.2,0.3,1.9,13.8,0.0,0.1
Antonio Andrews,TEN,13.4,53.4,0.3,1.8,16.0,0.0,0.1
Ronnie Hillman,DEN,11.8,49.2,0.3,1.2,10.3,0.0,0.1
LeSean McCoy,BUF,13.9,48.6,0.3,2.1,15.5,0.0,0.2
Giovani Bernard,CIN,10.8,47.9,0.4,2.8,26.9,0.1,0.1
Matt Jones,WAS,10.9,47.2,0.4,1.7,12.5,0.0,0.3
Alfred Blue,HOU,11.4,46.6,0.2,1.8,12.8,0.0,0.1
Karlos Williams,BUF,8.6,40.1,0.3,1.1,8.5,0.0,0.1
Eddie Lacy,GB,10.2,39.9,0.3,1.1,8.0,0.0,0.1
Isaiah Crowell,CLE,11.2,38.8,0.2,1.7,12.4,0.0,0.1
Ryan Mathews,PHI,7.4,38.4,0.4,1.2,10.7,0.0,0.2
Joique Bell,DET,8.7,36.1,0.3,1.6,10.8,0.0,0.1
Rashad Jennings,NYG,8.8,33.0,0.1,1.9,15.6,0.1,0.1
Charles Sims,TB,7.6,31.7,0.1,2.9,22.8,0.1,0.2
Chris Polk,HOU,7.7,26.5,0.2,1.8,10.5,0.0,0.1
Alfred Morris,WAS,8.4,26.5,0.2,0.9,4.9,0.0,0.1
Javorius Allen,BAL,5.5,22.1,0.1,1.2,9.0,0.0,0.1
C.J. Spiller,NO,4.9,21.3,0.1,2.3,17.6,0.2,0.1
Ameer Abdullah,DET,6.0,19.5,0.1,1.9,14.3,0.1,0.1
Jay Ajayi,MIA,4.8,18.7,0.2,0.3,1.9,0.0,0.1
Duke Johnson,CLE,6.8,18.4,0.1,3.2,30.1,0.2,0.1
Zac Stacy,NYJ,4.2,17.2,0.1,1.2,9.0,0.0,0.1
Thomas Rawls,SEA,3.7,17.1,0.1,0.5,3.4,0.0,0.1
Orleans Darkwa,NYG,4.1,17.1,0.2,0.7,3.9,0.0,0.1
Shane Vereen,NYG,4.4,16.8,0.0,4.4,39.2,0.2,0.1
KaDeem Carey,CHI,4.3,16.7,0.1,0.8,4.6,0.0,0.1
Jonathan Grimes,HOU,3.9,16.2,0.1,2.1,16.1,0.1,0.1
James White,NE,4.0,15.8,0.0,2.9,23.0,0.2,0.1
Dexter McCluster,TEN,5.1,15.7,0.1,2.9,20.5,0.1,0.1
Chris Thompson,WAS,2.6,14.8,0.0,3.7,27.1,0.2,0.1
Denard Robinson,JAC,3.5,14.4,0.1,1.1,8.1,0.0,0.1
Tre Mason,STL,3.4,14.1,0.1,0.6,4.2,0.0,0.1
Taiwan Jones,OAK,3.3,13.5,0.1,1.1,9.7,0.1,0.1
Christine Michael,DAL,4.0,13.2,0.1,0.8,5.4,0.0,0.1
Brandon Bolden,NE,2.4,13.1,0.0,1.9,14.5,0.1,0.1
Darren Sproles,PHI,3.7,12.9,0.1,2.2,19.1,0.1,0.1
Andre Ellington,ARI,4.0,12.5,0.1,2.0,17.3,0.1,0.2
Andre Williams,NYG,4.2,12.3,0.1,0.2,1.6,0.0,0.1
Theo Riddick,DET,3.9,12.3,0.0,4.0,33.4,0.2,0.1
Jordan Todman,PIT,2.5,11.3,0.1,0.5,3.4,0.0,0.1
Marcel Reece,OAK,1.3,11.2,0.1,2.6,19.8,0.1,0.0
