"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",0,0,0,48,0,62,0,0,0,0,11,"10","6","99%","14"
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",0,0,0,20,0,8,0,0,0,0,2.8,"3","2","25%","7"
"BERNARDPIERCE","Bernard Pierce","RB","BAL",0,0,0,17,0,0,0,0,0,1,-0.3,"0","0","60%","6"
"BENTATE","Ben Tate","RB","CLE",0,0,0,41,0,0,0,0,0,0,4.1,"0","0","92%","6"
"MATTCASSEL","Matt Cassel","QB","MIN",170,2,0,-3,0,0,0,0,0,0,14.5,"0","0","5%","5"
"RASHADJENNINGS","Rashad Jennings","RB","NYG",0,0,0,46,1,50,0,0,0,0,15.6,"5","4","96%","16"
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",0,0,0,0,0,40,1,0,0,0,10,"11","4","100%","0"
"TOBYGERHART","Toby Gerhart","RB","JAX",0,0,0,42,0,15,0,0,0,0,5.7,"2","2","96%","18"
"STEVANRIDLEY","Stevan Ridley","RB","NE",0,0,0,21,0,7,0,0,0,0,2.8,"2","2","78%","8"
"BRIANHOYER","Brian Hoyer","QB","CLE",230,1,0,-2,0,0,0,0,0,0,13,"0","0","2%","1"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,83,0,0,0,0,8.3,"14","9","100%","0"
"JULIUSTHOMAS","Julius Thomas","TE","DEN",0,0,0,0,0,104,3,0,0,0,28.4,"8","7","100%","0"
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",0,0,0,11,0,77,0,0,0,0,8.8,"9","6","95%","1"
"CJSPILLER","C.J. Spiller","RB","BUF",0,0,0,53,0,11,1,0,0,0,12.4,"3","3","96%","15"
"FREDJACKSON","Fred Jackson","RB","BUF",0,0,0,61,0,13,0,0,0,0,7.4,"3","3","76%","7"
"PERCYHARVIN","Percy Harvin","WR","NYJ",0,0,0,41,0,59,0,0,0,0,10,"7","7","99%","4"
"SHANEVEREEN","Shane Vereen","RB","NE",0,0,0,36,1,35,0,0,0,0,13.1,"8","5","94%","7"
"ANDREJOHNSON","Andre Johnson","WR","HOU",0,0,0,0,0,93,0,0,0,0,9.3,"9","6","99%","0"
"DEREKANDERSON","Derek Anderson","QB","CAR",230,2,0,10,0,0,0,0,0,0,18.2,"0","0","1%","3"
"VINCENTJACKSON","Vincent Jackson","WR","TB",0,0,0,0,0,36,0,0,0,0,3.6,"9","4","99%","0"
"KEENANALLEN","Keenan Allen","WR","SD",0,0,0,0,0,37,0,0,0,0,3.7,"9","5","100%","0"
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",0,0,0,0,0,22,0,0,0,0,2.2,"4","1","99%","0"
"RANDALLCOBB","Randall Cobb","WR","GB",0,0,0,0,0,58,1,0,0,0,11.8,"9","6","100%","0"
"DEREKCARR","Derek Carr","QB","OAK",151,2,0,-1,0,0,0,0,0,0,13.94,"0","0","9%","1"
"MIKEWALLACE","Mike Wallace","WR","MIA",0,0,0,0,0,81,1,0,0,1,12.1,"11","7","94%","0"
"JORDANCAMERON","Jordan Cameron","TE","CLE",0,0,0,0,0,47,0,0,0,0,4.7,"5","2","99%","0"
"VICTORCRUZ","Victor Cruz","WR","NYG",0,0,0,0,0,24,0,0,0,0,2.4,"6","2","99%","0"
"RYANMATHEWS","Ryan Mathews","RB","SD",0,0,0,40,1,20,0,0,0,0,12,"2","2","97%","12"
"CHRISJOHNSON","Chris Johnson","RB","NYJ",0,0,0,68,0,23,1,0,0,0,15.1,"6","5","94%","13"
"MARQUESCOLSTON","Marques Colston","WR","NO",0,0,0,0,0,110,0,0,0,1,9,"8","5","94%","0"
"STEVENJACKSON","Steven Jackson","RB","ATL",0,0,0,52,0,0,0,0,0,0,5.2,"3","1","79%","12"
"TYHILTON","T.Y. Hilton","WR","IND",0,0,0,0,0,41,0,0,0,0,4.1,"11","5","96%","0"
"RODDYWHITE","Roddy White","WR","ATL",0,0,0,0,0,72,1,0,0,0,13.2,"7","5","99%","0"
"JASONWITTEN","Jason Witten","TE","DAL",0,0,0,0,0,14,0,0,0,0,1.4,"6","2","99%","0"
"MICHAELFLOYD","Michael Floyd","WR","ARI",0,0,0,2,0,119,0,0,0,0,12.1,"7","5","97%","1"
"TORREYSMITH","Torrey Smith","WR","BAL",0,0,0,0,0,50,0,0,0,0,5,"7","3","96%","0"
"GREGOLSEN","Greg Olsen","TE","CAR",0,0,0,0,0,83,1,0,0,0,14.3,"11","8","98%","0"
"KENDALLWRIGHT","Kendall Wright","WR","TEN",0,0,0,0,0,46,1,0,0,0,10.6,"7","6","88%","0"
"PIERREGARCON","Pierre Garcon","WR","WAS",0,0,0,0,0,77,0,0,0,0,7.7,"12","10","98%","0"
"REGGIEWAYNE","Reggie Wayne","WR","IND",0,0,0,0,0,98,0,0,0,0,9.8,"13","9","90%","0"
"JULIANEDELMAN","Julian Edelman","WR","NE",0,0,0,21,0,95,0,0,0,0,11.6,"8","6","95%","2"
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",0,0,0,134,1,0,0,0,0,0,19.4,"0","0","74%","24"
"REGGIEBUSH","Reggie Bush","RB","DET",0,0,0,15,0,49,0,0,0,0,6.4,"6","6","97%","9"
"DESEANJACKSON","DeSean Jackson","WR","WAS",0,0,0,-9,0,62,0,0,0,0,5.3,"9","8","98%","1"
"TRENTRICHARDSON","Trent Richardson","RB","IND",0,0,0,20,0,31,0,0,0,0,5.1,"4","3","86%","6"
