"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",0,0,0,5,23,0,1,0,0,0,2.3
"BRANDONGIBSON","Brandon Gibson","WR","MIA",0,0,0,0,0,0,4,3,27,0,2.7
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LANCEDUNBAR","Lance Dunbar","RB","DAL",0,0,0,11,27,0,0,0,0,0,2.7
"MIKEJAMES","Mike James","RB","TB",0,0,0,6,7,0,0,0,0,0,0.7
"RICHARDRODGERS","Richard Rodgers","TE","GB",0,0,0,0,0,0,1,0,0,0,0
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",0,0,0,0,0,0,4,1,17,0,1.7
"JARIUSWRIGHT","Jarius Wright","WR","MIN",0,0,0,1,-5,0,3,1,12,0,0.7
"ANDREWILLIAMS","Andre Williams","RB","NYG",0,0,0,8,12,0,4,2,7,0,1.9
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",0,0,0,0,0,0,4,1,6,0,0.6
"OWENDANIELS","Owen Daniels","TE","BAL",0,0,0,0,0,0,5,5,28,2,14.8
"JACOBTAMME","Jacob Tamme","TE","DEN",0,0,0,0,0,0,1,1,4,1,6.4
"DAVIDNELSON","David Nelson","WR","NYJ",0,0,0,0,0,0,1,1,6,0,0.6
"JAMESSTARKS","James Starks","RB","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"GAVINESCOBAR","Gavin Escobar","TE","DAL",0,0,0,0,0,0,1,1,5,0,0.5
"LUKESTOCKER","Luke Stocker","TE","TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JUSTINJONES","Justin Jones","TE","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"EMMANUELOGBUEHI","Emmanuel Ogbuehi","TE","BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DJTIALAVEA","D.J. Tialavea","TE","BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"NATHANOVERBAY","Nathan Overbay","TE","BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ERICWATERS","Eric Waters","TE","PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ERIKSWOOPE","Erik Swoope","TE","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JEROMECUNNINGHAM","Jerome Cunningham","TE","NYG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"JORDANTHOMPSON","Jordan Thompson","TE","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BRANDONBARDEN","Brandon Barden","TE","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"TYLEREIFERT","Tyler Eifert","TE","CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"MIKEHIGGINS","Mike Higgins","TE","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KYLENELSON","Kyle Nelson","TE","SF",0,0,0,0,0,0,0,0,0,0,0
