"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",479,4,2,-2,0,0,0,0,0,0,32.96,"0","0","100%","2"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,136,0,56,0,0,0,1,17.2,"8","6","100%","31"
"DREWBREES","Drew Brees","QB","NO",371,2,3,-1,0,0,0,0,0,0,19.74,"0","0","100%","1"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,81,0,5,0,0,0,1,6.6,"4","4","100%","24"
"AARONRODGERS","Aaron Rodgers","QB","GB",156,3,0,0,0,0,0,0,0,0,18.24,"0","0","100%","0"
"MATTRYAN","Matt Ryan","QB","ATL",316,1,1,0,0,0,0,0,0,0,15.64,"0","0","99%","0"
"ANDREWLUCK","Andrew Luck","QB","IND",312,1,2,22,1,0,0,0,0,0,22.68,"0","0","100%","6"
"RASHADJENNINGS","Rashad Jennings","RB","NYG",0,0,0,55,0,17,0,0,0,0,7.2,"2","2","98%","10"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,61,0,105,1,0,0,1,20.6,"12","12","100%","17"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,82,0,36,0,0,0,0,11.8,"6","5","99%","15"
"JAYCUTLER","Jay Cutler","QB","CHI",289,2,2,22,1,0,0,0,0,1,23.76,"0","0","96%","3"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",273,1,0,-2,0,0,0,0,0,1,12.72,"0","0","83%","3"
"RUSSELLWILSON","Russell Wilson","QB","SEA",201,2,0,122,1,0,0,0,0,0,34.24,"0","0","94%","11"
"PHILIPRIVERS","Philip Rivers","QB","SD",288,3,1,3,0,0,0,0,0,0,22.82,"0","0","95%","2"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",201,1,0,18,0,0,0,0,0,0,13.84,"0","0","92%","10"
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,0,0,105,0,0,0,0,10.5,"16","11","100%","0"
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,36,0,0,0,0,3.6,"5","2","100%","0"
"NICKFOLES","Nick Foles","QB","PHI",207,2,1,13,0,0,0,0,0,1,14.58,"0","0","97%","2"
"CAMNEWTON","Cam Newton","QB","CAR",255,2,1,9,0,0,0,0,0,1,16.1,"0","0","94%","6"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",0,0,0,62,0,10,0,0,0,0,7.2,"3","2","100%","13"
"ALEXSMITH","Alex Smith","QB","KC",158,1,1,6,0,0,0,0,0,0,9.92,"0","0","45%","1"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,72,0,45,1,0,0,0,17.7,"6","5","100%","17"
"REGGIEBUSH","Reggie Bush","RB","DET",0,0,0,13,0,30,0,0,0,0,4.3,"5","2","96%","6"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,226,2,0,0,0,34.6,"16","8","100%","0"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",231,1,1,8,0,0,0,0,0,0,13.04,"0","0","99%","3"
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,0,0,84,0,0,0,0,8.4,"12","5","100%","0"
"JAKELOCKER","Jake Locker","QB","TEN",79,1,0,34,1,0,0,0,0,0,16.56,"0","0","11%","4"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,66,1,0,0,0,12.6,"3","1","100%","0"
"BLAKEBORTLES","Blake Bortles","QB","JAX",191,0,2,14,0,0,0,0,0,0,7.04,"0","0","17%","4"
"ELIMANNING","Eli Manning","QB","NYG",200,2,0,-3,0,0,0,0,0,0,15.7,"0","0","66%","2"
