"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",318,4,0,-1,0,0,0,0,0,0,28.62,"0","0","100%","1"
"AARONRODGERS","Aaron Rodgers","QB","GB",255,3,0,21,0,0,0,0,0,0,24.3,"0","0","100%","3"
"ANDREWLUCK","Andrew Luck","QB","IND",344,2,0,5,0,0,0,0,0,1,20.26,"0","0","100%","4"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,128,1,4,0,0,0,0,19.2,"1","1","100%","28"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,49,1,60,1,0,0,0,22.9,"7","6","100%","12"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,53,0,18,0,0,0,0,7.1,"2","2","100%","18"
"JAYCUTLER","Jay Cutler","QB","CHI",190,1,1,3,0,0,0,0,0,1,8.9,"0","0","96%","2"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,80,1,0,0,0,14,"5","4","100%","0"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,171,2,0,0,0,29.1,"9","8","100%","0"
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,88,0,72,0,0,0,0,16,"9","6","99%","24"
"TOMBRADY","Tom Brady","QB","NE",261,3,0,0,0,0,0,0,0,0,22.44,"0","0","96%","0"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,102,0,13,1,0,0,1,15.5,"6","4","99%","20"
"BRANDENOLIVER","Branden Oliver","RB","SD",0,0,0,67,0,11,0,0,0,0,7.8,"2","2","86%","15"
"CAMNEWTON","Cam Newton","QB","CAR",205,1,1,41,0,0,0,0,0,0,15.3,"0","0","95%","7"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",263,1,1,18,0,0,0,0,0,0,15.32,"0","0","92%","3"
"ALEXSMITH","Alex Smith","QB","KC",221,1,0,29,0,0,0,0,0,0,15.74,"0","0","41%","6"
