"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",340,5,2,0,0,0,0,0,0,0,31.6,"0","0","100%","0"
"AARONRODGERS","Aaron Rodgers","QB","GB",315,6,0,0,0,0,0,0,0,0,36.6,"0","0","100%","0"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,100,0,31,0,0,0,0,13.1,"7","6","100%","19"
"MATTRYAN","Matt Ryan","QB","ATL",219,1,0,9,0,0,0,0,1,0,15.66,"0","0","98%","3"
"DREWBREES","Drew Brees","QB","NO",292,3,2,7,0,0,0,0,0,1,20.38,"0","0","100%","2"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",343,1,2,0,0,0,0,0,0,0,15.72,"0","0","96%","1"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,54,0,27,0,0,0,0,8.1,"7","3","100%","17"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",210,1,0,24,0,0,0,0,0,1,12.8,"0","0","90%","4"
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,23,1,19,0,0,0,0,10.2,"5","5","99%","18"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,140,4,23,0,0,0,0,40.3,"1","1","100%","21"
"JEREMYHILL","Jeremy Hill","RB","CIN",0,0,0,55,0,6,0,0,0,1,4.1,"2","1","87%","12"
"CAMNEWTON","Cam Newton","QB","CAR",306,2,3,6,0,0,0,0,0,1,15.84,"0","0","92%","2"
"MICHAELVICK","Michael Vick","QB","NYJ",132,2,0,39,0,0,0,0,0,0,17.18,"0","0","12%","8"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,19,1,-2,0,0,0,0,7.7,"3","1","100%","12"
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",0,0,0,13,0,9,0,0,0,0,2.2,"5","2","88%","6"
"JAYCUTLER","Jay Cutler","QB","CHI",272,1,2,0,0,0,0,0,0,1,10.88,"0","0","92%","2"
"MARKSANCHEZ","Mark Sanchez","QB","PHI",332,2,0,-1,0,0,0,0,0,0,21.18,"0","0","42%","2"
"RUSSELLWILSON","Russell Wilson","QB","SEA",172,0,2,107,1,0,0,0,0,0,21.58,"0","0","95%","14"
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,76,2,0,0,0,19.6,"13","10","100%","0"
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,98,1,20,0,0,0,0,17.8,"4","3","100%","15"
"DEREKCARR","Derek Carr","QB","OAK",192,2,2,0,0,0,0,0,0,0,13.68,"0","0","11%","0"
"JUSTINFORSETT","Justin Forsett","RB","BAL",0,0,0,112,2,0,0,0,0,0,23.2,"1","0","90%","20"
"MARKINGRAM","Mark Ingram","RB","NO",0,0,0,120,0,19,0,0,0,0,13.9,"5","3","88%","27"
"JOEFLACCO","Joe Flacco","QB","BAL",169,1,0,-2,0,0,0,0,0,0,10.56,"0","0","70%","3"
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,0,0,74,0,0,0,2,3.4,"9","8","100%","0"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,152,2,0,0,0,27.2,"6","6","100%","0"
"CALVINJOHNSON","Calvin Johnson","WR","DET",0,0,0,0,0,113,1,0,0,0,17.3,"15","7","100%","0"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,108,0,0,0,0,10.8,"14","11","100%","0"
"JOSHMCCOWN","Josh McCown","QB","TB",301,2,2,39,0,0,0,0,0,0,21.94,"0","0","14%","5"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,36,0,33,0,0,0,0,6.9,"10","8","99%","11"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",280,2,1,-1,0,0,0,0,0,0,18.1,"0","0","97%","2"
"EDDIELACY","Eddie Lacy","RB","GB",0,0,0,50,0,68,1,0,0,0,17.8,"6","3","100%","14"
"TONYROMO","Tony Romo","QB","DAL",246,3,0,0,0,0,0,0,0,0,21.84,"0","0","84%","0"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",207,1,1,0,0,0,0,0,0,0,11.28,"0","0","63%","2"
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,0,0,119,0,0,0,0,11.9,"11","8","100%","0"
"BLAKEBORTLES","Blake Bortles","QB","JAX",290,0,1,3,0,0,0,0,1,0,12.9,"0","0","9%","3"
"ELIMANNING","Eli Manning","QB","NYG",283,1,1,0,0,0,0,0,0,1,12.32,"0","0","57%","0"
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",0,0,0,0,0,112,1,0,0,0,17.2,"10","8","99%","0"
"CARSONPALMER","Carson Palmer","QB","ARI",241,0,1,1,0,0,0,0,0,0,8.74,"0","0","71%","1"
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",0,0,0,0,0,38,0,0,0,0,3.8,"7","3","98%","0"
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",0,0,0,5,0,67,2,0,0,0,19.2,"8","5","98%","1"
"BOBBYRAINEY","Bobby Rainey","RB","TB",0,0,0,14,0,42,0,0,0,0,5.6,"5","4","63%","6"
"AUSTINDAVIS","Austin Davis","QB","STL",216,1,2,0,0,0,0,0,0,1,8.64,"0","0","9%","3"
"KYLEORTON","Kyle Orton","QB","BUF",259,1,0,3,0,0,0,0,0,0,14.66,"0","0","15%","2"
"ALEXSMITH","Alex Smith","QB","KC",177,0,0,25,1,0,0,0,0,0,15.58,"0","0","41%","4"
"ANDYDALTON","Andy Dalton","QB","CIN",86,0,3,8,0,0,0,0,0,0,1.24,"0","0","68%","3"
"AJGREEN","A.J. Green","WR","CIN",0,0,0,0,0,23,0,0,0,0,2.3,"10","3","100%","0"
"RODDYWHITE","Roddy White","WR","ATL",0,0,0,0,0,72,1,0,0,0,13.2,"6","6","97%","0"
