"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"DREWBREES","Drew Brees","QB","NO",293,2,0,-2,0,0,0,0,0,0,19.52,"0","0","100%","3"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",246,0,2,8,0,0,0,0,0,1,6.64,"0","0","100%","6"
"MATTRYAN","Matt Ryan","QB","ATL",286,3,0,2,0,0,0,0,0,0,23.64,"0","0","99%","1"
"ANDREWLUCK","Andrew Luck","QB","IND",370,4,0,15,0,0,0,0,0,0,32.3,"0","0","99%","3"
"AARONRODGERS","Aaron Rodgers","QB","GB",162,1,0,0,0,0,0,0,0,0,10.48,"0","0","100%","0"
"NICKFOLES","Nick Foles","QB","PHI",325,3,0,12,0,0,0,0,0,0,26.2,"0","0","97%","4"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,22,0,0,0,0,0,0,2.2,"2","0","100%","19"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",205,1,0,9,0,0,0,0,0,0,13.1,"0","0","42%","1"
"PEYTONMANNING","Peyton Manning","QB","DEN",303,2,1,-1,0,0,0,0,1,0,21.02,"0","0","100%","1"
"TOMBRADY","Tom Brady","QB","NE",234,1,0,-7,0,0,0,0,0,0,12.66,"0","0","98%","3"
"CAMNEWTON","Cam Newton","QB","CAR",250,1,0,7,0,0,0,0,0,1,12.7,"0","0","97%","2"
"CALVINJOHNSON","Calvin Johnson","WR","DET",0,0,0,0,0,82,0,0,0,0,8.2,"10","6","100%","0"
"RUSSELLWILSON","Russell Wilson","QB","SEA",258,2,1,40,0,17,0,0,0,0,23.02,"1","1","95%","9"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,100,1,31,0,0,0,1,17.1,"4","4","100%","24"
"JAYCUTLER","Jay Cutler","QB","CHI",225,2,0,14,0,0,0,0,0,1,16.4,"0","0","96%","5"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,33,0,43,0,0,0,0,7.6,"7","6","100%","13"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",245,1,0,54,0,0,0,0,0,0,19.2,"0","0","93%","12"
