"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"DREWBREES","Drew Brees","QB","NO",340,2,1,6,0,0,0,0,0,0,21.2,"0","0","100%","1"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,122,0,49,0,0,0,0,17.1,"6","5","100%","23"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,149,2,6,0,0,0,0,27.5,"1","1","100%","24"
"JAYCUTLER","Jay Cutler","QB","CHI",256,2,2,29,0,0,0,0,0,0,19.14,"0","0","96%","3"
"AARONRODGERS","Aaron Rodgers","QB","GB",302,4,0,8,0,0,0,0,0,0,28.88,"0","0","100%","1"
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,92,1,16,2,0,0,0,28.8,"3","3","100%","18"
"MATTRYAN","Matt Ryan","QB","ATL",298,3,2,2,0,0,0,0,0,0,22.12,"0","0","99%","2"
"DONALDBROWN","Donald Brown","RB","SD",0,0,0,19,0,35,0,0,0,0,5.4,"6","4","75%","10"
"PHILIPRIVERS","Philip Rivers","QB","SD",377,3,0,0,0,0,0,0,0,0,27.08,"0","0","94%","1"
"NICKFOLES","Nick Foles","QB","PHI",195,0,2,1,0,0,0,0,0,0,5.9,"0","0","97%","1"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",293,2,0,8,1,0,0,0,0,0,26.52,"0","0","99%","6"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",218,2,1,58,0,0,0,0,0,0,21.52,"0","0","93%","7"
"ANDREWLUCK","Andrew Luck","QB","IND",393,4,1,-1,0,0,0,0,0,0,30.62,"0","0","100%","1"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,63,0,46,0,0,0,0,10.9,"7","6","99%","19"
"CALVINJOHNSON","Calvin Johnson","WR","DET",0,0,0,0,0,12,0,0,0,0,1.2,"2","2","100%","0"
"TONYROMO","Tony Romo","QB","DAL",262,3,0,20,0,0,0,0,0,0,24.48,"0","0","88%","6"
"TOMBRADY","Tom Brady","QB","NE",159,1,2,0,0,0,0,0,0,1,6.36,"0","0","96%","0"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",314,3,0,4,0,-6,0,0,0,1,22.36,"0","0","80%","2"
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,86,1,0,0,1,12.6,"11","8","100%","0"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,17,0,0,0,0,0,0,1.7,"0","0","100%","10"
"LAMARMILLER","Lamar Miller","RB","MIA",0,0,0,64,2,3,0,0,0,1,16.7,"2","2","88%","12"
"MATTASIATA","Matt Asiata","RB","MIN",0,0,0,78,3,22,0,0,0,0,28,"4","3","64%","20"
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,0,0,82,0,0,0,0,8.2,"8","6","100%","0"
"ALFREDMORRIS","Alfred Morris","RB","WAS",0,0,0,63,1,27,0,0,0,0,15,"3","3","99%","12"
"KIRKCOUSINS","Kirk Cousins","QB","WAS",257,1,4,12,0,0,0,0,0,1,9.48,"0","0","71%","1"
"CAMNEWTON","Cam Newton","QB","CAR",197,1,0,7,0,0,0,0,0,0,12.58,"0","0","95%","2"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,6,0,55,0,0,0,0,6.1,"10","7","99%","8"
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",0,0,0,0,0,19,1,0,0,0,7.9,"6","2","100%","0"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,108,2,0,0,0,22.8,"12","10","100%","0"
"ALEXSMITH","Alex Smith","QB","KC",248,3,0,8,0,0,0,0,0,0,22.72,"0","0","41%","4"
"ELIMANNING","Eli Manning","QB","NYG",300,4,1,1,1,0,0,0,0,0,33.1,"0","0","47%","1"
"ANTONIOBROWN","Antonio Brown","WR","PIT",17,0,0,0,0,131,2,0,0,0,25.78,"11","7","100%","0"
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",317,0,0,27,1,0,0,0,1,0,23.38,"0","0","13%","5"
"BLAKEBORTLES","Blake Bortles","QB","JAX",254,1,2,24,0,0,0,0,0,0,14.56,"0","0","18%","5"
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",177,1,1,40,0,0,0,0,0,0,14.08,"0","0","1%","5"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",278,2,1,35,0,0,0,0,0,0,21.62,"0","0","36%","5"
"EDDIELACY","Eddie Lacy","RB","GB",0,0,0,48,1,11,0,0,0,0,11.9,"2","1","100%","17"
"GENOSMITH","Geno Smith","QB","NYJ",209,1,1,4,0,0,0,0,0,1,9.76,"0","0","13%","4"
