"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",286,3,0,0,0,0,0,0,0,0,23.44,"0","0","100%","1"
"ANDREWLUCK","Andrew Luck","QB","IND",400,3,2,26,0,0,0,0,0,0,28.6,"0","0","100%","3"
"AARONRODGERS","Aaron Rodgers","QB","GB",418,1,2,21,1,0,0,0,0,0,26.82,"0","0","100%","2"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,141,0,80,0,0,0,1,20.1,"4","4","100%","19"
"PHILIPRIVERS","Philip Rivers","QB","SD",252,3,2,17,0,0,0,0,0,0,21.78,"0","0","96%","1"
"DREWBREES","Drew Brees","QB","NO",311,3,0,6,0,0,0,0,0,0,25.04,"0","0","100%","1"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,151,2,22,1,0,0,0,35.3,"6","4","100%","20"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,105,0,0,0,0,10.5,"12","8","100%","0"
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,67,2,44,0,0,0,1,21.1,"4","4","100%","14"
"RUSSELLWILSON","Russell Wilson","QB","SEA",199,1,1,35,0,0,0,0,0,0,14.46,"0","0","96%","6"
"TOMBRADY","Tom Brady","QB","NE",354,5,0,0,0,0,0,0,0,0,34.16,"0","0","97%","2"
"JAYCUTLER","Jay Cutler","QB","CHI",227,3,1,6,0,0,0,0,2,1,22.68,"0","0","95%","1"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,114,0,54,1,0,1,0,24.8,"8","6","100%","19"
"CAMNEWTON","Cam Newton","QB","CAR",171,0,1,24,0,0,0,0,0,1,6.24,"0","0","95%","12"
"JOIQUEBELL","Joique Bell","RB","DET",0,0,0,39,0,22,0,0,0,0,6.1,"3","2","92%","14"
"TONYROMO","Tony Romo","QB","DAL",209,1,0,1,0,0,0,0,0,0,12.46,"0","0","93%","1"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,62,0,2,0,0,0,0,6.4,"4","1","100%","14"
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,71,1,14,0,0,0,1,12.5,"6","3","99%","23"
"NICKFOLES","Nick Foles","QB","PHI",411,2,2,14,0,0,0,0,0,0,23.84,"0","0","94%","2"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,25,0,0,0,0,2.5,"5","3","100%","0"
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",0,0,0,83,0,-1,0,0,0,0,8.2,"1","1","73%","16"
"BENTATE","Ben Tate","RB","CLE",0,0,0,26,1,8,0,0,0,0,9.4,"1","1","92%","15"
