"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",438,2,2,3,0,0,0,0,0,0,23.82,"0","0","100%","2"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,56,0,63,1,0,0,0,17.9,"3","2","100%","15"
"ANDREWLUCK","Andrew Luck","QB","IND",354,4,0,5,0,0,0,0,0,0,30.66,"0","0","100%","2"
"TOMBRADY","Tom Brady","QB","NE",333,4,1,4,0,0,0,0,0,0,28.72,"0","0","98%","2"
"DREWBREES","Drew Brees","QB","NO",297,1,1,2,1,0,0,0,0,1,19.08,"0","0","100%","4"
"PHILIPRIVERS","Philip Rivers","QB","SD",138,0,3,3,0,0,0,0,0,1,0.82,"0","0","97%","1"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,127,0,0,0,0,12.7,"11","7","100%","0"
"JAMAALCHARLES","Jamaal Charles","RB","KC",0,0,0,78,1,10,0,0,0,0,14.8,"4","2","100%","20"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",237,1,0,14,0,0,0,0,0,2,10.88,"0","0","93%","5"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",288,3,0,47,0,0,0,0,0,0,28.22,"0","0","57%","4"
"JEREMYHILL","Jeremy Hill","RB","CIN",0,0,0,154,2,9,0,0,0,0,28.3,"1","1","74%","24"
"CAMNEWTON","Cam Newton","QB","CAR",151,0,1,43,1,0,0,0,0,1,13.34,"0","0","94%","7"
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",0,0,0,0,0,105,1,0,0,0,16.5,"10","9","100%","0"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,67,2,76,0,0,0,0,26.3,"5","5","100%","21"
"NICKFOLES","Nick Foles","QB","PHI",124,1,1,1,0,0,0,0,0,0,8.06,"0","0","94%","1"
"MARKINGRAM","Mark Ingram","RB","NO",0,0,0,100,2,10,0,0,0,0,23,"2","1","82%","30"
"BENTATE","Ben Tate","RB","CLE",0,0,0,3,0,29,0,0,0,0,3.2,"4","4","92%","10"
"RUSSELLWILSON","Russell Wilson","QB","SEA",179,0,0,31,0,0,0,0,0,0,10.26,"0","0","96%","8"
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,95,0,39,1,0,0,0,19.4,"4","4","99%","21"
"JIMMYGRAHAM","Jimmy Graham","TE","NO",0,0,0,0,0,83,1,0,0,0,14.3,"7","7","100%","0"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",340,6,0,1,0,0,0,0,0,1,35.7,"0","0","89%","2"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",0,0,0,79,0,11,0,0,0,0,9,"4","4","100%","19"
"ELIMANNING","Eli Manning","QB","NYG",359,2,0,18,0,0,0,0,0,1,22.16,"0","0","67%","1"
"ALEXSMITH","Alex Smith","QB","KC",199,2,0,0,0,0,0,0,0,0,15.96,"0","0","46%","0"
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",251,1,1,24,0,0,0,0,0,0,15.44,"0","0","50%","7"
"BLAKEBORTLES","Blake Bortles","QB","JAX",247,2,1,10,0,0,0,0,0,0,17.88,"0","0","9%","4"
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",0,0,0,16,1,47,1,0,0,0,18.3,"10","7","83%","10"
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,0,0,144,1,0,0,0,20.4,"16","11","100%","0"
"BRIANHOYER","Brian Hoyer","QB","CLE",300,2,2,-1,0,0,0,0,0,0,17.9,"0","0","17%","3"
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",203,2,1,49,0,0,0,0,0,0,20.02,"0","0","15%","6"
"JOEFLACCO","Joe Flacco","QB","BAL",303,2,1,2,0,0,0,0,0,0,19.32,"0","0","63%","1"
"JULIUSTHOMAS","Julius Thomas","TE","DEN",0,0,0,0,0,33,1,0,0,0,9.3,"2","2","100%","0"
"AUSTINDAVIS","Austin Davis","QB","STL",105,1,2,9,0,0,0,0,0,0,7.1,"0","0","11%","2"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,20,0,38,1,0,0,0,11.8,"6","5","99%","10"
"MIKEGLENNON","Mike Glennon","QB","TB",260,2,2,17,0,0,0,0,0,0,18.1,"0","0","7%","3"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,117,0,6,0,0,0,0,12.3,"1","1","100%","24"
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",0,0,0,54,0,14,0,0,0,0,6.8,"4","3","74%","14"
"LAMARMILLER","Lamar Miller","RB","MIA",0,0,0,49,1,8,0,0,0,0,11.7,"2","1","93%","11"
"BRANDENOLIVER","Branden Oliver","RB","SD",0,0,0,19,0,7,0,0,0,0,2.6,"2","1","85%","13"
"MICHAELVICK","Michael Vick","QB","NYJ",196,1,0,18,0,0,0,0,0,0,13.64,"0","0","9%","4"
"DEZBRYANT","Dez Bryant","WR","DAL",0,0,0,0,0,15,1,0,0,0,7.5,"10","2","100%","0"
"ANDYDALTON","Andy Dalton","QB","CIN",233,2,2,11,0,0,0,0,0,0,16.42,"0","0","76%","2"
"ANDREJOHNSON","Andre Johnson","WR","HOU",0,0,0,0,0,12,0,0,0,0,1.2,"7","2","98%","0"
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",0,0,0,0,0,158,2,0,0,0,27.8,"7","6","98%","0"
"ALFREDMORRIS","Alfred Morris","RB","WAS",0,0,0,92,2,17,0,0,0,0,22.9,"3","2","98%","19"
"CARSONPALMER","Carson Palmer","QB","ARI",249,3,1,-2,0,0,0,0,0,0,20.76,"0","0","60%","2"
"ANTONIOGATES","Antonio Gates","TE","SD",0,0,0,0,0,28,0,0,0,0,2.8,"5","3","96%","0"
