"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"PEYTONMANNING","Peyton Manning","QB","DEN",237,3,0,0,0,0,0,0,0,0,21.48,"0","0","100%","1"
"MATTRYAN","Matt Ryan","QB","ATL",271,1,1,-1,0,0,0,0,0,0,13.74,"0","0","99%","1"
"ANDREWLUCK","Andrew Luck","QB","IND",370,3,1,18,0,0,0,0,0,1,25.6,"0","0","100%","7"
"AARONRODGERS","Aaron Rodgers","QB","GB",264,3,0,34,0,0,0,0,0,0,25.96,"0","0","100%","7"
"MATTFORTE","Matt Forte","RB","CHI",0,0,0,80,2,77,0,0,0,0,27.7,"13","10","100%","17"
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",0,0,0,61,0,1,0,0,0,0,6.2,"2","1","100%","10"
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",0,0,0,137,1,20,0,0,0,0,21.7,"5","4","100%","18"
"ARIANFOSTER","Arian Foster","RB","HOU",0,0,0,109,2,32,0,0,0,0,26.1,"4","3","99%","20"
"RUSSELLWILSON","Russell Wilson","QB","SEA",126,0,1,12,1,0,0,0,0,0,11.24,"0","0","96%","2"
"NICKFOLES","Nick Foles","QB","PHI",248,2,2,5,0,0,0,0,0,0,16.42,"0","0","96%","2"
"JAYCUTLER","Jay Cutler","QB","CHI",381,1,0,4,0,0,0,0,1,0,21.64,"0","0","96%","6"
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",0,0,0,0,0,124,1,0,0,0,18.4,"12","10","100%","0"
"KIRKCOUSINS","Kirk Cousins","QB","WAS",354,2,3,0,0,0,0,0,0,0,19.16,"0","0","49%","0"
"ELIMANNING","Eli Manning","QB","NYG",151,0,0,3,0,0,0,0,0,0,6.34,"0","0","77%","2"
"LEVEONBELL","Le'Veon Bell","RB","PIT",0,0,0,82,0,23,0,0,0,0,10.5,"6","4","99%","18"
"JULIOJONES","Julio Jones","WR","ATL",0,0,0,1,0,68,0,0,0,0,6.9,"12","4","100%","1"
"CAMNEWTON","Cam Newton","QB","CAR",284,2,1,107,1,0,0,0,0,0,35.06,"0","0","93%","17"
"PHILIPRIVERS","Philip Rivers","QB","SD",313,3,0,13,0,0,0,0,0,0,25.82,"0","0","96%","5"
"LESEANMCCOY","LeSean McCoy","RB","PHI",0,0,0,149,0,5,0,0,0,0,15.4,"2","2","100%","22"
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",185,1,0,1,0,0,0,0,0,0,11.5,"0","0","99%","1"
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",228,1,1,7,0,0,0,0,0,0,12.82,"0","0","81%","1"
"JOEFLACCO","Joe Flacco","QB","BAL",306,5,0,0,0,0,0,0,0,0,32.24,"0","0","50%","0"
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,67,0,26,0,0,0,0,9.3,"9","6","98%","19"
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",343,3,0,37,0,0,0,0,0,0,29.42,"0","0","91%","3"
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",244,2,2,49,0,0,0,0,0,0,20.66,"0","0","35%","3"
"TONYROMO","Tony Romo","QB","DAL",250,2,0,-1,0,0,0,0,0,1,15.9,"0","0","89%","2"
"ANDYDALTON","Andy Dalton","QB","CIN",323,2,2,25,0,0,0,0,0,0,21.42,"0","0","75%","4"
"JORDYNELSON","Jordy Nelson","WR","GB",0,0,0,0,0,107,1,0,0,0,16.7,"16","9","100%","0"
"ANTONIOBROWN","Antonio Brown","WR","PIT",0,0,0,-2,0,118,0,0,0,0,11.6,"10","7","100%","1"
"JOIQUEBELL","Joique Bell","RB","DET",0,0,0,74,1,23,0,0,0,0,15.7,"3","2","84%","18"
