displayName,defSack,defInt,defFF,defFR,defTD,defRetTD,defSafety,defPA,defYdsAllowed
New York Jets,2.9,1.2,0.6,0.6,0.3,0.0,0.0,16.6,236.0
Kansas City Chiefs,3.1,1.3,0.6,0.6,0.3,0.0,0.0,17.7,318.2
Cincinnati Bengals,2.2,1.1,0.4,0.4,0.2,0.0,0.0,17.9,324.7
Seattle Seahawks,3.1,1.5,0.5,0.5,0.4,0.1,0.0,18.0,306.8
Green Bay Packers,2.6,1.0,0.5,0.5,0.3,0.0,0.0,18.2,306.5
Denver Broncos,3.0,1.0,0.7,0.7,0.3,0.1,0.1,18.3,307.2
San Francisco 49ers,1.7,0.8,0.5,0.5,0.2,0.0,0.0,18.3,300.4
New England Patriots,2.4,0.9,0.5,0.5,0.3,0.0,0.0,18.3,330.5
St. Louis Rams,3.0,1.4,0.4,0.4,0.2,0.1,0.0,19.2,320.8
Arizona Cardinals,2.6,1.0,0.7,0.7,0.3,0.1,0.1,19.4,340.4
Carolina Panthers,2.7,1.4,0.7,0.7,0.3,0.0,0.0,19.4,286.5
Buffalo Bills,2.0,1.0,0.7,0.7,0.3,0.0,0.0,20.6,296.8
Detroit Lions,2.8,1.0,0.5,0.5,0.2,0.0,0.0,21.7,294.1
Chicago Bears,2.4,1.2,0.4,0.4,0.3,0.0,0.0,22.0,350.7
Cleveland Browns,1.8,1.1,0.6,0.6,0.2,0.1,0.0,22.1,310.6
New York Giants,1.8,1.2,0.4,0.4,0.3,0.1,0.0,22.3,364.4
Washington Redskins,2.2,1.1,0.4,0.4,0.2,0.1,0.0,23.3,375.5
Dallas Cowboys,1.8,0.5,0.3,0.3,0.2,0.0,0.0,23.6,318.0
Indianapolis Colts,2.3,1.1,0.5,0.5,0.2,0.0,0.0,23.8,359.8
Pittsburgh Steelers,2.1,0.9,0.5,0.5,0.2,0.1,0.0,24.0,367.5
Philadelphia Eagles,2.5,0.7,0.5,0.5,0.3,0.1,0.0,24.2,362.5
Oakland Raiders,2.3,0.9,0.4,0.4,0.1,0.0,0.0,24.5,333.8
Tennessee Titans,2.1,1.1,0.3,0.3,0.3,0.0,0.0,25.0,344.6
Tampa Bay Buccaneers,2.6,1.0,0.5,0.5,0.2,0.0,0.0,25.2,370.0
Minnesota Vikings,2.0,0.9,0.5,0.5,0.2,0.1,0.0,25.4,409.4
Houston Texans,2.8,0.8,0.5,0.5,0.2,0.0,0.0,25.5,363.9
Baltimore Ravens,2.4,0.8,0.3,0.3,0.2,0.1,0.0,25.6,381.5
Miami Dolphins,2.5,1.1,0.5,0.5,0.2,0.1,0.0,25.8,403.2
Jacksonville Jaguars,2.7,1.2,0.4,0.4,0.2,0.0,0.0,26.3,359.9
Atlanta Falcons,1.4,0.9,0.4,0.4,0.1,0.0,0.0,26.9,379.7
San Diego Chargers,2.1,0.7,0.4,0.4,0.1,0.0,0.0,31.0,443.7
New Orleans Saints,2.2,1.1,0.3,0.3,0.2,0.1,0.0,31.2,432.9
