"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,38.4,25,309.3,2.4,0.7,NA,4,0.1,NA,NA,NA,NA,NA,0.2
"TOMBRADY","QB","Tom Brady","NE",0,0,0,41,25.7,293.4,2.1,0.7,NA,3.9,0.1,NA,NA,NA,NA,NA,0.3
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,40.7,25.2,290.3,2.2,0.9,NA,22,0.1,NA,NA,NA,NA,NA,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,39.4,25.8,288.6,1.8,1,NA,2.7,0,NA,NA,NA,NA,NA,0.3
"DREWBREES","QB","Drew Brees","NO",0,0,0,38.3,25.3,288.1,2.3,0.8,NA,2.2,0.1,NA,NA,NA,NA,NA,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,36.2,22.4,287.7,2,0.7,NA,2.8,0.1,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,38.5,24.7,283.9,2,0.9,NA,7.1,0.1,NA,NA,NA,NA,NA,0.2
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,37.7,22.8,264.8,2,0.8,NA,7.2,0,NA,NA,NA,NA,NA,0.2
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,37.9,23.8,264,1.8,1,NA,2.4,0,NA,NA,NA,NA,NA,0.3
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,38.1,24.6,260.8,1.3,1.3,NA,3.1,0,NA,NA,NA,NA,NA,0.3
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,35.4,22.5,260.6,1.8,0.9,NA,7.1,0.1,NA,NA,NA,NA,NA,0.3
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,33.8,22.2,258.3,1.6,0.9,NA,9.6,0.1,NA,NA,NA,NA,NA,0.3
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,33.3,20.3,257.7,2,0.8,NA,40.5,0.5,NA,NA,NA,NA,NA,0.2
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,36,21.8,254,1.7,1,NA,3.5,0,NA,NA,NA,NA,NA,0.3
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,34.8,21.2,250.6,1.8,0.7,NA,20.1,0.1,NA,NA,NA,NA,NA,0.2
"BROCKOSWEILER","QB","Brock Osweiler","DEN",0,0,0,37.3,22.2,249.4,1.4,1.3,NA,7,0.1,NA,NA,NA,NA,NA,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,31.6,20.4,249,2.1,0.6,NA,35.2,0.2,NA,NA,NA,NA,NA,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,36.2,22.3,246.7,1.5,1,NA,9.1,0.1,NA,NA,NA,NA,NA,0.2
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",0,0,0,36.8,21.6,245.7,1.7,1.1,NA,18.7,0.1,NA,NA,NA,NA,NA,0.2
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",0,0,0,36.8,20.8,235.4,1.2,1.3,NA,20.3,0.1,NA,NA,NA,NA,NA,0.3
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,32.7,19.4,234.7,1.5,0.9,NA,14.6,0.2,NA,NA,NA,NA,NA,0.2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,30.3,19.2,223.7,1.5,0.9,NA,14.2,0.1,NA,NA,NA,NA,NA,0.2
"BLAINEGABBERT","QB","Blaine Gabbert","SF",0,0,0,34.3,20.1,222.7,1.1,1,NA,16,0.1,NA,NA,NA,NA,NA,0.2
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",0,0,0,32.5,18.9,222.6,1.3,1.3,NA,3.7,0,NA,NA,NA,NA,NA,0.2
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",0,0,0,31.3,18.8,218.4,1.6,0.7,NA,32.9,0.2,NA,NA,NA,NA,NA,0.2
"AJMCCARRON","QB","AJ McCarron","CIN",0,0,0,31.5,19.1,216.3,1.2,1.1,NA,6,0,NA,NA,NA,NA,NA,0.2
"BRIANHOYER","QB","Brian Hoyer","HOU",0,0,0,30.3,18,214.9,1.5,0.7,NA,4.7,0,NA,NA,NA,NA,NA,0.1
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,29.7,18.9,212.9,1.7,0.5,NA,23.9,0.1,NA,NA,NA,NA,NA,0.2
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",0,0,0,30.7,18.8,209.4,1.3,1,NA,3.4,0,NA,NA,NA,NA,NA,0.1
"KELLENMOORE","QB","Kellen Moore","DAL",0,0,0,31.1,18.3,207.1,1,1.3,NA,7.5,0,NA,NA,NA,NA,NA,0.3
"CASEKEENUM","QB","Case Keenum","STL",0,0,0,30.2,17.7,183.5,0.8,1.1,NA,3.7,0,NA,NA,NA,NA,NA,0.3
"MATTSCHAUB","QB","Matt Schaub","BAL",0,0,0,19.1,11,137.7,0.7,0.7,NA,1.4,0,NA,NA,NA,NA,NA,0
"BRANDONWEEDEN","QB","Brandon Weeden","HOU",0,0,0,14.1,8,123.9,0.7,0.6,NA,1.5,0,NA,NA,NA,NA,NA,0.2
"JIMMYCLAUSEN","QB","Jimmy Clausen","BAL",0,0,0,13.9,7.9,89,0.4,0.5,NA,3,0,NA,NA,NA,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",0,0,0,12.5,6.2,71.8,0.4,0.4,NA,1,0,NA,NA,NA,NA,NA,0.1
"JOSHMCCOWN","QB","Josh McCown","CLE",0,0,0,0,0,69.4,0.6,0.6,NA,3.3,0,NA,NA,NA,NA,NA,0
"MATTFLYNN","QB","Matt Flynn","NO",0,0,0,2.1,1.3,15,0.1,0.1,NA,0.3,0,NA,NA,NA,NA,NA,0
"MATTCASSEL","QB","Matt Cassel","DAL",0,0,0,1.2,0.7,9.6,0,0,NA,0.7,0,NA,NA,NA,NA,NA,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",0,0,0,1,0.8,8.5,0,0,NA,0.5,0,NA,NA,NA,NA,NA,0
"NICKFOLES","QB","Nick Foles","STL",0,0,0,1.1,0.9,8.2,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
