"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DREWBREES","QB","Drew Brees","NO",0,0,0,40.6,26.5,295.1,1.7,0.9,NA,3.1,0.1,NA,NA,NA,NA,NA,0.2
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,38.1,25.7,291.8,1.8,0.8,NA,1.7,0,NA,NA,NA,NA,NA,0.3
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,39.1,25.9,287.5,1.7,0.9,NA,5.1,0,NA,NA,NA,NA,NA,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,35,22.7,284.8,2.3,0.8,NA,2.4,0.1,NA,NA,NA,NA,NA,0.3
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,38.4,24.3,278.9,1.9,0.9,NA,5.2,0,NA,NA,NA,NA,NA,0.3
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,36.3,23.3,273.6,1.6,0.9,NA,2.3,0,NA,NA,NA,NA,NA,0.3
"BRIANHOYER","QB","Brian Hoyer","HOU",0,0,0,36.4,22.4,272.9,2,0.7,NA,5.2,0,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,39.5,24,272.5,1.8,1.2,NA,9.8,0.1,NA,NA,NA,NA,NA,0.2
"TOMBRADY","QB","Tom Brady","NE",0,0,0,39.7,24.8,270.8,2,0.9,NA,3.4,0.1,NA,NA,NA,NA,NA,0.2
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,33.1,21.2,267,2.2,0.5,NA,17.8,0.1,NA,NA,NA,NA,NA,0.2
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,36.5,22.7,264.4,1.8,1,NA,8.4,0.1,NA,NA,NA,NA,NA,0.3
"BROCKOSWEILER","QB","Brock Osweiler","DEN",0,0,0,37.5,22.3,260.9,1.4,1.2,NA,6.2,0.1,NA,NA,NA,NA,NA,0.2
"TONYROMO","QB","Tony Romo","DAL",0,0,0,34.4,22.1,260.6,1.8,1.1,NA,5.4,0,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,37.9,22.2,259.9,1.9,1,NA,19.9,0.1,NA,NA,NA,NA,NA,0.2
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,35.7,23.1,259.1,1.7,1.4,NA,6.7,0.1,NA,NA,NA,NA,NA,0.3
"JOSHMCCOWN","QB","Josh McCown","CLE",0,0,0,36.1,21.3,259,1.6,0.9,NA,9.8,0.1,NA,NA,NA,NA,NA,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,34.2,22.2,258.8,1.8,0.9,NA,12.5,0.1,NA,NA,NA,NA,NA,0.3
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",0,0,0,35.7,23,256.1,1.8,1,NA,4.3,0,NA,NA,NA,NA,NA,0.3
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,36.1,21.9,252.3,1.5,1.2,NA,12.5,0.1,NA,NA,NA,NA,NA,0.2
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,37.7,22.9,245.9,1.4,1.2,NA,9.3,0.1,NA,NA,NA,NA,NA,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,30.7,19.3,241.4,1.4,0.8,NA,34.1,0.1,NA,NA,NA,NA,NA,0.2
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",0,0,0,33.4,19.8,240.2,1.7,1.1,NA,15,0.1,NA,NA,NA,NA,NA,0.2
"MATTSCHAUB","QB","Matt Schaub","BAL",0,0,0,37.7,22.3,238.7,1.2,1.2,NA,3.7,0.1,NA,NA,NA,NA,NA,0.3
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,32.9,19.4,238,1.5,1.1,NA,13.3,0.2,NA,NA,NA,NA,NA,0.3
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",0,0,0,32.5,20.2,230.6,1.5,0.8,NA,17.9,0.1,NA,NA,NA,NA,NA,0.3
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,31.8,18.8,221,1.5,0.8,NA,39.7,0.3,NA,NA,NA,NA,NA,0.2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,31.5,19.4,218.1,1.2,0.9,NA,18.3,0.1,NA,NA,NA,NA,NA,0.2
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,32.8,19.9,210.6,1.3,0.9,NA,23,0.1,NA,NA,NA,NA,NA,0.2
"BLAINEGABBERT","QB","Blaine Gabbert","SF",0,0,0,31.6,17.7,200.7,1.1,1.3,NA,18.2,0.1,NA,NA,NA,NA,NA,0.2
"TYRODTAYLOR","QB","Tyrod Taylor","BUF",0,0,0,29.4,17,198.2,1.1,1,NA,25,0.2,NA,NA,NA,NA,NA,0.2
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,22,14.7,193.7,1.1,0.6,NA,2.4,0,NA,NA,NA,NA,NA,0.2
"CASEKEENUM","QB","Case Keenum","STL",0,0,0,31.7,17,184.8,0.8,1,NA,7,0.1,NA,NA,NA,NA,NA,0.2
"MARKSANCHEZ","QB","Mark Sanchez","PHI",0,0,0,20.2,12.2,143.7,0.9,0.6,NA,5,0.1,NA,NA,NA,NA,NA,0.2
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",0,0,0,18.3,10.3,117.6,0.7,0.6,NA,9.3,0.1,NA,NA,NA,NA,NA,0.3
"NICKFOLES","QB","Nick Foles","STL",0,0,0,6.9,4.1,97.7,0.6,0.5,NA,0.5,0,NA,NA,NA,NA,NA,0.2
"TJYATES","QB","T.J. Yates","HOU",0,0,0,9.9,5.6,63.9,0.4,0.3,NA,1.3,0,NA,NA,NA,NA,NA,0.2
"GENOSMITH","QB","Geno Smith","NYJ",0,0,0,0.7,0.9,10.4,0,0,NA,1.1,0,NA,NA,NA,NA,NA,0
"EJMANUEL","QB","EJ Manuel","BUF",0,0,0,1.6,0.9,10.4,0,0.1,NA,1,0,NA,NA,NA,NA,NA,0
"MATTCASSEL","QB","Matt Cassel","DAL",0,0,0,1,0.6,8.6,0,0,NA,0.7,0,NA,NA,NA,NA,NA,0
"CHADHENNE","QB","Chad Henne","JAC",0,0,0,1,0.7,7.9,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",0,0,0,0.7,0.7,7.2,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"MIKEGLENNON","QB","Mike Glennon","TB",0,0,0,0.9,0.6,7.2,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"COLTMCCOY","QB","Colt McCoy","WAS",0,0,0,0.7,0.6,6,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"DANORLOVSKY","QB","Dan Orlovsky","DET",0,0,0,0.6,0.5,5.5,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"MATTFLYNN","QB","Matt Flynn","NO",0,0,0,0.8,0.5,5.3,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"MATTMCGLOIN","QB","Matt McGloin","OAK",0,0,0,0.5,0.5,4.9,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SCOTTTOLZIEN","QB","Scott Tolzien","GB",0,0,0,0.7,0.4,4.8,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",0,0,0,0.7,0.4,4.7,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"RYANNASSIB","QB","Ryan Nassib","NYG",0,0,0,0.6,0.4,4.6,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",0,0,0,0.6,0.4,4.2,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"KELLENCLEMENS","QB","Kellen Clemens","SD",0,0,0,0.4,0.4,4,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JIMMYCLAUSEN","QB","Jimmy Clausen","BAL",0,0,0,0.6,0.4,3.9,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"AJMCCARRON","QB","AJ McCarron","CIN",0,0,0,0.6,0.4,3.9,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","CLE",0,0,0,0.3,0.3,3.6,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",0,0,0,0.5,0.2,3.1,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"DREWSTANTON","QB","Drew Stanton","ARI",0,0,0,0.3,0.3,3,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SHAUNHILL","QB","Shaun Hill","MIN",0,0,0,0.4,0.3,2.7,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"CHASEDANIEL","QB","Chase Daniel","KC",0,0,0,0.4,0.3,2.7,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"MATTMOORE","QB","Matt Moore","MIA",0,0,0,0.3,0.2,2.3,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"MICHAELVICK","QB","Michael Vick","PIT",0,0,0,0.4,0.2,2.3,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",0,0,0,0.2,0.2,2.3,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"LANDRYJONES","QB","Landry Jones","PIT",0,0,0,0.1,0.2,2.2,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"DEREKANDERSON","QB","Derek Anderson","CAR",0,0,0,0.4,0.2,2,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"DAVIDFALES","QB","David Fales","CHI",0,0,0,0.1,0.1,0.8,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TREVORSIEMIAN","QB","Trevor Siemian","DEN",0,0,0,0.1,0.1,0.7,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SEANRENFREE","QB","Sean Renfree","ATL",0,0,0,0.1,0.1,0.7,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"THADDEUSLEWIS","QB","Thaddeus Lewis","PHI",0,0,0,0.1,0,0.4,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SEANMANNION","QB","Sean Mannion","STL",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRYCEPETTY","QB","Bryce Petty","NYJ",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRETTHUNDLEY","QB","Brett Hundley","GB",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TAYLORHEINICKE","QB","Taylor Heinicke","MIN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"GARRETTGRAYSON","QB","Garrett Grayson","NO",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRUCEGRADKOWSKI","QB","Bruce Gradkowski","PIT",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","Aaron Murray","KC",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JOSHJOHNSON","QB","Josh Johnson","BUF",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"MATTBARKLEY","QB","Matt Barkley","ARI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"LUKEMCCOWN","QB","Luke McCown","NO",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"ANDREWLUCK","QB","Andrew Luck","IND",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"KELLENMOORE","QB","Kellen Moore","DET",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JOEWEBB","QB","Joe Webb","CAR",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"ADRIANPETERSON","RB","Adrian Peterson","MIN",0,0,0,NA,NA,NA,NA,NA,21,89.6,0.7,2.1,14.2,0,NA,NA,0.2
"THOMASRAWLS","RB","Thomas Rawls","SEA",0,0,0,NA,NA,NA,NA,NA,17.8,83.7,0.4,1.7,13.9,0.1,NA,NA,0.1
"TODDGURLEY","RB","Todd Gurley","STL",0,0,0,NA,NA,NA,NA,NA,17.7,82.8,0.6,2.7,19.4,0,NA,NA,0.1
"CHRISJOHNSON","RB","Chris Johnson","ARI",0,0,0,NA,NA,NA,NA,NA,17.2,79.8,0.5,0.6,4.9,0,NA,NA,0.1
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",0,0,0,NA,NA,NA,NA,NA,17.7,78.1,0.4,1.1,8.2,0,NA,NA,0.2
"CHRISIVORY","RB","Chris Ivory","NYJ",0,0,0,NA,NA,NA,NA,NA,16.9,76,0.5,1.3,9.6,0,NA,NA,0.1
"DOUGMARTIN","RB","Doug Martin","TB",0,0,0,NA,NA,NA,NA,NA,17.3,74.9,0.3,2.6,21.8,0.1,NA,NA,0.2
"DARRENMCFADDEN","RB","Darren McFadden","DAL",0,0,0,NA,NA,NA,NA,NA,18.3,74.4,0.4,3.5,26,0,NA,NA,0.1
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",0,0,0,NA,NA,NA,NA,NA,15.1,70.9,0.4,2.1,14.2,0,NA,NA,0.2
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",0,0,0,NA,NA,NA,NA,NA,16.9,70.8,0.6,3.9,28.2,0,NA,NA,0.2
"TJYELDON","RB","T.J. Yeldon","JAC",0,0,0,NA,NA,NA,NA,NA,15.7,70.5,0.3,2.9,21.8,0,NA,NA,0.1
"LESEANMCCOY","RB","LeSean McCoy","BUF",0,0,0,NA,NA,NA,NA,NA,15.9,69.3,0.4,3,22.1,0,NA,NA,0.1
"EDDIELACY","RB","Eddie Lacy","GB",0,0,0,NA,NA,NA,NA,NA,13.3,68.5,0.4,1.2,9.3,0,NA,NA,0.2
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",0,0,0,NA,NA,NA,NA,NA,16.3,68.5,0.5,1.2,8.4,0,NA,NA,0.1
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",0,0,0,NA,NA,NA,NA,NA,15,67.6,0.4,2,14.7,0,NA,NA,0.1
