"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"TOMBRADY","QB","Tom Brady","NE",0,0,0,39.8,26.5,317.4,2.7,0.5,NA,2.4,0.1,NA,NA,NA,NA,NA,0.2
"DREWBREES","QB","Drew Brees","NO",0,0,0,39.9,26.2,301.8,2.1,1,NA,1.4,0.1,NA,NA,NA,NA,NA,0.2
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,38.6,25.3,300.9,2.3,0.9,NA,1.7,0,NA,NA,NA,NA,NA,0.2
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,38.1,25.8,290.5,1.8,0.8,NA,5.7,0,NA,NA,NA,NA,NA,0.2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,36,23.7,286.3,2,0.7,NA,2.6,0,NA,NA,NA,NA,NA,0.2
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,38.2,24.2,277.8,1.9,1.1,NA,0.5,0,NA,NA,NA,NA,NA,0.2
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,37,24.2,275.2,2.1,0.8,NA,3.8,0,NA,NA,NA,NA,NA,0.3
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,37.6,23.2,262.9,1.8,1,NA,3.8,0,NA,NA,NA,NA,NA,0.3
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,35.3,22.2,256.5,1.6,0.9,NA,11.2,0.1,NA,NA,NA,NA,NA,0.2
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,36.1,22.4,256.4,1.2,1.4,NA,3,0.1,NA,NA,NA,NA,NA,0.2
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,38.2,23.7,256.3,1.4,0.9,NA,3.9,0,NA,NA,NA,NA,NA,0.3
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,34.9,21.5,253.9,2,0.8,NA,11,0.1,NA,NA,NA,NA,NA,0.2
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,33.3,21.2,253.6,1.9,0.7,NA,19.1,0.1,NA,NA,NA,NA,NA,0.2
"ANDREWLUCK","QB","Andrew Luck","IND",0,0,0,39.2,22.8,253.1,1.6,1.5,NA,16.8,0.1,NA,NA,NA,NA,NA,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,37,22.7,244.6,1.5,1.2,NA,10.7,0,NA,NA,NA,NA,NA,0.2
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,33.6,19.9,240.4,1.5,1.1,NA,11.6,0.1,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,36.6,21.3,237.6,1.3,1.3,NA,16.3,0,NA,NA,NA,NA,NA,0.2
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",0,0,0,34.7,21.3,237.3,1.6,0.8,NA,17.3,0.1,NA,NA,NA,NA,NA,0.2
