"name","pos","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","pts_ffn","passAtt_ffn","passComp_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","twoPts_ffn","fumbles_ffn"
"DREWBREES","QB","Drew Brees","NO",0,0,0,40.6,26.7,307.6,1.9,1,NA,2.5,0.1,NA,NA,NA,NA,NA,0.3
"PHILIPRIVERS","QB","Philip Rivers","SD",0,0,0,38.3,25.2,301.7,2.1,0.8,NA,1.6,0,NA,NA,NA,NA,NA,0.2
"CARSONPALMER","QB","Carson Palmer","ARI",0,0,0,36.4,23.2,298.1,2.5,0.7,NA,3.1,0.1,NA,NA,NA,NA,NA,0.2
"ANDREWLUCK","QB","Andrew Luck","IND",0,0,0,39.6,24.2,287.4,2.4,0.7,NA,16.4,0.1,NA,NA,NA,NA,NA,0.3
"TOMBRADY","QB","Tom Brady","NE",0,0,0,39.2,25.4,283.8,2.3,0.7,NA,1.8,0.1,NA,NA,NA,NA,NA,0.2
"ELIMANNING","QB","Eli Manning","NYG",0,0,0,39,25,277.9,2,0.9,NA,3.7,0,NA,NA,NA,NA,NA,0.3
"MATTRYAN","QB","Matt Ryan","ATL",0,0,0,37.2,24.3,277.5,1.9,0.9,NA,4.4,0.1,NA,NA,NA,NA,NA,0.2
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",0,0,0,40.1,24.8,276.4,1.7,1,NA,7.1,0.1,NA,NA,NA,NA,NA,0.3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",0,0,0,37.3,23.1,256.7,1.8,1.1,NA,12.1,0.1,NA,NA,NA,NA,NA,0.2
"BLAKEBORTLES","QB","Blake Bortles","JAC",0,0,0,38.2,22.6,255.1,1.5,1.2,NA,19.9,0,NA,NA,NA,NA,NA,0.2
"SAMBRADFORD","QB","Sam Bradford","PHI",0,0,0,37.4,22.5,254.6,1.5,1.2,NA,3.8,0,NA,NA,NA,NA,NA,0.3
"JOEFLACCO","QB","Joe Flacco","BAL",0,0,0,38.7,23.9,252.7,1.5,1.2,NA,3.2,0.1,NA,NA,NA,NA,NA,0.3
"JOSHMCCOWN","QB","Josh McCown","CLE",0,0,0,34.4,21,251.1,1.3,1.2,NA,7.7,0.1,NA,NA,NA,NA,NA,0.4
"BRIANHOYER","QB","Brian Hoyer","HOU",0,0,0,36.9,21.7,248.8,1.3,1,NA,3.3,0,NA,NA,NA,NA,NA,0.3
"ALEXSMITH","QB","Alex Smith","KC",0,0,0,33.9,21.1,241.3,1.2,0.7,NA,17.7,0.1,NA,NA,NA,NA,NA,0.2
"JAMEISWINSTON","QB","Jameis Winston","TB",0,0,0,32.6,19.2,239.2,1.4,1.1,NA,12.8,0.1,NA,NA,NA,NA,NA,0.4
"CAMNEWTON","QB","Cam Newton","CAR",0,0,0,34,19.8,239.1,1.4,0.8,NA,36.5,0.4,NA,NA,NA,NA,NA,0.3
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",0,0,0,33.9,20.4,236,1.5,1,NA,17.7,0.1,NA,NA,NA,NA,NA,0.2
"DEREKCARR","QB","Derek Carr","OAK",0,0,0,35.7,21.5,234.4,1.5,0.9,NA,6.9,0,NA,NA,NA,NA,NA,0.3
"KIRKCOUSINS","QB","Kirk Cousins","WAS",0,0,0,32.6,21,232.3,1.3,1,NA,6.4,0.1,NA,NA,NA,NA,NA,0.2
"RUSSELLWILSON","QB","Russell Wilson","SEA",0,0,0,29.5,18.4,228.4,1.3,0.7,NA,38.6,0.3,NA,NA,NA,NA,NA,0.2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",0,0,0,31.4,19.7,228.3,1.3,0.9,NA,15.4,0.1,NA,NA,NA,NA,NA,0.2
"MATTCASSEL","QB","Matt Cassel","DAL",0,0,0,32.3,19.6,222.5,1.4,1,NA,6.2,0,NA,NA,NA,NA,NA,0.3
"ZACHMETTENBERGER","QB","Zach Mettenberger","TEN",0,0,0,28.4,17.6,220,1.2,0.9,NA,4.1,0.1,NA,NA,NA,NA,NA,0.1
"NICKFOLES","QB","Nick Foles","STL",0,0,0,31,18.4,216.4,1.3,1.1,NA,4.8,0.1,NA,NA,NA,NA,NA,0.2
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",0,0,0,30.2,18,203.7,1,1,NA,33.2,0.1,NA,NA,NA,NA,NA,0.3
"LANDRYJONES","QB","Landry Jones","PIT",0,0,0,25.9,15.1,181.1,1.2,0.7,NA,5.8,0,NA,NA,NA,NA,NA,0.2
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",0,0,0,11.3,7.9,154.1,1.1,0.5,NA,1,0,NA,NA,NA,NA,NA,0.1
"MARCUSMARIOTA","QB","Marcus Mariota","TEN",0,0,0,16.3,10.1,123.1,0.8,0.5,NA,5.1,0,NA,NA,NA,NA,NA,0.2
"EJMANUEL","QB","EJ Manuel","BUF",0,0,0,11.7,7.4,121.7,0.7,0.6,NA,11,0.1,NA,NA,NA,NA,NA,0.2
"MIKEGLENNON","QB","Mike Glennon","TB",0,0,0,7.6,5,58.3,0.3,0,NA,2.5,0,NA,NA,NA,NA,NA,0
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",0,0,0,1.1,1,12,0,0,NA,1.7,0,NA,NA,NA,NA,NA,0.1
"GENOSMITH","QB","Geno Smith","NYJ",0,0,0,0.9,1,10.5,0,0,NA,1.2,0,NA,NA,NA,NA,NA,0
"MARKSANCHEZ","QB","Mark Sanchez","PHI",0,0,0,1,0.8,8.7,0,0,NA,0.5,0,NA,NA,NA,NA,NA,0
"CASEKEENUM","QB","Case Keenum","STL",0,0,0,1,0.8,8.4,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"MATTHASSELBECK","QB","Matt Hasselbeck","IND",0,0,0,0.9,0.7,8.4,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"CHADHENNE","QB","Chad Henne","JAC",0,0,0,1,0.7,8.3,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"RYANMALLETT","QB","Ryan Mallett","HOU",0,0,0,0.8,0.7,8,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"SHAUNHILL","QB","Shaun Hill","MIN",0,0,0,0.9,0.7,7.9,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"MATTMCGLOIN","QB","Matt McGloin","OAK",0,0,0,0.9,0.7,7,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"COLTMCCOY","QB","Colt McCoy","WAS",0,0,0,0.7,0.6,6.9,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"MATTSCHAUB","QB","Matt Schaub","BAL",0,0,0,0.9,0.6,6.3,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"DANORLOVSKY","QB","Dan Orlovsky","DET",0,0,0,0.7,0.6,5.4,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"DREWSTANTON","QB","Drew Stanton","ARI",0,0,0,0.8,0.5,5.3,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"DEREKANDERSON","QB","Derek Anderson","CAR",0,0,0,0.7,0.5,5.3,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"CHASEDANIEL","QB","Chase Daniel","KC",0,0,0,0.7,0.5,4.7,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"RYANNASSIB","QB","Ryan Nassib","NYG",0,0,0,0.6,0.4,4.6,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"BLAINEGABBERT","QB","Blaine Gabbert","SF",0,0,0,0.7,0.4,4.6,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"MATTMOORE","QB","Matt Moore","MIA",0,0,0,0.7,0.4,4.5,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"TARVARISJACKSON","QB","Tarvaris Jackson","SEA",0,0,0,0.6,0.4,4.4,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",0,0,0,0.6,0.4,4.3,0,0,NA,0.3,0,NA,NA,NA,NA,NA,0
"KELLENCLEMENS","QB","Kellen Clemens","SD",0,0,0,0.4,0.4,4.3,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"LUKEMCCOWN","QB","Luke McCown","NO",0,0,0,0.5,0.3,3.7,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"MICHAELVICK","QB","Michael Vick","PIT",0,0,0,0.5,0.4,3.6,0,0,NA,0.7,0,NA,NA,NA,NA,NA,0
"SEANRENFREE","QB","Sean Renfree","ATL",0,0,0,0.5,0.3,3,0,0,NA,0.1,0,NA,NA,NA,NA,NA,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",0,0,0,0.1,0.2,2.9,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",0,0,0,0.2,0.2,2.8,0,0,NA,0.2,0,NA,NA,NA,NA,NA,0
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",0,0,0,0.2,0.2,2.2,0,0,NA,0.4,0,NA,NA,NA,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","CLE",0,0,0,0,0.2,1.8,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SEANMANNION","QB","Sean Mannion","STL",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"GARRETTGRAYSON","QB","Garrett Grayson","NO",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRYCEPETTY","QB","Bryce Petty","NYJ",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TAYLORHEINICKE","QB","Taylor Heinicke","MIN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"AARONMURRAY","QB","Aaron Murray","KC",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"RYANGRIFFIN","QB","Ryan Griffin","TB",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRUCEGRADKOWSKI","QB","Bruce Gradkowski","PIT",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"PEYTONMANNING","QB","Peyton Manning","DEN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"AARONRODGERS","QB","Aaron Rodgers","GB",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TONYROMO","QB","Tony Romo","DAL",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JOEWEBB","QB","Joe Webb","CAR",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"ANDYDALTON","QB","Andy Dalton","CIN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JOSHJOHNSON","QB","Josh Johnson","BUF",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"SCOTTTOLZIEN","QB","Scott Tolzien","GB",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BROCKOSWEILER","QB","Brock Osweiler","DEN",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"KELLENMOORE","QB","Kellen Moore","DET",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"MATTBARKLEY","QB","Matt Barkley","ARI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"BRADSORENSEN","QB","Brad Sorensen","SD",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"JAYCUTLER","QB","Jay Cutler","CHI",0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0
"TODDGURLEY","RB","Todd Gurley","STL",0,0,0,NA,NA,NA,NA,NA,19.2,91,0.6,1.3,9.5,0,NA,NA,0.1
"ADRIANPETERSON","RB","Adrian Peterson","MIN",0,0,0,NA,NA,NA,NA,NA,20.3,89.1,0.6,1.6,12.5,0,NA,NA,0.2
"LEVEONBELL","RB","LeVeon Bell","PIT",0,0,0,NA,NA,NA,NA,NA,20.5,88.6,0.5,4,31.1,0.2,NA,NA,0.1
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",0,0,0,NA,NA,NA,NA,NA,16.9,84.6,0.7,4.1,33.7,0.1,NA,NA,0.1
"CHRISIVORY","RB","Chris Ivory","NYJ",0,0,0,NA,NA,NA,NA,NA,16.8,81.1,0.6,1.8,11.5,0,NA,NA,0.1
"FRANKGORE","RB","Frank Gore","IND",0,0,0,NA,NA,NA,NA,NA,15.6,76.7,0.5,1.9,12.3,0,NA,NA,0.2
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",0,0,0,NA,NA,NA,NA,NA,17.7,74.2,0.6,1.7,13,0,NA,NA,0.1
"ARIANFOSTER","RB","Arian Foster","HOU",0,0,0,NA,NA,NA,NA,NA,17.5,74,0.5,4,29.2,0.1,NA,NA,0.2
"LESEANMCCOY","RB","LeSean McCoy","BUF",0,0,0,NA,NA,NA,NA,NA,17.5,70.5,0.5,2.9,21.3,0,NA,NA,0.1
"DOUGMARTIN","RB","Doug Martin","TB",0,0,0,NA,NA,NA,NA,NA,16.2,68.6,0.3,2.6,19.2,0,NA,NA,0.2
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",0,0,0,NA,NA,NA,NA,NA,15.3,68.4,0.4,3,20.8,0,NA,NA,0.2
"LAMARMILLER","RB","Lamar Miller","MIA",0,0,0,NA,NA,NA,NA,NA,15.1,66.3,0.5,2.7,20,0,NA,NA,0.1
"MARKINGRAM","RB","Mark Ingram","NO",0,0,0,NA,NA,NA,NA,NA,14.4,64.9,0.6,3,22.7,0,NA,NA,0.2
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",0,0,0,NA,NA,NA,NA,NA,15.6,62,0.3,1.2,8.7,0,NA,NA,0.1
