"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",10,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,109,18.2,1,NA,0,16
"KEENANALLEN","Keenan Allen","WR","SD",10,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,106,17.7,1,NA,0,16
"JAKELOCKER","Jake Locker","QB","TEN",24,41,27,18,239,1,1,66.7,8.9,3,22,7.3,0,NA,NA,NA,NA,NA,0,15
"KYLEORTON","Kyle Orton","QB","BUF",24,41,36,20,289,1,1,55.6,8,3,9,3,0,NA,NA,NA,NA,NA,0,15
"LESEANMCCOY","LeSean McCoy","RB","PHI",7,41,NA,NA,NA,NA,NA,NA,NA,16,69,4.3,1,4,33,8.2,0,NA,0,15
"EDDIELACY","Eddie Lacy","RB","GB",7,41,NA,NA,NA,NA,NA,NA,NA,18,71,3.9,1,3,22,7.3,0,NA,0,15
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",7,41,NA,NA,NA,NA,NA,NA,NA,17,66,3.9,1,4,37,9.2,0,NA,0,15
"FRANKGORE","Frank Gore","RB","SF",7,41,NA,NA,NA,NA,NA,NA,NA,16,77,4.8,1,3,22,7.3,0,NA,0,15
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",12,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,91,18.2,1,NA,0,15
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,95,11.9,1,NA,0,15
"JULIUSTHOMAS","Julius Thomas","TE","DEN",1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,92,18.4,1,NA,0,15
"CHRISTIANPONDER","Christian Ponder","QB","MIN",26,50,33,22,207,1,1,66.7,6.3,3,22,7.3,0,NA,NA,NA,NA,NA,0,14
"BRIANHOYER","Brian Hoyer","QB","CLE",26,50,30,22,211,1,0,73.3,7,1,1,1,0,NA,NA,NA,NA,NA,0,14
"ZACSTACY","Zac Stacy","RB","STL",11,50,NA,NA,NA,NA,NA,NA,NA,18,77,4.3,1,3,19,6.3,0,NA,0,14
"STEVESMITH","Steve Smith","WR","BAL",13,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,82,13.7,1,NA,0,14
"MICHAELCRABTREE","Michael Crabtree","WR","SF",13,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,82,11.7,1,NA,0,14
"VICTORCRUZ","Victor Cruz","WR","NYG",13,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,88,17.6,1,NA,0,14
"GENOSMITH","Geno Smith","QB","NYJ",28,56,36,20,238,0,2,55.6,6.6,5,22,4.4,1,NA,NA,NA,NA,NA,0,13
