"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"DREWBREES","Drew Brees","QB","NO",1,1,40,26,326,3,0,65,8.2,2,3,1.5,0,NA,NA,NA,NA,NA,0,31
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",2,2,40,25,314,3,0,62.5,7.8,2,5,2.5,0,NA,NA,NA,NA,NA,0,30
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,34,23,271,3,0,67.6,8,3,13,4.3,0,NA,NA,NA,NA,NA,0,29
"ANDREWLUCK","Andrew Luck","QB","IND",4,4,36,23,340,2,0,63.9,9.4,4,19,4.8,0,NA,NA,NA,NA,NA,0,26
"PEYTONMANNING","Peyton Manning","QB","DEN",5,5,40,27,277,3,2,67.5,6.9,1,1,1,0,NA,NA,NA,NA,NA,0,25
"MATTRYAN","Matt Ryan","QB","ATL",6,6,40,26,291,2,0,65,7.3,2,4,2,0,NA,NA,NA,NA,NA,0,23
"JAYCUTLER","Jay Cutler","QB","CHI",6,6,35,22,243,3,1,62.9,6.9,2,9,4.5,0,NA,NA,NA,NA,NA,1,23
"RUSSELLWILSON","Russell Wilson","QB","SEA",6,6,29,18,233,1,0,62.1,8,6,27,4.5,1,NA,NA,NA,NA,NA,0,23
"NICKFOLES","Nick Foles","QB","PHI",9,9,35,23,281,2,1,65.7,8,3,13,4.3,0,NA,NA,NA,NA,NA,0,22
"CAMNEWTON","Cam Newton","QB","CAR",10,10,31,19,248,2,1,61.3,8,4,19,4.8,0,NA,NA,NA,NA,NA,0,20
"TOMBRADY","Tom Brady","QB","NE",10,10,31,24,224,2,0,77.4,7.2,2,2,1,0,NA,NA,NA,NA,NA,0,20
"PHILIPRIVERS","Philip Rivers","QB","SD",10,10,35,24,274,2,1,68.6,7.8,2,4,2,0,NA,NA,NA,NA,NA,0,20
"ANDYDALTON","Andy Dalton","QB","CIN",10,10,34,21,345,1,0,61.8,10.1,3,12,4,0,NA,NA,NA,NA,NA,0,20
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",14,14,31,18,271,1,0,58.1,8.7,5,30,6,0,NA,NA,NA,NA,NA,0,19
"TONYROMO","Tony Romo","QB","DAL",14,14,35,26,309,1,0,74.3,8.8,2,11,5.5,0,NA,NA,NA,NA,NA,0,19
"CALVINJOHNSON","Calvin Johnson","WR","DET",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,133,22.2,1,NA,0,19
"KIRKCOUSINS","Kirk Cousins","QB","WAS",16,17,37,25,259,2,2,67.6,7,2,2,1,0,NA,NA,NA,NA,NA,0,18
"JOEFLACCO","Joe Flacco","QB","BAL",16,17,35,22,224,2,1,62.9,6.4,2,6,3,0,NA,NA,NA,NA,NA,0,18
"LESEANMCCOY","LeSean McCoy","RB","PHI",1,17,NA,NA,NA,NA,NA,NA,NA,18,102,5.7,1,3,24,8,0,NA,0,18
"DEZBRYANT","Dez Bryant","WR","DAL",2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,126,18,1,NA,0,18
"JORDYNELSON","Jordy Nelson","WR","GB",2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,121,24.2,1,NA,0,18
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",18,22,37,22,227,1,0,59.5,6.1,3,23,7.7,0,NA,NA,NA,NA,NA,0,17
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",2,22,NA,NA,NA,NA,NA,NA,NA,22,109,5,1,2,17,8.5,0,NA,0,17
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",2,22,NA,NA,NA,NA,NA,NA,NA,17,108,6.4,1,2,11,5.5,0,NA,0,17
"JULIOJONES","Julio Jones","WR","ATL",4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,111,18.5,1,NA,0,17
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,111,15.9,1,NA,0,17
"RANDALLCOBB","Randall Cobb","WR","GB",4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,112,22.4,1,NA,0,17
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,111,18.5,1,NA,0,17
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",19,29,38,24,301,1,1,63.2,7.9,2,6,3,0,NA,NA,NA,NA,NA,0,16
"ELIMANNING","Eli Manning","QB","NYG",19,29,34,21,304,1,1,61.8,8.9,2,1,0.5,0,NA,NA,NA,NA,NA,0,16
"ALEXSMITH","Alex Smith","QB","KC",19,29,34,23,240,0,0,67.6,7.1,4,18,4.5,1,NA,NA,NA,NA,NA,0,16
"JAKELOCKER","Jake Locker","QB","TEN",19,29,29,21,254,1,1,72.4,8.8,4,21,5.2,0,NA,NA,NA,NA,NA,0,16
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",4,29,NA,NA,NA,NA,NA,NA,NA,18,71,3.9,1,4,31,7.8,0,NA,0,16
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,102,17,1,NA,0,16
"GENOSMITH","Geno Smith","QB","NYJ",23,35,30,19,225,0,1,63.3,7.5,4,29,7.2,1,NA,NA,NA,NA,NA,0,15
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",23,35,34,21,261,1,1,61.8,7.7,2,11,5.5,0,NA,NA,NA,NA,NA,0,15
"JOSHMCCOWN","Josh McCown","QB","TB",23,35,30,18,224,1,0,60,7.5,4,19,4.8,0,NA,NA,NA,NA,NA,0,15
"STEVANRIDLEY","Stevan Ridley","RB","NE",5,35,NA,NA,NA,NA,NA,NA,NA,18,95,5.3,1,0,0,0,0,NA,0,15
"KNILEDAVIS","Knile Davis","RB","KC",5,35,NA,NA,NA,NA,NA,NA,NA,18,78,4.3,1,5,28,5.6,0,NA,0,15
"ALFREDMORRIS","Alfred Morris","RB","WAS",5,35,NA,NA,NA,NA,NA,NA,NA,19,91,4.8,1,1,8,8,0,NA,0,15
"JOIQUEBELL","Joique Bell","RB","DET",5,35,NA,NA,NA,NA,NA,NA,NA,17,71,4.2,0,3,22,7.3,1,NA,0,15
"MATTFORTE","Matt Forte","RB","CHI",5,35,NA,NA,NA,NA,NA,NA,NA,17,71,4.2,1,4,22,5.5,0,NA,0,15
"ZACSTACY","Zac Stacy","RB","STL",5,35,NA,NA,NA,NA,NA,NA,NA,18,81,4.5,1,2,11,5.5,0,NA,0,15
"BOBBYRAINEY","Bobby Rainey","RB","TB",5,35,NA,NA,NA,NA,NA,NA,NA,18,87,4.8,1,3,19,6.3,0,NA,0,15
"AJGREEN","A.J. Green","WR","CIN",8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,92,18.4,1,NA,0,15
"ANTONIOBROWN","Antonio Brown","WR","PIT",8,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,95,15.8,1,NA,0,15
