"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"ANDREWLUCK","Andrew Luck","QB","IND",1,1,38,25,365,3,1,65.8,9.6,3,13,4.3,0,NA,NA,NA,NA,NA,0,31
"DREWBREES","Drew Brees","QB","NO",2,2,29,22,267,3,0,75.9,9.2,1,0,0,0,NA,NA,NA,NA,NA,0,28
"PEYTONMANNING","Peyton Manning","QB","DEN",3,3,30,20,227,3,0,66.7,7.6,1,0,0,0,NA,NA,NA,NA,NA,0,27
"AARONRODGERS","Aaron Rodgers","QB","GB",4,4,34,25,348,2,0,73.5,10.2,2,0,0,0,NA,NA,NA,NA,NA,0,25
"TOMBRADY","Tom Brady","QB","NE",4,4,36,27,280,3,2,75,7.8,1,0,0,0,NA,NA,NA,NA,NA,0,25
"TONYROMO","Tony Romo","QB","DAL",4,4,31,19,185,3,0,61.3,6,0,0,0,0,NA,NA,NA,NA,NA,0,25
"RUSSELLWILSON","Russell Wilson","QB","SEA",7,7,28,19,234,1,1,67.9,8.4,7,46,6.6,1,NA,NA,NA,NA,NA,0,23
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",7,7,32,24,277,2,0,75,8.7,1,5,5,0,NA,NA,NA,NA,NA,0,23
"ANDYDALTON","Andy Dalton","QB","CIN",9,9,31,21,266,2,0,67.7,8.6,3,7,2.3,0,NA,NA,NA,NA,NA,0,22
"JAYCUTLER","Jay Cutler","QB","CHI",10,10,38,27,277,2,1,71.1,7.3,2,8,4,0,NA,NA,NA,NA,NA,0,21
