"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"BRIANHOYER","Brian Hoyer","QB","CLE",25,58,36,19,198,1,1,52.8,5.5,1,0,0,0,NA,NA,NA,NA,NA,0,11
"RODDYWHITE","Roddy White","WR","ATL",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,11.6,1,NA,0,11
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,59,11.8,1,NA,0,11
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",18,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,111,18.5,0,NA,0,11
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",3,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,10.6,1,NA,0,11
"STEVENJACKSON","Steven Jackson","RB","ATL",15,63,NA,NA,NA,NA,NA,NA,NA,14,49,3.5,1,0,0,0,0,NA,0,10
"ERICDECKER","Eric Decker","WR","NYJ",21,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,48,8,1,NA,0,10
"MICHAELCRABTREE","Michael Crabtree","WR","SF",21,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,48,9.6,1,NA,0,10
"LARRYDONNELL","Larry Donnell","TE","NYG",4,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,45,9,1,NA,0,10
"GREGOLSEN","Greg Olsen","TE","CAR",4,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,48,8,1,NA,0,10
"JUSTINFORSETT","Justin Forsett","RB","BAL",16,68,NA,NA,NA,NA,NA,NA,NA,15,80,5.3,0,2,13,6.5,0,NA,0,9
"LAMARMILLER","Lamar Miller","RB","MIA",16,68,NA,NA,NA,NA,NA,NA,NA,15,62,4.1,0,3,30,10,0,NA,0,9
"CHRISIVORY","Chris Ivory","RB","NYJ",16,68,NA,NA,NA,NA,NA,NA,NA,10,36,3.6,1,0,0,0,0,NA,0,9
"JUSTINHUNTER","Justin Hunter","WR","TEN",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,12.7,1,NA,0,9
"ANQUANBOLDIN","Anquan Boldin","WR","SF",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,92,15.3,0,NA,0,9
"STEVESMITH","Steve Smith","WR","BAL",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,12.7,1,NA,0,9
"PERCYHARVIN","Percy Harvin","WR","NYJ",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,85,10.6,0,NA,0,9
"BRANDINCOOKS","Brandin Cooks","WR","NO",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,91,13,0,NA,0,9
"ODELLBECKHAM","Odell Beckham","WR","NYG",23,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,55,11,1,NA,1,9
"TRAVISKELCE","Travis Kelce","TE","KC",6,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37,9.2,1,NA,0,9
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",19,78,NA,NA,NA,NA,NA,NA,NA,7,25,3.6,1,0,0,0,0,NA,0,8
"VINCENTJACKSON","Vincent Jackson","WR","TB",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,84,14,0,NA,0,8
"MICHAELFLOYD","Michael Floyd","WR","ARI",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29,7.2,1,NA,0,8
"DOUGBALDWIN","Doug Baldwin","WR","SEA",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,1,NA,0,8
"MARQUESCOLSTON","Marques Colston","WR","NO",29,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,7,1,NA,0,8
"DELANIEWALKER","Delanie Walker","TE","TEN",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,8.3,1,NA,0,8
"MYCHALRIVERA","Mychal Rivera","TE","OAK",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,27,6.8,1,NA,0,8
"CHARLESCLAY","Charles Clay","TE","MIA",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28,9.3,1,NA,0,8
"OWENDANIELS","Owen Daniels","TE","BAL",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,8.7,1,NA,0,8
"HEATHMILLER","Heath Miller","TE","PIT",7,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,8.3,1,NA,0,8
"CHRISJOHNSON","Chris Johnson","RB","NYJ",20,88,NA,NA,NA,NA,NA,NA,NA,12,56,4.7,0,3,24,8,0,NA,0,7
"JUWANTHOMPSON","Juwan Thompson","RB","DEN",20,88,NA,NA,NA,NA,NA,NA,NA,5,16,3.2,1,0,0,0,0,NA,0,7
"ALLENROBINSON","Allen Robinson","WR","JAC",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,37,7.4,1,NA,1,7
"DAVANTEADAMS","Davante Adams","WR","GB",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"KENNYSTILLS","Kenny Stills","WR","NO",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,76,25.3,0,NA,0,7
"TORREYSMITH","Torrey Smith","WR","BAL",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,70,17.5,0,NA,0,7
"MIKEWALLACE","Mike Wallace","WR","MIA",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,78,15.6,0,NA,0,7
"ALLENHURNS","Allen Hurns","WR","JAC",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"JORDANMATTHEWS","Jordan Matthews","WR","PHI",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,8,1,NA,0,7
"ANDREHOLMES","Andre Holmes","WR","OAK",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37,9.2,1,NA,1,7
"RUEBENRANDLE","Rueben Randle","WR","NYG",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,73,12.2,0,NA,0,7
"TAYLORGABRIEL","Taylor Gabriel","WR","CLE",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,19,1,NA,0,7
"STEVEJOHNSON","Steve Johnson","WR","SF",33,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,1,NA,0,7
"JASONWITTEN","Jason Witten","TE","DAL",12,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,71,14.2,0,NA,0,7
"CLAYHARBOR","Clay Harbor","TE","JAC",12,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,5.5,1,NA,0,7
"RICHARDRODGERS","Richard Rodgers","TE","GB",12,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,6,1,NA,0,7
"JOIQUEBELL","Joique Bell","RB","DET",22,104,NA,NA,NA,NA,NA,NA,NA,11,57,5.2,0,2,13,6.5,0,NA,0,6
"TREMASON","Tre Mason","RB","STL",22,104,NA,NA,NA,NA,NA,NA,NA,14,51,3.6,0,1,10,10,0,NA,0,6
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",22,104,NA,NA,NA,NA,NA,NA,NA,12,52,4.3,0,1,10,10,0,NA,0,6
"KENDALLWRIGHT","Kendall Wright","WR","TEN",44,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,68,11.3,0,NA,0,6
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",44,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,21.7,0,NA,0,6
"DWAYNEBOWE","Dwayne Bowe","WR","KC",44,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,61,12.2,0,NA,0,6
"ROBERTWOODS","Robert Woods","WR","BUF",44,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,15.2,0,NA,0,6
"SCOTTCHANDLER","Scott Chandler","TE","BUF",15,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,63,12.6,0,NA,0,6
"LUKEWILLSON","Luke Willson","TE","SEA",15,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,NA,0,6
"REGGIEBUSH","Reggie Bush","RB","DET",25,113,NA,NA,NA,NA,NA,NA,NA,4,17,4.2,0,5,40,8,0,NA,0,5
"FREDJACKSON","Fred Jackson","RB","BUF",25,113,NA,NA,NA,NA,NA,NA,NA,10,37,3.7,0,3,21,7,0,NA,0,5
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",25,113,NA,NA,NA,NA,NA,NA,NA,11,46,4.2,0,1,10,10,0,NA,0,5
"FRANKGORE","Frank Gore","RB","SF",25,113,NA,NA,NA,NA,NA,NA,NA,15,50,3.3,0,0,0,0,0,NA,0,5
"DARRENMCFADDEN","Darren McFadden","RB","OAK",25,113,NA,NA,NA,NA,NA,NA,NA,12,36,3,0,4,28,7,0,NA,0,5
"TOBYGERHART","Toby Gerhart","RB","JAC",25,113,NA,NA,NA,NA,NA,NA,NA,7,14,2,1,0,0,0,0,NA,1,5
"THEORIDDICK","Theo Riddick","RB","DET",25,113,NA,NA,NA,NA,NA,NA,NA,4,20,5,0,3,36,12,0,NA,0,5
"ANDREWILLIAMS","Andre Williams","RB","NYG",25,113,NA,NA,NA,NA,NA,NA,NA,13,50,3.8,0,1,2,2,0,NA,0,5
"JOHNBROWN","John Brown","WR","ARI",48,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,0,NA,0,5
"JARVISLANDRY","Jarvis Landry","WR","MIA",48,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,57,14.2,0,NA,0,5
"JAMESJONES","James Jones","WR","OAK",48,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,12.5,0,NA,0,5
"KENNYBRITT","Kenny Britt","WR","STL",48,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,12.5,0,NA,0,5
"MILESAUSTIN","Miles Austin","WR","CLE",48,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,58,11.6,0,NA,0,5
"ZACHERTZ","Zach Ertz","TE","PHI",17,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,16.7,0,NA,0,5
"VERNONDAVIS","Vernon Davis","TE","SF",17,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,50,16.7,0,NA,0,5
"AUSTINDAVIS","Austin Davis","QB","STL",26,128,34,17,159,0,1,50,4.7,2,7,3.5,0,NA,NA,NA,NA,NA,0,4
"PEYTONHILLIS","Peyton Hillis","RB","NYG",33,128,NA,NA,NA,NA,NA,NA,NA,2,4,2,0,4,42,10.5,0,NA,0,4
"BISHOPSANKEY","Bishop Sankey","RB","TEN",33,128,NA,NA,NA,NA,NA,NA,NA,11,38,3.5,0,2,12,6,0,NA,0,4
"DEVONTAFREEMAN","Devonta Freeman","RB","ATL",33,128,NA,NA,NA,NA,NA,NA,NA,6,30,5,0,2,17,8.5,0,NA,0,4
"MARKUSWHEATON","Markus Wheaton","WR","PIT",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,13.3,0,NA,0,4
"BRIANHARTLINE","Brian Hartline","WR","MIA",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,48,9.6,0,NA,0,4
"NATEWASHINGTON","Nate Washington","WR","TEN",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,42,10.5,0,NA,0,4
"CECILSHORTS","Cecil Shorts","WR","JAC",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,46,11.5,0,NA,0,4
"HARRYDOUGLAS","Harry Douglas","WR","ATL",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,48,16,0,NA,0,4
"COREYWASHINGTON","Corey Washington","WR","NYG",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,13.3,0,NA,0,4
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",53,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,45,15,0,NA,0,4
"JAREDCOOK","Jared Cook","TE","STL",19,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,40,10,0,NA,0,4
"DARRENSPROLES","Darren Sproles","RB","PHI",36,140,NA,NA,NA,NA,NA,NA,NA,2,12,6,0,4,21,5.2,0,NA,0,3
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",36,140,NA,NA,NA,NA,NA,NA,NA,6,26,4.3,0,2,11,5.5,0,NA,0,3
"CHARLESSIMS","Charles Sims","RB","TB",36,140,NA,NA,NA,NA,NA,NA,NA,6,28,4.7,0,3,14,4.7,0,NA,0,3
"KNILEDAVIS","Knile Davis","RB","KC",36,140,NA,NA,NA,NA,NA,NA,NA,5,18,3.6,0,2,20,10,0,NA,0,3
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",36,140,NA,NA,NA,NA,NA,NA,NA,3,12,4,0,3,22,7.3,0,NA,0,3
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,36,12,0,NA,0,3
"CHRISHOGAN","Chris Hogan","WR","BUF",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,34,17,0,NA,0,3
"LOUISMURPHY","Louis Murphy","WR","TB",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34,11.3,0,NA,0,3
"TAVONAUSTIN","Tavon Austin","WR","STL",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,6.7,0,NA,0,3
"PRESTONPARKER","Preston Parker","WR","NYG",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"WESWELKER","Wes Welker","WR","DEN",60,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,15,0,NA,0,3
"JIMDRAY","Jim Dray","TE","CLE",20,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,32,8,0,NA,0,3
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",20,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,35,11.7,0,NA,0,3
"CARLOSHYDE","Carlos Hyde","RB","SF",41,154,NA,NA,NA,NA,NA,NA,NA,4,21,5.2,0,1,5,5,0,NA,0,2
"TRAVARISCADET","Travaris Cadet","RB","NO",41,154,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,3,25,8.3,0,NA,0,2
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",41,154,NA,NA,NA,NA,NA,NA,NA,3,13,4.3,0,2,15,7.5,0,NA,0,2
"JAMESSTARKS","James Starks","RB","GB",41,154,NA,NA,NA,NA,NA,NA,NA,4,16,4,0,2,13,6.5,0,NA,0,2
"MARIONGRICE","Marion Grice","RB","ARI",41,154,NA,NA,NA,NA,NA,NA,NA,7,24,3.4,0,1,3,3,0,NA,0,2
"MARCELREECE","Marcel Reece","RB","OAK",41,154,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,20,10,0,NA,0,2
"CJANDERSON","C.J. Anderson","RB","DEN",41,154,NA,NA,NA,NA,NA,NA,NA,5,23,4.6,0,0,0,0,0,NA,0,2
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",41,154,NA,NA,NA,NA,NA,NA,NA,1,4,4,0,3,20,6.7,0,NA,0,2
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",41,154,NA,NA,NA,NA,NA,NA,NA,5,21,4.2,0,0,0,0,0,NA,0,2
"PAULRICHARDSON","Paul Richardson","WR","SEA",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
"RILEYCOOPER","Riley Cooper","WR","PHI",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,12.5,0,NA,0,2
"JARONBROWN","Jaron Brown","WR","ARI",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,27,27,0,NA,0,2
"JASONAVANT","Jason Avant","WR","CAR",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,10.5,0,NA,0,2
"JEREMYROSS","Jeremy Ross","WR","DET",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
"GREGLITTLE","Greg Little","WR","CIN",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,9.7,0,NA,0,2
"COLEBEASLEY","Cole Beasley","WR","DAL",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,12.5,0,NA,0,2
"JOSHHUFF","Josh Huff","WR","PHI",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,8,0,NA,0,2
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",67,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,14,0,NA,0,2
