"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,31,22,318,3,0,71,10.3,1,0,0,0,NA,NA,NA,NA,NA,0,30
"AARONRODGERS","Aaron Rodgers","QB","GB",2,2,37,28,283,3,0,75.7,7.6,3,1,0.3,0,NA,NA,NA,NA,NA,0,29
"DREWBREES","Drew Brees","QB","NO",2,2,31,26,288,3,0,83.9,9.3,2,0,0,0,NA,NA,NA,NA,NA,0,29
"ANDREWLUCK","Andrew Luck","QB","IND",4,4,39,25,252,3,0,64.1,6.5,3,6,2,0,NA,NA,NA,NA,NA,0,28
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",5,5,44,30,369,2,1,68.2,8.4,2,6,3,0,NA,NA,NA,NA,NA,0,24
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",6,6,28,19,199,2,0,67.9,7.1,5,47,9.4,0,NA,NA,NA,NA,NA,0,23
"MATTRYAN","Matt Ryan","QB","ATL",7,7,40,28,303,2,1,70,7.6,2,4,2,0,NA,NA,NA,NA,NA,0,22
"TONYROMO","Tony Romo","QB","DAL",7,7,41,29,301,2,1,70.7,7.3,0,0,0,0,NA,NA,NA,NA,NA,0,22
"TOMBRADY","Tom Brady","QB","NE",7,7,44,30,264,2,0,68.2,6,1,0,0,0,NA,NA,NA,NA,NA,0,22
"JAKELOCKER","Jake Locker","QB","TEN",7,7,33,24,248,2,0,72.7,7.5,4,12,3,0,NA,NA,NA,NA,NA,0,22
"CAMNEWTON","Cam Newton","QB","CAR",7,7,30,25,247,1,1,83.3,8.2,6,38,6.3,1,NA,NA,NA,NA,NA,0,22
"ANDYDALTON","Andy Dalton","QB","CIN",12,12,37,26,267,2,1,70.3,7.2,2,10,5,0,NA,NA,NA,NA,NA,0,21
"NICKFOLES","Nick Foles","QB","PHI",13,13,42,28,291,2,1,66.7,6.9,3,10,3.3,0,NA,NA,NA,NA,NA,1,20
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",13,13,30,23,232,2,1,76.7,7.7,4,17,4.2,0,NA,NA,NA,NA,NA,0,20
"ARIANFOSTER","Arian Foster","RB","HOU",1,13,NA,NA,NA,NA,NA,NA,NA,26,116,4.5,0,5,32,6.4,1,NA,0,20
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",15,16,30,18,167,2,0,60,5.6,2,0,0,0,NA,NA,NA,NA,NA,0,18
"RUSSELLWILSON","Russell Wilson","QB","SEA",15,16,29,20,288,0,1,69,9.9,5,30,6,1,NA,NA,NA,NA,NA,0,18
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",15,16,31,22,221,2,1,71,7.1,3,9,3,0,NA,NA,NA,NA,NA,0,18
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,126,18,1,NA,0,18
"ALEXSMITH","Alex Smith","QB","KC",18,20,42,25,226,1,1,59.5,5.4,5,48,9.6,0,NA,NA,NA,NA,NA,0,17
"JOSHMCCOWN","Josh McCown","QB","TB",18,20,28,16,191,2,1,57.1,6.8,3,25,8.3,0,NA,NA,NA,NA,NA,1,17
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",18,20,34,27,290,1,0,79.4,8.5,0,0,0,0,NA,NA,NA,NA,NA,0,17
"MONTEEBALL","Montee Ball","RB","DEN",2,20,NA,NA,NA,NA,NA,NA,NA,26,105,4,1,2,11,5.5,0,NA,0,17
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,20,NA,NA,NA,NA,NA,NA,NA,20,103,5.2,1,4,19,4.8,0,NA,0,17
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",2,20,NA,NA,NA,NA,NA,NA,NA,16,79,4.9,1,5,41,8.2,0,NA,0,17
"CALVINJOHNSON","Calvin Johnson","WR","DET",2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,118,16.9,1,NA,0,17
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",5,27,NA,NA,NA,NA,NA,NA,NA,22,89,4,1,2,20,10,0,NA,0,16
"LEVEONBELL","Le'Veon Bell","RB","PIT",5,27,NA,NA,NA,NA,NA,NA,NA,18,68,3.8,1,6,47,7.8,0,NA,0,16
