"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,28.8,39,28,335,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",2,2,28.5,39,25,300,3,0,4,15,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,28.3,37,24,295,3,0,3,15,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",4,4,24.8,44,29,325,2,1,4,5,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",5,5,24,45,27,320,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,6,23.8,42,27,315,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",7,7,23.3,34,20,255,2,0,5,25,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,23,34,21,250,2,1,5,25,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",8,8,23,41,25,290,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",10,10,22.8,38,25,295,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",10,10,22.8,37,23,285,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",12,12,22.5,36,21,250,2,0,5,20,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",13,13,22,42,25,280,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",14,14,21.8,41,26,265,2,1,2,5,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",14,14,21.8,36,23,275,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",16,16,21.3,37,22,245,2,0,8,10,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",16,16,21.3,33,20,255,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",16,16,21.3,30,18,225,2,0,3,20,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",16,16,21.3,41,26,265,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",16,16,21.3,34,23,265,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",21,21,20.3,32,20,245,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"COLTMCCOY","QB","Colt McCoy","WAS",22,22,20,33,20,240,2,2,0,0,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,23,19.5,NA,NA,NA,NA,NA,25,105,1,4,30,0,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",23,24,19,29,18,220,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",23,24,19,26,15,210,1,0,11,45,0,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",2,24,19,NA,NA,NA,NA,NA,24,110,1,2,20,0,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",25,27,18.3,37,23,275,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",26,28,18,36,22,250,1,1,3,15,0,NA,NA,NA,NA,NA,NA
