"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"DREWBREES","QB","Drew Brees","NO",1,1,28,42,27,320,3,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",2,2,24.8,41,26,315,2,0,2,10,0,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,23.8,36,23,285,2,0,3,15,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",4,4,23.3,40,27,305,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,4,23.3,41,26,305,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",6,6,23,42,26,300,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",7,7,22.8,41,24,285,2,0,1,5,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",8,8,22.5,34,21,250,2,0,4,20,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",9,9,22.3,37,24,275,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",10,10,21.8,35,21,245,2,0,4,15,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",11,11,21.5,32,23,270,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",11,11,21.5,35,23,270,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",1,13,21,NA,NA,NA,NA,NA,26,115,1,5,35,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",13,14,20.3,32,20,245,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",14,15,18.8,32,19,245,1,0,5,25,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",15,16,18.5,26,15,210,1,0,8,40,0,NA,NA,NA,NA,NA,NA
"CJANDERSON","RB","C.J. Anderson","DEN",2,16,18.5,NA,NA,NA,NA,NA,25,95,1,3,30,0,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",16,18,17.3,34,21,235,1,1,3,15,0,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",17,19,17,34,21,230,1,1,4,15,0,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",3,19,17,NA,NA,NA,NA,NA,16,65,1,6,45,0,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",3,19,17,NA,NA,NA,NA,NA,21,85,1,3,25,0,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",1,19,17,NA,NA,NA,NA,NA,NA,NA,NA,9,110,1,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,19,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",18,24,16.8,31,18,205,1,1,7,25,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",19,25,16.5,35,20,230,1,1,3,10,0,NA,NA,NA,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",5,25,16.5,NA,NA,NA,NA,NA,20,85,1,3,20,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",5,25,16.5,NA,NA,NA,NA,NA,21,85,1,3,20,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",5,25,16.5,NA,NA,NA,NA,NA,19,85,1,2,20,0,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",20,29,16.3,32,20,225,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"CASEKEENUM","QB","Case Keenum","HOU",20,29,16.3,29,19,225,1,1,1,10,0,NA,NA,NA,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",20,29,16.3,32,20,245,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",20,29,16.3,30,19,225,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",24,33,16,35,21,230,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",24,33,16,31,18,240,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",24,33,16,27,16,200,1,1,3,20,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",24,33,16,36,21,240,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",24,33,16,38,23,240,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",24,33,16,28,17,200,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"JOIQUEBELL","RB","Joique Bell","DET",8,33,16,NA,NA,NA,NA,NA,18,70,1,4,30,0,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",8,33,16,NA,NA,NA,NA,NA,19,75,1,4,25,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",8,33,16,NA,NA,NA,NA,NA,19,75,1,4,25,0,NA,NA,NA
"TREMASON","RB","Tre Mason","STL",8,33,16,NA,NA,NA,NA,NA,21,85,1,2,15,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",3,33,16,NA,NA,NA,NA,NA,NA,NA,NA,8,100,1,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",30,44,15.8,30,19,225,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",12,45,15.5,NA,NA,NA,NA,NA,17,75,1,3,20,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",12,45,15.5,NA,NA,NA,NA,NA,22,80,1,2,15,0,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",4,45,15.5,NA,NA,NA,NA,NA,NA,NA,NA,7,95,1,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",31,48,15.3,28,18,215,1,1,1,5,0,NA,NA,NA,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",14,49,15,NA,NA,NA,NA,NA,17,70,1,4,20,0,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",14,49,15,NA,NA,NA,NA,NA,16,70,1,3,20,0,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",14,49,15,NA,NA,NA,NA,NA,19,75,1,2,15,0,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",5,49,15,NA,NA,NA,NA,NA,NA,NA,NA,6,90,1,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",5,49,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",5,49,15,NA,NA,NA,NA,NA,NA,NA,NA,7,90,1,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",17,55,14.5,NA,NA,NA,NA,NA,16,75,1,1,10,0,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",17,55,14.5,NA,NA,NA,NA,NA,16,70,1,2,15,0,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",8,55,14.5,NA,NA,NA,NA,NA,NA,NA,NA,7,85,1,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",8,55,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",8,55,14.5,NA,NA,NA,NA,NA,NA,NA,NA,6,85,1,NA,NA,NA
"DANHERRON","RB","Dan Herron","IND",19,60,14,NA,NA,NA,NA,NA,14,50,1,5,30,0,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",11,60,14,NA,NA,NA,NA,NA,NA,NA,NA,7,80,1,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",11,60,14,NA,NA,NA,NA,NA,NA,NA,NA,6,80,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",1,60,14,NA,NA,NA,NA,NA,NA,NA,NA,8,80,1,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",20,64,13.5,NA,NA,NA,NA,NA,15,60,1,3,15,0,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",20,64,13.5,NA,NA,NA,NA,NA,14,65,1,1,10,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"JOSHGORDON","WR","Josh Gordon","CLE",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"KENNYSTILLS","WR","Kenny Stills","NO",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",13,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",2,64,13.5,NA,NA,NA,NA,NA,NA,NA,NA,7,75,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",20,74,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",20,74,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"BRANDONLAFELL","WR","Brandon LaFell","NE",20,74,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"DONTEMONCRIEF","WR","Donte Moncrief","IND",20,74,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",20,74,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
