"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"STEPHENGOSTKOWSKI","K",1,3,0,3,0,12
"ADAMVINATIERI","K",1,3,0,3,0,12
"MATTBRYANT","K",3,3,0,2,0,11
"RANDYBULLOCK","K",3,3,0,2,0,11
"MASONCROSBY","K",5,2,0,4,0,10
"PHILDAWSON","K",6,2,0,3,0,9
"ROBBIEGOULD","K",6,2,0,3,0,9
"SHAYNEGRAHAM","K",6,2,0,3,0,9
"BRANDONMCMANUS","K",6,2,0,3,0,9
"CODYPARKEY","K",6,2,0,3,0,9
"JOSHBROWN","K",11,2,0,2,0,8
"NICKFOLK","K",11,2,0,2,0,8
"MIKENUGENT","K",11,2,0,2,0,8
"JOSHSCOBEE","K",11,2,0,2,0,8
"RYANSUCCOP","K",11,2,0,2,0,8
"DANCARPENTER","K",16,1,0,3,0,6
"STEVEHAUSCHKA","K",16,1,0,3,0,6
"PATRICKMURRAY","K",16,1,0,3,0,6
"NICKNOVAK","K",16,1,0,3,0,6
"MATTPRATER","K",16,1,0,3,0,6
"CAIROSANTOS","K",16,1,0,3,0,6
"CALEBSTURGIS","K",16,1,0,3,0,6
"JUSTINTUCKER","K",16,1,0,3,0,6
"CHANDLERCATANZARO","K",24,1,0,2,0,5
"KAIFORBATH","K",24,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",24,1,0,2,0,5
"BLAIRWALSH","K",24,1,0,2,0,5
"GREGZUERLEIN","K",24,1,0,2,0,5
