"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"PHILDAWSON","K",1,3,0,3,0,12
"JOSHBROWN","K",2,3,0,2,0,11
"RANDYBULLOCK","K",2,3,0,2,0,11
"SHAUNSUISHAM","K",2,3,0,2,0,11
"STEPHENGOSTKOWSKI","K",5,2,0,3,0,9
"STEVEHAUSCHKA","K",5,2,0,3,0,9
"JUSTINTUCKER","K",5,2,0,3,0,9
"GRAHAMGANO","K",8,2,0,2,0,8
"CODYPARKEY","K",8,2,0,2,0,8
"CALEBSTURGIS","K",8,2,0,2,0,8
"BLAIRWALSH","K",8,2,0,2,0,8
"ADAMVINATIERI","K",12,1,0,4,0,7
"DANBAILEY","K",13,1,0,3,0,6
"SHAYNEGRAHAM","K",13,1,0,3,0,6
"BRANDONMCMANUS","K",13,1,0,3,0,6
"MIKENUGENT","K",13,1,0,3,0,6
"CAIROSANTOS","K",13,1,0,3,0,6
"NICKFOLK","K",18,1,0,2,0,5
"KAIFORBATH","K",18,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",18,1,0,2,0,5
"PATRICKMURRAY","K",18,1,0,2,0,5
"JOSHSCOBEE","K",18,1,0,2,0,5
"NICKNOVAK","K",23,0,0,4,0,4
"GREGZUERLEIN","K",23,1,0,1,0,4
