"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"PATRICKMURRAY","K",1,3,0,2,0,11
"CAIROSANTOS","K",1,3,0,2,0,11
"BRANDONMCMANUS","K",3,2,0,4,0,10
"DANBAILEY","K",4,2,0,3,0,9
"MATTBRYANT","K",4,2,0,3,0,9
"STEVEHAUSCHKA","K",4,2,0,3,0,9
"CODYPARKEY","K",4,2,0,3,0,9
"SHAUNSUISHAM","K",4,2,0,3,0,9
"JUSTINTUCKER","K",4,2,0,3,0,9
"PHILDAWSON","K",10,2,0,2,0,8
"NICKFOLK","K",10,2,0,2,0,8
"SEBASTIANJANIKOWSKI","K",10,2,0,2,0,8
"CALEBSTURGIS","K",10,2,0,2,0,8
"RYANSUCCOP","K",10,2,0,2,0,8
"MASONCROSBY","K",15,1,0,4,0,7
"JOSHSCOBEE","K",15,2,0,1,0,7
"DANCARPENTER","K",17,1,0,3,0,6
"CHANDLERCATANZARO","K",17,1,0,3,0,6
"ROBBIEGOULD","K",17,1,0,3,0,6
"SHAYNEGRAHAM","K",17,1,0,3,0,6
"MIKENUGENT","K",17,1,0,3,0,6
"MATTPRATER","K",17,1,0,3,0,6
"JOSHBROWN","K",23,1,0,2,0,5
"GREGZUERLEIN","K",23,1,0,2,0,5
