"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"NICKFOLK","K",1,4,0,1,0,13
"PHILDAWSON","K",2,3,0,3,0,12
"ADAMVINATIERI","K",2,3,0,3,0,12
"MATTBRYANT","K",4,3,0,2,0,11
"RANDYBULLOCK","K",4,3,0,2,0,11
"GRAHAMGANO","K",4,3,0,2,0,11
"STEPHENGOSTKOWSKI","K",4,3,0,2,0,11
"STEVEHAUSCHKA","K",4,3,0,2,0,11
"JUSTINTUCKER","K",4,3,0,2,0,11
"CHANDLERCATANZARO","K",10,2,0,3,0,9
"SHAYNEGRAHAM","K",10,2,0,3,0,9
"CODYPARKEY","K",10,2,0,3,0,9
"DANCARPENTER","K",13,2,0,2,0,8
"BRANDONMCMANUS","K",13,1,0,5,0,8
"RYANSUCCOP","K",13,2,0,2,0,8
"SHAUNSUISHAM","K",13,2,0,2,0,8
"JOSHSCOBEE","K",17,2,0,1,0,7
"DANBAILEY","K",18,1,0,3,0,6
"MASONCROSBY","K",18,1,0,3,0,6
"KAIFORBATH","K",18,1,0,3,0,6
"ROBBIEGOULD","K",18,1,0,3,0,6
"PATRICKMURRAY","K",18,1,0,3,0,6
"MIKENUGENT","K",18,1,0,3,0,6
"CALEBSTURGIS","K",18,1,0,3,0,6
"BLAIRWALSH","K",18,1,0,3,0,6
"JOSHBROWN","K",26,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",26,1,0,2,0,5
"NICKNOVAK","K",26,1,0,2,0,5
"CAIROSANTOS","K",26,1,0,2,0,5
