"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"NICKNOVAK","K",1,4,0,2,0,14
"JOSHBROWN","K",2,3,0,3,0,12
"MASONCROSBY","K",2,3,0,3,0,12
"BLAIRWALSH","K",2,3,0,3,0,12
"PHILDAWSON","K",5,3,0,2,0,11
"KAIFORBATH","K",5,3,0,2,0,11
"RYANSUCCOP","K",5,3,0,2,0,11
"CONNORBARTH","K",8,2,0,3,0,9
"SHAYNEGRAHAM","K",8,2,0,3,0,9
"STEVEHAUSCHKA","K",8,2,0,3,0,9
"CODYPARKEY","K",8,2,0,3,0,9
"SHAUNSUISHAM","K",8,2,0,3,0,9
"NICKFOLK","K",13,2,0,2,0,8
"GRAHAMGANO","K",13,2,0,2,0,8
"MATTPRATER","K",13,2,0,2,0,8
"CAIROSANTOS","K",13,2,0,2,0,8
"ADAMVINATIERI","K",13,2,0,2,0,8
"CHANDLERCATANZARO","K",18,2,0,1,0,7
"JOSHSCOBEE","K",18,2,0,1,0,7
"DANBAILEY","K",20,1,0,3,0,6
"MATTBRYANT","K",20,1,0,3,0,6
"RANDYBULLOCK","K",20,1,0,3,0,6
"JAYFEELY","K",20,1,0,3,0,6
"STEPHENGOSTKOWSKI","K",20,1,0,3,0,6
"GARRETTHARTLEY","K",20,2,0,0,0,6
"CALEBSTURGIS","K",20,1,0,3,0,6
"JUSTINTUCKER","K",20,1,0,3,0,6
"DANCARPENTER","K",28,1,0,2,0,5
"SEBASTIANJANIKOWSKI","K",28,1,0,2,0,5
"PATRICKMURRAY","K",28,1,0,2,0,5
"GREGZUERLEIN","K",31,1,0,1,0,4
