"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,30.3,42,27,335,3,0,3,15,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",2,2,29.8,42,27,325,3,0,4,15,0,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",3,3,24.5,25,15,200,1,0,11,45,1,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","PHI",4,4,24,42,27,310,2,1,4,5,0,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",5,5,23.8,37,27,315,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",6,6,23.5,44,27,310,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",6,6,23.5,41,27,290,2,1,3,10,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,6,23.5,41,26,310,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,9,23.3,32,19,235,2,0,6,35,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",10,10,22.8,38,25,295,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",11,11,22.3,36,22,275,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",12,12,22,35,21,270,2,1,1,5,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,21.3,41,26,265,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",14,14,20.5,31,21,250,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","BUF",15,15,19.8,31,19,235,2,1,0,0,0,NA,NA,NA,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",1,16,19.5,NA,NA,NA,NA,NA,26,115,1,2,20,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",16,17,19,33,19,250,1,1,5,25,0,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",17,18,18.8,36,23,255,1,1,4,20,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",18,19,18.3,37,25,285,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",19,20,18,39,23,260,1,1,8,10,0,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",2,20,18,NA,NA,NA,NA,NA,21,95,1,4,25,0,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",2,20,18,NA,NA,NA,NA,NA,18,75,1,6,45,0,NA,NA,NA
"BLAKEBORTLES","QB","Blake Bortles","JAC",20,23,17.8,35,21,245,1,1,3,15,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",20,23,17.8,41,25,275,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"BRIANHOYER","QB","Brian Hoyer","CLE",22,25,17.5,35,21,260,1,1,2,5,0,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",23,26,17.3,32,19,225,1,0,5,20,0,NA,NA,NA,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","NYJ",23,26,17.3,28,17,215,1,1,6,25,0,NA,NA,NA,NA,NA,NA
"RYANMALLETT","QB","Ryan Mallett","HOU",25,28,17,32,20,240,1,1,2,10,0,NA,NA,NA,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",1,28,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",1,28,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,28,17,NA,NA,NA,NA,NA,NA,NA,NA,8,110,1,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",26,32,16.5,34,21,230,1,1,3,10,0,NA,NA,NA,NA,NA,NA
