"name","pos","rank_fftoday","fg_made_fftoday","fg_missed_fftoday","xp_made_fftoday","xp_missed_fftoday","ffpts_fftoday"
"RANDYBULLOCK","K",1,3,0,2,0,11
"SHAUNSUISHAM","K",1,3,0,2,0,11
"JUSTINTUCKER","K",1,3,0,2,0,11
"MASONCROSBY","K",4,2,0,4,0,10
"NICKNOVAK","K",4,3,0,1,0,10
"DANBAILEY","K",6,2,0,3,0,9
"CONNORBARTH","K",6,2,0,3,0,9
"PHILDAWSON","K",6,2,0,3,0,9
"SHAYNEGRAHAM","K",6,2,0,3,0,9
"MATTPRATER","K",6,2,0,3,0,9
"ADAMVINATIERI","K",6,2,0,3,0,9
"MATTBRYANT","K",12,2,0,2,0,8
"NICKFOLK","K",12,2,0,2,0,8
"CAIROSANTOS","K",12,2,0,2,0,8
"CALEBSTURGIS","K",12,2,0,2,0,8
"RYANSUCCOP","K",12,2,0,2,0,8
"GREGZUERLEIN","K",12,2,0,2,0,8
"STEPHENGOSTKOWSKI","K",18,1,0,4,0,7
"SEBASTIANJANIKOWSKI","K",18,2,0,1,0,7
"JOSHBROWN","K",20,1,0,3,0,6
"JAYFEELY","K",20,1,0,3,0,6
"KAIFORBATH","K",20,1,0,3,0,6
"STEVEHAUSCHKA","K",20,1,0,3,0,6
"MIKENUGENT","K",20,1,0,3,0,6
"DANCARPENTER","K",25,1,0,2,0,5
"CHANDLERCATANZARO","K",25,1,0,2,0,5
"PATRICKMURRAY","K",25,1,0,2,0,5
"JOSHSCOBEE","K",25,1,0,2,0,5
"BLAIRWALSH","K",25,1,0,2,0,5
"CODYPARKEY","K",30,0,0,3,0,3
